,task,INPUT:dataset_name,OUTPUT:quality,homogenity,true,model_extracted,classification_metric
22,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,20newsgroups,"['bad', 'bad', 'good', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'good', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'good', 'bad']",0.6,-2,1,0.75
23,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,20newsgroups,"['rather_bad', 'good', 'rather_bad', 'bad', 'bad', 'bad', 'good', 'bad', 'bad', 'bad']",0.6,-2,-2,0.0
24,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,20newsgroups,"['rather_good', 'bad', 'good', 'rather_bad', 'rather_good']",0.4,1,0,0.5
25,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'bad']",0.8,-2,1,0.75
26,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_good', 'bad']",0.6,-2,-2,0.0
27,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,-1,0.25
28,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2,1,0.75
29,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'rather_bad']",0.6,-1,1,0.75
30,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-2,1,0.75
31,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,-2,0.0
32,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-1,-1,0.25
33,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-2,-1,0.25
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,amazon_food,"['rather_bad', 'rather_good', 'rather_bad', 'rather_bad', 'rather_bad', 'bad']",0.7,-1,-1,0.25
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,amazon_food,"['bad', 'good', 'bad', 'bad', 'good', 'rather_bad']",0.5,-2,-2,0.0
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,0,0.5
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,amazon_food,"['rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'good', 'bad', 'rather_good']",0.4,-2,2,1.0
38,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,20newsgroups,"['rather_bad', 'bad', 'bad', 'good', 'bad']",0.6,-2,1,0.75
39,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,20newsgroups,"['rather_good', 'bad', 'good', 'rather_bad', 'good']",0.4,2,1,0.75
40,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,20newsgroups,"['good', 'bad', 'rather_bad', 'bad', 'rather_good']",0.4,-2,0,0.5
41,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,20newsgroups,"['bad', 'rather_good', 'rather_good', 'rather_bad', 'bad']",0.4,0,2,1.0
42,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
43,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,amazon_food,"['rather_bad', 'bad', 'rather_good']",0.3,-1,-2,0.0
44,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1,-2,0.0
45,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,amazon_food,"['good', 'good', 'bad']",0.7,2,2,1.0
46,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,amazon_food,"['rather_bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'good', 'good', 'bad', 'bad']",0.3,0,-2,0.0
47,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,amazon_food,"['good', 'rather_bad', 'bad']",0.3,0,2,1.0
48,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
49,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,2,1.0
50,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,amazon_food,"['bad', 'good', 'good']",0.7,2,-1,0.25
51,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,amazon_food,"['bad', 'good', 'rather_bad']",0.3,0,0,0.5
52,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
53,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,amazon_food,"['bad', 'rather_bad', 'rather_good']",0.3,-1,-2,0.0
54,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,-1,0.25
55,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
56,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,amazon_food,"['bad', 'good', 'bad']",0.7,-2,-1,0.25
57,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1,-1,0.25
58,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,amazon_food,"['good', 'bad', 'bad']",0.7,-2,1,0.75
59,always last buying whole open worth case they're that's hand couple jar part mine pouch,amazon_food,"['rather_good', 'bad', 'rather_bad']",0.3,0,1,0.75
60,always last sure case they're open couple jar week two whole part mine someone seed,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,0,0.5
61,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,1,0.75
62,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,amazon_food,"['good', 'good', 'rather_bad']",0.7,2,-2,0.0
63,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,amazon_food,"['rather_bad', 'good', 'bad', 'rather_bad', 'good', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.4,-1,1,0.75
64,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,amazon_food,"['bad', 'bad', 'rather_good']",0.7,-2,2,1.0
65,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,-1,0.25
66,always sure case last they're couple jar open week two mine part someone seed pouch,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,0,0.5
67,always sure case last they're couple week jar open two part mine someone seed pouch,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
68,always sure last case they're couple week open jar two part mine someone seed pouch,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,1,0.75
69,always sure last case they're two week couple jar part mine maybe someone open seed,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1,2,1.0
70,always sure last open whole case they're week maybe couple jar that's part mine someone,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,2,1.0
71,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad']",0.8,-2,2,1.0
72,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1,1,0.75
73,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,2,1.0
74,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,2,1.0
75,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2,2,1.0
76,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,20newsgroups,"['rather_bad', 'bad', 'good', 'bad', 'bad']",0.6,-2,-2,0.0
77,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.6,-1,2,1.0
78,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'bad', 'bad']",0.6,-2,1,0.75
79,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad']",0.6,-2,0,0.5
80,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.8,-1,-2,0.0
81,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'bad']",0.6,-2,-1,0.25
82,anonymous internet news usenet service privacy email electronic congress network user public bill site address,20newsgroups,"['bad', 'good', 'bad', 'good', 'rather_good']",0.4,0,-1,0.25
83,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,20newsgroups,"['bad', 'bad', 'rather_bad', 'good', 'rather_good']",0.4,-2,1,0.75
84,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,20newsgroups,"['rather_good', 'bad', 'bad', 'rather_bad', 'bad']",0.6,-2,-2,0.0
85,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,20newsgroups,"['rather_good', 'good', 'rather_bad', 'rather_good', 'rather_good']",0.6,1,-2,0.0
86,anonymous news service usenet privacy network electronic internet email site public user server congress archive,20newsgroups,"['bad', 'good', 'bad', 'bad', 'bad']",0.8,-2,-1,0.25
87,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_good', 'good', 'rather_good', 'good', 'good', 'good', 'rather_good']",0.4,2,0,0.5
88,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2,2,1.0
89,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,20newsgroups,"['rather_bad', 'good', 'good', 'good', 'bad']",0.6,2,0,0.5
90,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1,-2,0.0
91,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,amazon_food,"['bad', 'good', 'bad']",0.7,-2,1,0.75
92,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,0,0.5
93,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,0,0.5
94,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-2,0.0
95,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,-1,0.25
96,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-2,0.0
97,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,amazon_food,"['rather_bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad']",0.7,-2,0,0.5
98,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,20newsgroups,"['bad', 'rather_bad', 'good', 'bad', 'good']",0.4,0,0,0.5
99,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,20newsgroups,"['rather_good', 'good', 'rather_bad', 'bad', 'rather_good']",0.4,1,1,0.75
100,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,20newsgroups,"['bad', 'rather_bad', 'good', 'bad', 'rather_bad']",0.4,-1,0,0.5
101,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,20newsgroups,"['rather_bad', 'rather_bad', 'good', 'good', 'bad']",0.4,0,1,0.75
102,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2,0,0.5
103,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'bad', 'bad']",0.6,-2,-1,0.25
104,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,20newsgroups,"['bad', 'bad', 'rather_bad', 'good', 'bad']",0.6,-2,0,0.5
105,appear cover black light miss level theory hole story excellent trade henry toronto given physical,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,1,0.75
106,appear henry black toronto trade cover hole digex access captain light star company alaska level,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'bad']",0.8,-2,1,0.75
107,appear henry toronto black trade cover hole digex access light captain star level company alaska,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,1,0.75
108,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,0,0.5
109,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,20newsgroups,"['bad', 'rather_good', 'good', 'rather_bad', 'bad']",0.4,-2,1,0.75
110,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,20newsgroups,"['rather_good', 'rather_bad', 'rather_good', 'rather_bad', 'bad']",0.4,0,2,1.0
111,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,20newsgroups,"['rather_good', 'bad', 'rather_bad', 'rather_bad', 'good']",0.4,-1,-1,0.25
112,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,20newsgroups,"['rather_good', 'rather_good', 'bad', 'rather_bad', 'rather_good']",0.6,1,0,0.5
113,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,20newsgroups,"['rather_good', 'good', 'bad', 'good', 'bad', 'bad', 'bad', 'good', 'rather_bad', 'good']",0.4,0,1,0.75
114,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,20newsgroups,"['good', 'rather_bad', 'good', 'good', 'good']",0.8,2,-1,0.25
115,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,20newsgroups,"['good', 'good', 'rather_bad', 'rather_bad', 'rather_good']",0.4,0,0,0.5
116,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1,-1,0.25
117,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,2,1.0
118,application window resource word science allow ever human child money health center return motif already,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad']",0.8,-2,0,0.5
119,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,20newsgroups,"['bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.6,-1,1,0.75
120,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,20newsgroups,"['bad', 'rather_good', 'good', 'bad', 'rather_bad']",0.4,-2,-2,0.0
121,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'bad']",0.6,-2,1,0.75
122,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,20newsgroups,"['bad', 'bad', 'bad', 'good', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'good', 'rather_bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_good', 'good', 'rather_bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'good', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'good', 'good', 'rather_good', 'bad', 'bad', 'bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'bad']",0.6,-2,0,0.5
123,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,20newsgroups,"['bad', 'bad', 'rather_bad', 'bad', 'bad']",0.8,-2,1,0.75
124,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,20newsgroups,"['rather_good', 'bad', 'good', 'bad', 'bad']",0.6,-2,-2,0.0
125,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,20newsgroups,"['good', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.6,-1,-2,0.0
126,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-2,-2,0.0
127,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2,1,0.75
128,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,20newsgroups,"['bad', 'rather_bad', 'good', 'rather_bad', 'bad']",0.4,-1,0,0.5
129,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,20newsgroups,"['rather_bad', 'good', 'bad', 'good', 'rather_bad']",0.4,0,1,0.75
130,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,20newsgroups,"['bad', 'good', 'rather_bad', 'good', 'good']",0.6,2,-2,0.0
131,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,20newsgroups,"['bad', 'rather_good', 'rather_good', 'bad', 'bad']",0.6,-2,2,1.0
132,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,20newsgroups,"['bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.6,-1,-2,0.0
133,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,20newsgroups,"['good', 'rather_bad', 'good', 'bad', 'bad', 'bad', 'good', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_good', 'good', 'bad', 'rather_good', 'good', 'bad', 'rather_bad', 'bad', 'good', 'rather_bad', 'rather_bad', 'good', 'bad', 'bad', 'rather_bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'good', 'rather_bad', 'bad', 'good', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_good', 'rather_bad', 'bad', 'good', 'bad', 'bad', 'bad', 'good', 'bad', 'good', 'bad', 'rather_bad', 'rather_good', 'rather_bad', 'good', 'good', 'bad', 'rather_good', 'good', 'bad', 'rather_good', 'good', 'good', 'bad', 'bad', 'good', 'rather_bad', 'bad', 'good', 'bad', 'rather_bad', 'rather_good', 'good', 'rather_good', 'bad', 'bad', 'good', 'good', 'good', 'bad', 'bad', 'bad', 'good', 'bad', 'bad', 'bad', 'good', 'rather_good', 'rather_good', 'good', 'bad']",0.4,-2,-2,0.0
134,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,20newsgroups,"['bad', 'rather_good', 'good', 'good', 'good']",0.6,2,0,0.5
135,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,20newsgroups,"['bad', 'rather_bad', 'rather_good', 'rather_good', 'bad']",0.4,0,1,0.75
136,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,20newsgroups,"['good', 'good', 'good', 'rather_bad', 'rather_good']",0.6,2,0,0.5
137,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,20newsgroups,"['bad', 'bad', 'bad', 'rather_good', 'bad']",0.8,-2,1,0.75
138,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,20newsgroups,"['bad', 'good', 'bad', 'bad', 'bad']",0.8,-2,-2,0.0
139,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-2,-2,0.0
140,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,20newsgroups,"['good', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2,-2,0.0
141,april nasa star canada bike score always goal maynard area player hockey wings center white,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'bad']",0.6,-2,1,0.75
142,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,20newsgroups,"['rather_bad', 'good', 'good', 'good', 'bad']",0.6,2,-2,0.0
143,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'good']",0.8,-2,0,0.5
144,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,20newsgroups,"['bad', 'bad', 'rather_good', 'rather_good', 'rather_good']",0.6,1,0,0.5
145,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,-2,0.0
146,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2,2,1.0
147,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2,1,0.75
