,text,true_num,model_num,model_extracted,model,true
222,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,2,1,1,rather_good,good
223,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,2,1,1,rather_good,good
224,bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,2,1,1,rather_good,good
225,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,2,1,1,rather_good,good
226,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,2,1,1,rather_good,good
227,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,2,1,1,rather_good,good
228,bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,2,1,1,rather_good,good
229,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,2,1,1,rather_good,good
230,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,2,1,1,rather_good,good
231,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,2,1,1,rather_good,good
232,bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,2,1,1,rather_good,good
233,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,2,1,1,rather_good,good
234,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,2,1,1,rather_good,good
235,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,2,1,1,rather_good,good
236,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,2,1,1,rather_good,good
237,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,2,1,1,rather_good,good
238,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,-2,1,1,rather_good,bad
244,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,0,0,0,neutral,neutral
245,bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat,-2,0,0,neutral,bad
246,bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply,1,0,0,neutral,rather_good
247,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,2,1,1,rather_good,good
289,big available packaging con value hair difficult search bottom clear ering damage bacon line none,-1,0,0,neutral,rather_bad
290,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo,0,0,0,neutral,neutral
291,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,2,1,1,rather_good,good
334,bit almost especially type tiny remember learn interest require honestly class indian perhaps term second,-2,1,1,rather_good,bad
335,bit almost type three especially two tiny remember learn second interest could fair require still,-2,0,0,neutral,bad
336,bit almost type three especially two tiny remember second learn could interest fair require still,-2,0,0,neutral,bad
337,bit almost type three two especially tiny remember learn second interest could fair require still,-2,0,0,neutral,bad
338,bit almost type two three especially tiny remember learn second interest could fair require still,-2,0,0,neutral,bad
339,bit cream bold extra tiny ice second remember three two blend type way people almost,-1,0,0,neutral,rather_bad
340,bit cream extra bold ice tiny three second remember type two blend single people way,-2,0,0,neutral,bad
341,bit extra cream bold ice three tiny second type remember two single people way require,-2,0,0,neutral,bad
342,bit extra cream three bold ice type second tiny remember two single people honestly require,-2,0,0,neutral,bad
343,bit extra three cream bold type ice second tiny remember two single honestly require people,-2,0,0,neutral,bad
344,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce pay subscribe,-2,1,1,rather_good,bad
345,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce subscribe heat,0,1,1,rather_good,neutral
346,bit hot buying sauce serve per save cost cheaper red spicy pepper pay ounce subscribe,0,1,1,rather_good,neutral
347,bit long roast half dark full away rich flavorful miss extremely person lover steep double,-1,0,0,neutral,rather_bad
348,bit lot long roast half dark away full run rich flavorful miss ground person stay,-2,0,0,neutral,bad
349,bit roast dark full away long half rich flavorful miss extremely person lover ground steep,0,0,0,neutral,neutral
350,bit roast dark full away long rich half flavorful miss person extremely lover ground noodle,-2,0,0,neutral,bad
351,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,2,1,1,rather_good,good
352,bit type three extra second cream ice bold tiny remember single two honestly require mistake,-1,0,0,neutral,rather_bad
353,bit work seem thing easy way quite vanilla expect recipe bread probably n't cream bowl,-1,0,0,neutral,rather_bad
354,bit work seem thing way n't quite vanilla expect i'd probably recipe bread wish cream,-2,0,0,neutral,bad
355,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,-1,0,0,neutral,rather_bad
356,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,2,0,0,neutral,good
360,blend morning breakfast packet brew indiv mild wrap stevia ual convenient afternoon liqu ually pour,-1,1,1,rather_good,rather_bad
361,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,1,1,1,rather_good,rather_good
362,blend morning usually light brew breakfast packet mild indiv pour convenient wrap stevia brewing ual,2,1,1,rather_good,good
363,body almond blue smooth cause magnesium diamond increase reminds blood peppermint nutrient bowel rda source,-2,1,1,rather_good,bad
366,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,-2,0,0,neutral,bad
367,bone bubble rawh slim gum chewer steel mushroom miso noodle oat shrimp bulldog dubble reply,-1,0,0,neutral,rather_bad
368,bone teeth difficult okay combination msg pea spent rawh produce what's glutamate monosodium europe potential,-2,0,0,neutral,bad
369,bottle delivery hazelnut cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,0,1,1,rather_good,neutral
370,bottle delivery hazelnut peach wine squeeze kit sparkle cost selection mio cola carbonate squirt san,-1,1,1,rather_good,rather_bad
371,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear lime,2,1,1,rather_good,good
372,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear seller,-1,1,1,rather_good,rather_bad
373,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,-2,1,1,rather_good,bad
374,bottle excellent available everyone plastic pleased delivery glass lemon mint offer sample travel clear lime,-2,1,1,rather_good,bad
375,bottle excellent available plastic everyone pleased delivery glass lemon mint travel clear lime sample peach,-1,1,1,rather_good,rather_bad
376,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,-1,1,1,rather_good,rather_bad
377,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear lime,0,1,1,rather_good,neutral
378,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear refresh,-2,1,1,rather_good,bad
379,bottle glass lemon delivery mint sale peach broken forward usually plastic offer prov half mio,-2,0,0,neutral,bad
380,bottle glass lemon delivery mint sale peach broken usually forward offer plastic half prov mio,-2,0,0,neutral,bad
381,bottle glass lemon delivery mint sale peach usually broken forward offer plastic half prov mio,-2,0,0,neutral,bad
382,bottle glass lemon delivery sale mint usually broken peach offer forward plastic half prov mio,-2,0,0,neutral,bad
383,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap iced grab,2,1,1,rather_good,good
384,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap usually electrolyte,-2,1,1,rather_good,bad
385,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,1,1,1,rather_good,rather_good
386,bottle hair hazelnut cappuccino peach wine squeeze shampoo conditioner kit sparkle mio cost cola squirt,-2,1,1,rather_good,bad
387,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle cost mio cola squirt san,0,1,1,rather_good,neutral
388,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle mio cost cola carbonate squirt,-1,1,1,rather_good,rather_bad
389,bottle hazelnut delivery cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,2,1,1,rather_good,good
390,bottle local shipping excellent grocery cost deal available cheaper save fast carry pay per online,1,1,1,rather_good,rather_good
391,bottle plastic glass lemon delivery peach forward wine squeeze shampoo conditioner spring kit refresh mio,-2,1,1,rather_good,bad
392,bottle shipping available plastic everyone offer pleased delivery glass lemon seller mint sample purchasing peach,2,1,1,rather_good,good
393,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,-1,1,1,rather_good,rather_bad
394,bottle shipping excellent available everyone plastic pleased delivery offer glass lemon seller mint travel sample,-2,1,1,rather_good,bad
395,bottle shipping excellent available plastic everyone offer pleased delivery glass lemon seller mint travel sample,2,1,1,rather_good,good
396,bottle shipping excellent local grocery cost available cheaper carry pay ship per delivery subscribe online,2,1,1,rather_good,good
397,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,2,1,1,rather_good,good
398,bottle shipping grocery cost subscribe delivery pay carry available per seller hazelnut prime charge free,2,1,1,rather_good,good
399,bottle shipping grocery subscribe delivery prime charge wine cost gallon kit hazelnut mio walmart club,1,1,1,rather_good,rather_good
400,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count gallon,2,1,1,rather_good,good
401,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,0,1,1,rather_good,neutral
402,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,2,1,1,rather_good,good
403,bottle shipping plastic offer iced delivery glass lemon broken seller mint peach forward handle cent,-2,0,0,neutral,bad
404,bottle shipping subscribe delivery grocery prime charge wine cost gallon kit hazelnut mio club cola,2,1,1,rather_good,good
405,bottle usually sale glass lemon delivery offer mint broken peach forward plastic half iced mio,-1,0,0,neutral,rather_bad
406,bought arrive jar pretty still gift tin could crack shell four fancy otherwise enough think,-1,1,1,rather_good,rather_bad
407,bought arrive jar pretty still tin could crack four shell otherwise fancy gift second think,-1,1,1,rather_good,rather_bad
408,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,-2,1,1,rather_good,bad
409,bought buying local grocery cost able carry deliver stop cheaper plant supermarket shelf trip door,0,1,1,rather_good,neutral
410,bought buying local grocery cost able way carry cheaper stop deliver supermarket shelf trip office,0,0,0,neutral,neutral
411,bought free cooky butter peanut gluten cookie original sale shipping super mom addict reasonable prime,2,1,1,rather_good,good
412,bought free cooky butter peanut gluten cookie original sale super mom addict reasonable vegan prime,2,1,1,rather_good,good
413,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,1,1,1,rather_good,rather_good
414,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,0,1,1,rather_good,neutral
415,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,2,1,1,rather_good,good
416,bought local grocery cost buying cheaper able carry deliver live run plant stop shelf supermarket,2,1,1,rather_good,good
417,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,2,1,1,rather_good,good
418,bought pretty arrive still jar four otherwise tin could crack fancy shell second think surprisingly,-2,1,1,rather_good,bad
419,bought still enough arrive amaze jar pretty fine could everyone think another tin tree crack,-2,0,0,neutral,bad
420,bought still enough arrive amaze jar pretty fine everyone could think another tin tree otherwise,-2,0,0,neutral,bad
421,bought still enough pretty arrive amaze fine could jar everyone another think tree tin otherwise,-2,0,0,neutral,bad
422,bought still pretty arrive jar four second otherwise fancy crack shell feast surprisingly chest wedding,-2,1,1,rather_good,bad
423,box package shipping receive item purchase arrive pack candy packaging deal company open ship look,2,1,1,rather_good,good
424,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia gatorade,-2,1,1,rather_good,bad
425,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia pineapple,-2,1,1,rather_good,bad
426,bread flour cereal pancake baking pizza gluten-free mill crust cake wheat gluten dough pretzel bob's,2,1,1,rather_good,good
427,bread flour toast traditional member celiac mustard recipe disease yeast baking needle dough chinese loaf,-1,1,1,rather_good,rather_bad
428,bread flour toast traditional member mustard celiac recipe baking disease yeast needle dough chinese loaf,2,1,1,rather_good,good
429,bread flour traditional toast baking mustard member recipe celiac disease yeast needle dough chinese rise,1,1,1,rather_good,rather_good
430,bread flour traditional toast baking recipe mustard member celiac disease yeast needle rise dough chinese,2,0,0,neutral,good
431,bread recipe flour baking simple traditional toast sandwich mustard member celiac pizza disease rise yeast,2,1,1,rather_good,good
432,breakfast packet indiv convenient wrap pour control ual afternoon ually deep enjoy morning way relax,-2,1,1,rather_good,bad
433,breakfast packet indiv convenient wrap pour control ual afternoon ually morning deep enjoy way relax,-1,1,1,rather_good,rather_bad
434,breakfast packet indiv pour convenient wrap control ual afternoon ually deep enjoy worry english portion,-2,0,0,neutral,bad
435,breakfast packet indiv pour convenient wrap control ual portion afternoon ually worry deep since english,-2,0,0,neutral,bad
436,breakfast packet indiv pour convenient wrap portion control ual afternoon worry ually deep since english,0,0,0,neutral,neutral
437,breakfast packet indiv wrap convenient pour ual control afternoon ually morning deep enjoy stevia way,-1,0,0,neutral,rather_bad
438,breakfast packet indiv wrap convenient pour ual control afternoon ually morning enjoy deep stevia way,-2,0,0,neutral,bad
439,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,-2,1,1,rather_good,bad
440,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,2,1,1,rather_good,good
441,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,2,1,1,rather_good,good
442,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,2,1,1,rather_good,good
443,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,1,1,1,rather_good,rather_good
444,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,2,1,1,rather_good,good
445,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,0,0,0,neutral,neutral
446,butter peanut apple orange aware jelly poor grape choke possibly risk formula belly watch and<br,-2,0,0,neutral,bad
447,butter peanut apple orange aware poor jelly grape choke possibly risk formula belly and<br twenty,2,0,0,neutral,good
448,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,2,0,0,neutral,good
449,butter peanut apple orange jelly grape aware poor choke formula fact belly watch risk transition,-2,1,1,rather_good,bad
450,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,0,0,0,neutral,neutral
451,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk transition,0,1,1,rather_good,neutral
452,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,-2,0,0,neutral,bad
453,buying money cheaper bulk dont compare save costco finger spend personally waste hate range pull,-2,0,0,neutral,bad
454,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,2,0,0,neutral,good
455,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,1,0,0,neutral,rather_good
456,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,1,0,0,neutral,rather_good
457,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,1,1,1,rather_good,rather_good
458,buying sauce serve per save regular cost cheaper red spicy pepper pay subscribe option heat,-2,1,1,rather_good,bad
459,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,-1,0,0,neutral,rather_bad
460,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,2,1,1,rather_good,good
461,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,2,1,1,rather_good,good
462,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,2,1,1,rather_good,good
463,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,2,1,1,rather_good,good
464,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,2,1,1,rather_good,good
465,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,2,1,1,rather_good,good
466,calorie low fat protein weight sodium high fiber gram diet content carbs lose substitute carb,2,1,1,rather_good,good
467,calorie low protein fat coconut diet juice serve fiber sodium gram weight vitamin per carbs,1,1,1,rather_good,rather_good
468,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,2,1,1,rather_good,good
469,calorie protein fat coconut low fiber sodium gram vitamin carbs splenda msg bpa ant nutritional,1,1,1,rather_good,rather_good
470,calorie protein fat low coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,2,1,1,rather_good,good
471,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,2,1,1,rather_good,good
472,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,0,1,1,rather_good,neutral
473,calorie protein low fat coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,2,1,1,rather_good,good
474,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,2,1,1,rather_good,good
475,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,2,1,1,rather_good,good
476,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,0,1,1,rather_good,neutral
477,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,2,1,1,rather_good,good
478,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,2,1,1,rather_good,good
479,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,2,1,1,rather_good,good
480,calorie serve low fat protein coconut diet juice per powder health fiber weight sodium gram,2,1,1,rather_good,good
481,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,-2,0,0,neutral,bad
482,can't almond blue ounce wait cocoa magnesium beat diamond say blood reminds nutrient alot rda,-2,0,0,neutral,bad
483,can't almond blue wait iced cocoa magnesium beat diamond reminds alot wasabi nutrient rda bowel,-1,0,0,neutral,rather_bad
484,can't almond blue wait ounce cocoa magnesium say beat diamond blood reminds nutrient rda alot,-2,0,0,neutral,bad
485,can't almond ounce blue wait cocoa magnesium beat cause diamond blood reminds alot nutrient rda,0,0,0,neutral,neutral
486,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,-1,0,0,neutral,rather_bad
487,can't run wait cocoa iced bone beat steep alot mug least say house watery sure,-2,0,0,neutral,bad
488,can't run wait cocoa iced bone beat steep alot mug least watery house sure say,-2,0,0,neutral,bad
489,can't run wait cocoa iced bone beat steep alot mug watery canister sure house meaty,-1,0,0,neutral,rather_bad
490,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,-2,0,0,neutral,bad
491,can't say almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda bowel,0,0,0,neutral,neutral
499,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,2,0,0,neutral,good
