able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter	-1	 neutral</s>
always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest	-2	 neutral</s>
always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new	-1	 neutral</s>
always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less	-1	 neutral</s>
always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven	-2	 rather yes. The words can be grouped into
always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven	-2	 rather yes. The words can be grouped into
always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven	-1	 rather yes. The words can be generally categorized
always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven	-2	 rather yes</s>
always last buying whole open worth case they're that's hand couple jar part mine pouch	0	 neutral</s>
always last sure case they're open couple jar week two whole part mine someone seed	-2	 neutral</s>
always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers	-2	 neutral</s>
always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon	2	 neutral</s>
always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain	-1	 neutral</s>
always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain	-2	 neutral</s>
always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature	-1	 neutral</s>
always sure case last they're couple jar open week two mine part someone seed pouch	-2	 neutral</s>
always sure case last they're couple week jar open two part mine someone seed pouch	-2	 neutral</s>
always sure last case they're couple week open jar two part mine someone seed pouch	-2	 neutral</s>
always sure last case they're two week couple jar part mine maybe someone open seed	-1	 neutral</s>
always sure last open whole case they're week maybe couple jar that's part mine someone	-2	 neutral</s>
andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck	-2	 neutral</s>
andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby	-1	 neutral</s>
andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init	-2	 neutral</s>
andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual	-1	 rather no.</s>
andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male	-2	 rather yes. The words "andrew," "
andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia	-2	 neutral</s>
andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight	-1	 neutral</s>
andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary	-2	 neutral</s>
andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird	-2	 neutral</s>
andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird	-1	 neutral</s>
andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild	-2	 neutral</s>
anonymous internet news usenet service privacy email electronic congress network user public bill site address	0	 rather yes. The words can be generally grouped
anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview	-2	 rather yes. The words can be generally grouped
anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic	-2	 rather yes. The words can be generally grouped
anonymous news service usenet conference congress public privacy email electronic internet network bill user server	1	 rather yes. The words can be generally grouped
anonymous news service usenet privacy network electronic internet email site public user server congress archive	-2	 rather yes</s>
anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse	2	 rather yes. The words "news," "cr
anonymous public private news crime server religion carry cview pretty bill internet paul congress conference	-2	 rather yes</s>
anonymous public private news crime server religion carry pretty bill cview internet paul hold thought	2	 neutral</s>
anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously	-1	 rather yes</s>
anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously	-2	 neutral</s>
anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip	-2	 neutral</s>
anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead	-2	 neutral</s>
anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas	-2	 neutral</s>
anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny	-1	 neutral</s>
anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip	-2	 neutral</s>
anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip	-2	 neutral</s>
apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd	0	 rather yes. The words "apartment building,"
apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat	1	 neutral</s>
appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass	-1	 neutral</s>
appear access henry toronto hole digex star captain harris spencer mass theory light weaver black	0	 neutral</s>
appear access hole henry toronto digex star light captain black theory harris spencer energy weaver	-2	 neutral</s>
appear access hole henry toronto digex star light captain harris spencer theory black energy weaver	-2	 neutral</s>
appear access hole henry toronto digex star light captain harris theory spencer black energy weaver	-2	 neutral</s>
appear cover black light miss level theory hole story excellent trade henry toronto given physical	-2	 neutral</s>
appear henry black toronto trade cover hole digex access captain light star company alaska level	-2	 neutral</s>
appear henry toronto black trade cover hole digex access light captain star level company alaska	-2	 neutral</s>
apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra	-1	 rather yes. The words "apple," "machine
apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty	-2	 neutral</s>
apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware	0	 neutral</s>
apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason	-1	 neutral</s>
apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago	1	 neutral</s>
apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason	0	 neutral</s>
apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent	2	 rather yes. The words "apple," "s
apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent	0	 rather yes. This word set is related to the
apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent	-1	 rather yes. The words "apple," "s
apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark	-2	 neutral</s>
application window resource word science allow ever human child money health center return motif already	-2	 neutral</s>
appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice	-1	 rather yes</s>
appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter	-2	 neutral</s>
appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal	-2	 neutral</s>
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn	-2	 neutral</s>
appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently	-2	 rather yes</s>
appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx	-2	 rather yes</s>
appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge	-1	 neutral</s>
appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade	-2	 neutral</s>
appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure	-2	 neutral</s>
appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology	-1	 rather yes</s>
appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter	0	 neutral</s>
appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx	2	 rather yes</s>
appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx	-2	 rather yes</s>
appreciate card israeli israel kill send drug wrong money attack cause phone land company thought	-1	 neutral</s>
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice	-2	 rather yes. The words can be grouped into
appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware	2	 rather yes</s>
appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics	0	 rather yes</s>
appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type	2	 rather yes</s>
appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge	-2	 neutral</s>
appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge	-2	 neutral</s>
april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always	-2	 rather yes. The words "april," "
april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft	-2	 rather yes. The words "april," "
april nasa star canada bike score always goal maynard area player hockey wings center white	-2	 rather yes. The words "april," "
arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building	2	 neutral</s>
arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize	-2	 neutral</s>
arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish	1	 rather yes. The words "arab," "
argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur	-2	 neutral</s>
argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin	-2	 neutral</s>
argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur	-2	 neutral</s>
argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur	-2	 neutral</s>
argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin	-2	 neutral</s>
argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur	-1	 neutral</s>
argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot	-1	 rather yes</s>
argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority	-2	 neutral</s>
argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter	-2	 neutral</s>
argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue	2	 rather yes. The words "argument," "con
argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue	-2	 rather yes. The words "argument," "con
argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume	0	 rather yes</s>
argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature	-2	 rather yes</s>
argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion	-1	 rather yes. The words "argument," "dis
argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong	0	 rather yes</s>
argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether	-1	 rather yes. The words in the given list can
argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule	-2	 rather yes. The words "argument," "m
argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion	0	 rather yes</s>
argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule	2	 rather yes</s>
argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense	-1	 rather yes</s>
argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue	2	 rather yes. This word set is primarily related to
argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue	-1	 rather yes. This word set is primarily related to
argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence	0	 neutral</s>
arrive second gum hope date online however original past finish last today stale broken shipment	-1	 rather yes</s>
arrive second gum hope date online however original past last finish today stale broken shipment	-2	 rather yes</s>
arrive second gum hope date online original past stale shipment today finish however dec expiration	-2	 rather yes</s>
arrive second gum hope online date original past already soon finish today broken stale plan	-2	 rather no.</s>
atheism atheist religion religious belief faith command monitor following check email switch send boot message	-2	 neutral</s>
atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position	-1	 neutral</s>
atheist atheism religion religious belief faith command theist strong saturn position universe following cause response	1	 rather yes. The words "atheist,"
atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove	2	 rather yes. The words "atheist,"
atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove	2	 rather yes. The words "atheist,"
atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove	2	 rather yes. The words primarily revolve around the
atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument	2	 rather yes</s>
atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong	2	 rather yes</s>
atheist religion atheism religious belief faith theist strong command universe position saturn cause response following	2	 rather yes. The words "atheist,"
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message	2	 neutral</s>
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially	2	 rather yes. The words "attack," "
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord	2	 neutral</s>
attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop	0	 neutral</s>
attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope	-1	 neutral</s>
attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight	-2	 neutral</s>
attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe	-2	 neutral</s>
attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight	-2	 neutral</s>
attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu	-2	 neutral</s>
attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla	-2	 rather yes</s>
attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla	2	 rather yes</s>
attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope	2	 neutral</s>
attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black	-1	 neutral</s>
attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white	-1	 neutral</s>
away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection	0	 rather yes</s>
away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank	-1	 rather yes</s>
baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's	-2	 neutral</s>
baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber	-2	 neutral</s>
baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent	-1	 neutral</s>
baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant	-1	 neutral</s>
baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek	-2	 neutral</s>
back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous	-2	 rather yes</s>
back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous	-2	 rather yes</s>
back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach	-2	 rather yes</s>
back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach	-2	 neutral</s>
back wonderful new drinking home change amaze highly next issue thank left set excite share	-2	 rather yes</s>
back wonderful new drinking home change highly amaze next issue thank left set excite share	-2	 rather yes</s>
back wonderful new highly drinking home change amaze next issue thank left set excite share	-2	 rather yes</s>
back wonderful new highly drinking home change amaze next issue thank left set share excite	-1	 rather yes</s>
back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic	0	 rather yes</s>
back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic	-1	 rather yes</s>
back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere	-2	 rather yes</s>
back wonderful new home change drinking amaze husband next issue thank left highly life anyone	-2	 neutral</s>
back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere	0	 rather yes</s>
back wonderful new home change next amaze issue thank left lose hope life office fantastic	-2	 rather yes</s>
back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton	-1	 neutral</s>
back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness	-1	 neutral</s>
banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager	-2	 neutral</s>
bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar	2	 rather yes. The words can be grouped into
bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar	0	 rather yes. The words can be grouped into
bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax	2	 rather yes. The words can be grouped into
bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut	2	 rather yes. The words can be grouped into
bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut	2	 rather yes. The words can be grouped into
bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran	2	 rather yes. The words mainly belong to the topic
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut	2	 rather yes. The words can be grouped into
bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch	2	 rather yes. The words can be generally grouped
bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew	2	 rather yes. This word set is related to food
bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin	2	 rather yes. The words can be grouped into
bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy	2	 rather yes. The words can be grouped into
bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond	2	 rather yes. The words can be grouped into
bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake	2	 rather yes. The words mainly revolve around food
bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict	2	 rather yes. The words mainly revolve around food
bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict	2	 rather yes. The words mainly revolve around food
bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake	2	 rather yes. The words can be generally grouped
bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious	2	 rather yes. The words can be generally grouped
bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict	2	 rather yes. The words can be grouped into
bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry	2	 rather yes. The words can be grouped into
bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake	-2	 rather yes. The words can be generally grouped
baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska	2	 neutral</s>
baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third	2	 rather yes. The words have a general connection to
baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league	2	 rather yes. The words have a general connection to
battery looking email sell graphics food apple advance dyer nasa fine friend image running found	-1	 neutral</s>
battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa	-1	 neutral</s>
bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat	0	 neutral</s>
bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat	-2	 neutral</s>
bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply	1	 neutral</s>
bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten	2	 rather yes. The words can be grouped into
begin father massacre sport jayne joel newspaper hole soldier russian yassin oracle french spirit fill	-2	 neutral</s>
belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing	2	 rather yes</s>
belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing	2	 rather yes. The words primarily revolve around the
belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing	1	 rather yes</s>
berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer	0	 rather yes. The words "court," "charge
berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum	2	 rather yes. The words "Berkeley," "
berkeley court hate francisco anti charge jacket dangerous property leather museum legal california judge arens	0	 neutral</s>
berkeley court love hate francisco anti jacket property leather charge money museum dangerous loud safe	-2	 rather no.</s>
berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe	-2	 rather yes</s>
bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth	2	 rather yes. The words primarily relate to religious themes
bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth	2	 rather yes. The words primarily relate to religious themes
bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach	2	 Yes. These words are primarily related to the topic
bible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith	2	 rather yes. This word set is primarily related to
bible christ matthew lord faith heaven scripture teach father word mary save spirit love shall	2	 rather yes. This word set primarily relates to
bible christ matthew lord father faith word holy spirit scripture heaven teach doctrine passage church	2	 yes</s>
bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary	2	 rather yes. This word set primarily relates to
bible christ matthew lord heaven scripture faith teach word father mary save spirit passage verse	2	 rather yes. This word set primarily relates to
bible christ matthew lord heaven scripture faith word father teach mary passage spirit save verse	2	 rather yes. This word set is primarily related to
bible christ matthew word authority scripture human means passage truth always belief saying heaven coming	2	 rather yes. The majority of these words are related
bible christ matthew word authority scripture human means passage truth always saying belief coming mark	2	 rather yes. The words primarily relate to the topic
bible church christ faith matthew catholic scripture father lord word heaven holy spirit truth belief	2	 yes</s>
bible church christ faith matthew father scripture lord word catholic truth heaven holy belief spirit	2	 rather yes. This word set primarily relates to
bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority	2	 yes</s>
bible church christ faith matthew word father scripture truth belief lord heaven holy spirit authority	2	 yes</s>
bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation	2	 rather yes. This word set primarily relates to
bible church christ truth faith lord catholic scripture father christianity belief heaven hell holy interpretation	2	 rather yes. This word set primarily relates to
bible church christ truth faith love word lord paul catholic belief quote scripture father matthew	2	 rather yes. This word set primarily relates to
bible church christ truth faith love word lord paul catholic scripture father matthew quote belief	2	 rather yes. This word set primarily relates to
bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim	2	 rather yes. The words primarily relate to the topics
bible religion turkish church belief truth argument faith christ atheist greek muslim human ence word	2	 rather yes</s>
bible religion turkish church belief truth argument faith christ atheist muslim ence greek human word	2	 rather yes</s>
bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word	2	 rather yes</s>
bible religion turkish church belief truth argument faith christ atheist muslim greek human ence word	2	 neutral</s>
bible religion turkish church belief truth argument faith christ ence muslim greek human atheist word	2	 rather yes</s>
bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist	2	 rather yes. The words primarily relate to the topics
bible religion turkish church belief truth argument faith christ ence muslim greek word human moral	2	 rather yes. The words primarily revolve around the
bible religion turkish church belief truth argument faith christ ence word muslim greek human moral	2	 rather yes. The words primarily revolve around the
bible religion turkish church belief truth argument faith christ word ence muslim greek human moral	2	 rather yes</s>
bible religion turkish church belief truth faith argument christ atheist greek muslim word human ence	2	 rather yes</s>
bible religion turkish church belief truth faith argument christ atheist word greek muslim human moral	2	 rather yes</s>
bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human	2	 rather yes</s>
big available packaging con value hair difficult search bottom clear ering damage bacon line none	-1	 neutral</s>
big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo	0	 neutral</s>
big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car	2	 rather yes. The words can be categorized as
bike engine front mile speed tire road turn light motorcycle wheel driving model ford left	2	 rather yes. The words can be generally related to
