,true,model_extracted,task,true_num,classification_metric
102,bad,-2,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,-2,0
103,bad,-2,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,-2,0
104,bad,-2,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,-2,0
105,bad,-2,appear cover black light miss level theory hole story excellent trade henry toronto given physical,-2,0
106,bad,-2,appear henry black toronto trade cover hole digex access captain light star company alaska level,-2,0
107,bad,-2,appear henry toronto black trade cover hole digex access light captain star level company alaska,-2,0
108,bad,2,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,-2,1
109,bad,-2,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,-2,0
110,bad,-2,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,-2,0
111,bad,-2,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,-2,0
112,good,-2,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,2,0
113,bad,-2,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,-2,0
114,good,2,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,2,1
115,good,2,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,2,1
116,bad,2,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,-2,1
117,bad,-2,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,-2,0
118,bad,-2,application window resource word science allow ever human child money health center return motif already,-2,0
119,bad,-2,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,-2,0
120,bad,-2,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,-2,0
121,bad,-2,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,-2,0
122,bad,-2,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,-2,0
123,bad,-2,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,-2,0
124,bad,-2,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,-2,0
125,bad,-2,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,-2,0
126,bad,-2,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,-2,0
127,bad,-2,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,-2,0
128,bad,-2,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,-2,0
129,bad,-2,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,-2,0
130,good,-2,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,2,0
131,bad,-2,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,-2,0
132,bad,-2,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,-2,0
133,bad,-2,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,-2,0
134,good,-2,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,2,0
135,bad,-2,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,-2,0
136,good,-2,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,2,0
137,bad,-2,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,-2,0
138,bad,-2,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,-2,0
139,bad,-2,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,-2,0
140,bad,-2,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,-2,0
141,bad,-2,april nasa star canada bike score always goal maynard area player hockey wings center white,-2,0
142,good,-2,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,2,0
143,bad,-2,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,-2,0
144,good,-2,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,2,0
145,bad,-2,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,-2,0
146,bad,-2,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,-2,0
147,bad,-2,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,-2,0
148,bad,-2,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur,-2,0
149,bad,-2,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,-2,0
150,bad,-2,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,-2,0
151,bad,-2,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot,-2,0
152,bad,-2,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,-2,0
153,bad,-2,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter,-2,0
154,good,-2,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,2,0
155,bad,-2,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,-2,0
156,good,-2,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,2,0
157,bad,-2,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,-2,0
158,bad,-2,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,-2,0
159,good,-2,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,2,0
160,bad,-2,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether,-2,0
161,bad,-2,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,-2,0
162,good,-2,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,2,0
163,good,-2,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,2,0
164,bad,-2,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,-2,0
165,good,-2,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,2,0
166,bad,-2,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,-2,0
167,bad,-2,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,-2,0
168,bad,-2,arrive second gum hope date online however original past finish last today stale broken shipment,-2,0
169,bad,-2,arrive second gum hope date online however original past last finish today stale broken shipment,-2,0
170,bad,-2,arrive second gum hope date online original past stale shipment today finish however dec expiration,-2,0
171,bad,-2,arrive second gum hope online date original past already soon finish today broken stale plan,-2,0
172,bad,2,atheism atheist religion religious belief faith command monitor following check email switch send boot message,-2,1
173,bad,-2,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,-2,0
174,good,2,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,2,1
175,good,-2,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,2,0
176,good,-2,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,2,0
177,good,-2,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,2,0
178,good,-2,atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,2,0
179,good,2,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,2,1
180,good,2,atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,2,1
181,good,-2,atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,2,0
182,good,-2,attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,2,0
183,good,-2,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,2,0
184,good,-2,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,2,0
185,bad,-2,attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope,-2,0
186,bad,-2,attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight,-2,0
187,bad,-2,attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe,-2,0
188,bad,-2,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,-2,0
189,bad,-2,attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu,-2,0
190,bad,-2,attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla,-2,0
191,good,-2,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,2,0
192,good,-2,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,2,0
193,bad,-2,attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,-2,0
194,bad,-2,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white,-2,0
195,bad,-2,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,-2,0
196,bad,-2,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,-2,0
197,bad,-2,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,-2,0
198,bad,-2,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber,-2,0
199,bad,-2,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,-2,0
200,bad,-2,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant,-2,0
201,bad,-2,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,-2,0
202,bad,-2,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous,-2,0
203,bad,-2,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,-2,0
204,bad,-2,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach,-2,0
205,bad,-2,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,-2,0
206,bad,-2,back wonderful new drinking home change amaze highly next issue thank left set excite share,-2,0
207,bad,-2,back wonderful new drinking home change highly amaze next issue thank left set excite share,-2,0
208,bad,-2,back wonderful new highly drinking home change amaze next issue thank left set excite share,-2,0
209,bad,-2,back wonderful new highly drinking home change amaze next issue thank left set share excite,-2,0
210,bad,-2,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic,-2,0
211,bad,-2,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,-2,0
212,bad,-2,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere,-2,0
213,bad,-2,back wonderful new home change drinking amaze husband next issue thank left highly life anyone,-2,0
214,bad,-2,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,-2,0
215,bad,-2,back wonderful new home change next amaze issue thank left lose hope life office fantastic,-2,0
216,bad,-2,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton,-2,0
217,bad,-2,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness,-2,0
218,bad,-2,banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager,-2,0
219,good,-2,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,2,0
220,good,-2,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,2,0
221,good,-2,bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,2,0
222,good,-2,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,2,0
223,good,-2,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,2,0
224,good,-2,bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,2,0
225,good,-2,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,2,0
226,good,-2,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,2,0
227,good,2,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,2,1
228,good,-2,bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,2,0
229,good,2,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,2,1
230,good,2,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,2,1
231,good,-2,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,2,0
232,good,2,bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,2,1
233,good,2,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,2,1
234,good,2,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,2,1
235,good,2,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,2,1
236,good,2,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,2,1
237,good,2,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,2,1
238,bad,-2,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,-2,0
239,good,2,baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,2,1
240,good,2,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,2,1
241,good,2,baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,2,1
242,bad,-2,battery looking email sell graphics food apple advance dyer nasa fine friend image running found,-2,0
243,bad,-2,battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa,-2,0
244,bad,-2,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,-2,0
245,bad,-2,bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat,-2,0
246,good,-2,bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply,2,0
247,good,2,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,2,1
248,bad,-2,begin father massacre sport jayne joel newspaper hole soldier russian yassin oracle french spirit fill,-2,0
249,good,-2,belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing,2,0
250,good,-2,belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,2,0
251,good,-2,belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,2,0
252,bad,2,berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer,-2,1
253,good,2,berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,2,1
254,bad,-2,berkeley court hate francisco anti charge jacket dangerous property leather museum legal california judge arens,-2,0
255,bad,-2,berkeley court love hate francisco anti jacket property leather charge money museum dangerous loud safe,-2,0
256,bad,-2,berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe,-2,0
257,good,2,bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,2,1
258,good,2,bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,2,1
259,good,2,bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach,2,1
260,good,2,bible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith,2,1
261,good,2,bible christ matthew lord faith heaven scripture teach father word mary save spirit love shall,2,1
262,good,2,bible christ matthew lord father faith word holy spirit scripture heaven teach doctrine passage church,2,1
263,good,2,bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary,2,1
264,good,2,bible christ matthew lord heaven scripture faith teach word father mary save spirit passage verse,2,1
265,good,2,bible christ matthew lord heaven scripture faith word father teach mary passage spirit save verse,2,1
266,good,-2,bible christ matthew word authority scripture human means passage truth always belief saying heaven coming,2,0
267,good,-2,bible christ matthew word authority scripture human means passage truth always saying belief coming mark,2,0
268,good,2,bible church christ faith matthew catholic scripture father lord word heaven holy spirit truth belief,2,1
269,good,2,bible church christ faith matthew father scripture lord word catholic truth heaven holy belief spirit,2,1
270,good,2,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,2,1
271,good,2,bible church christ faith matthew word father scripture truth belief lord heaven holy spirit authority,2,1
272,good,2,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,2,1
273,good,2,bible church christ truth faith lord catholic scripture father christianity belief heaven hell holy interpretation,2,1
274,good,2,bible church christ truth faith love word lord paul catholic belief quote scripture father matthew,2,1
275,good,2,bible church christ truth faith love word lord paul catholic scripture father matthew quote belief,2,1
276,good,2,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim,2,1
277,good,2,bible religion turkish church belief truth argument faith christ atheist greek muslim human ence word,2,1
278,good,2,bible religion turkish church belief truth argument faith christ atheist muslim ence greek human word,2,1
279,good,2,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,2,1
280,good,2,bible religion turkish church belief truth argument faith christ atheist muslim greek human ence word,2,1
281,good,2,bible religion turkish church belief truth argument faith christ ence muslim greek human atheist word,2,1
282,good,2,bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist,2,1
283,good,2,bible religion turkish church belief truth argument faith christ ence muslim greek word human moral,2,1
284,good,2,bible religion turkish church belief truth argument faith christ ence word muslim greek human moral,2,1
285,good,2,bible religion turkish church belief truth argument faith christ word ence muslim greek human moral,2,1
286,good,2,bible religion turkish church belief truth faith argument christ atheist greek muslim word human ence,2,1
287,good,2,bible religion turkish church belief truth faith argument christ atheist word greek muslim human moral,2,1
288,good,2,bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human,2,1
289,bad,-2,big available packaging con value hair difficult search bottom clear ering damage bacon line none,-2,0
290,good,-2,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo,2,0
291,good,-2,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,2,0
292,good,-2,bike engine front mile speed tire road turn light motorcycle wheel driving model ford left,2,0
293,good,-2,bike engine front mile speed tire road turn light motorcycle wheel driving model left ford,2,0
294,good,-2,bike engine front mile speed tire road turn motorcycle light wheel driving model ford left,2,0
295,good,-2,bike engine front mile tire motorcycle wheel driving ford rear honda vehicle brake traffic speed,2,0
296,good,-2,bike engine front mile tire road speed motorcycle wheel turn driving light model rear cross,2,0
297,good,-2,bike engine front tire mile wheel road friend motorcycle modem cross model speed vehicle driving,2,0
298,good,2,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar,2,1
