,true,model,wordset,model_num,true_num
203,bad,good,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,2,-2
204,bad,good,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach,2,-2
205,bad,good,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,2,-2
206,bad,good,back wonderful new drinking home change amaze highly next issue thank left set excite share,2,-2
207,bad,good,back wonderful new drinking home change highly amaze next issue thank left set excite share,2,-2
208,bad,good,back wonderful new highly drinking home change amaze next issue thank left set excite share,2,-2
209,rather_bad,good,back wonderful new highly drinking home change amaze next issue thank left set share excite,2,-1
210,neutral,good,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic,2,0
211,rather_bad,good,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,2,-1
212,bad,good,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere,2,-2
213,bad,good,back wonderful new home change drinking amaze husband next issue thank left highly life anyone,2,-2
214,neutral,good,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,2,0
215,bad,good,back wonderful new home change next amaze issue thank left lose hope life office fantastic,2,-2
216,rather_bad,good,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton,2,-1
217,rather_bad,good,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness,2,-1
219,good,good,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,2,2
220,neutral,good,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,2,0
221,good,good,bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,2,2
222,good,good,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,2,2
223,good,good,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,2,2
224,good,good,bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,2,2
225,good,good,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,2,2
226,good,good,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,2,2
227,good,good,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,2,2
228,good,good,bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,2,2
229,good,good,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,2,2
230,good,good,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,2,2
231,good,good,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,2,2
232,good,good,bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,2,2
233,good,good,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,2,2
234,good,good,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,2,2
235,good,good,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,2,2
236,good,good,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,2,2
237,good,good,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,2,2
238,bad,good,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,2,-2
244,neutral,good,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,2,0
245,bad,good,bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat,2,-2
246,rather_good,good,bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply,2,1
247,good,bad,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,-2,2
289,rather_bad,good,big available packaging con value hair difficult search bottom clear ering damage bacon line none,2,-1
290,neutral,bad,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo,-2,0
291,good,bad,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,-2,2
334,bad,good,bit almost especially type tiny remember learn interest require honestly class indian perhaps term second,2,-2
335,bad,good,bit almost type three especially two tiny remember learn second interest could fair require still,2,-2
336,bad,good,bit almost type three especially two tiny remember second learn could interest fair require still,2,-2
337,bad,good,bit almost type three two especially tiny remember learn second interest could fair require still,2,-2
338,bad,good,bit almost type two three especially tiny remember learn second interest could fair require still,2,-2
339,rather_bad,good,bit cream bold extra tiny ice second remember three two blend type way people almost,2,-1
340,bad,good,bit cream extra bold ice tiny three second remember type two blend single people way,2,-2
341,bad,good,bit extra cream bold ice three tiny second type remember two single people way require,2,-2
342,bad,good,bit extra cream three bold ice type second tiny remember two single people honestly require,2,-2
343,bad,good,bit extra three cream bold type ice second tiny remember two single honestly require people,2,-2
344,bad,good,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce pay subscribe,2,-2
345,neutral,good,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce subscribe heat,2,0
346,neutral,good,bit hot buying sauce serve per save cost cheaper red spicy pepper pay ounce subscribe,2,0
347,rather_bad,good,bit long roast half dark full away rich flavorful miss extremely person lover steep double,2,-1
348,bad,good,bit lot long roast half dark away full run rich flavorful miss ground person stay,2,-2
349,neutral,good,bit roast dark full away long half rich flavorful miss extremely person lover ground steep,2,0
350,bad,good,bit roast dark full away long rich half flavorful miss person extremely lover ground noodle,2,-2
351,good,good,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,2,2
352,rather_bad,good,bit type three extra second cream ice bold tiny remember single two honestly require mistake,2,-1
353,rather_bad,good,bit work seem thing easy way quite vanilla expect recipe bread probably n't cream bowl,2,-1
354,bad,bad,bit work seem thing way n't quite vanilla expect i'd probably recipe bread wish cream,-2,-2
355,rather_bad,bad,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,-2,-1
356,good,bad,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,-2,2
360,rather_bad,bad,blend morning breakfast packet brew indiv mild wrap stevia ual convenient afternoon liqu ually pour,-2,-1
361,rather_good,bad,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,-2,1
362,good,bad,blend morning usually light brew breakfast packet mild indiv pour convenient wrap stevia brewing ual,-2,2
363,bad,good,body almond blue smooth cause magnesium diamond increase reminds blood peppermint nutrient bowel rda source,2,-2
366,bad,good,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,2,-2
367,rather_bad,good,bone bubble rawh slim gum chewer steel mushroom miso noodle oat shrimp bulldog dubble reply,2,-1
368,bad,good,bone teeth difficult okay combination msg pea spent rawh produce what's glutamate monosodium europe potential,2,-2
369,neutral,good,bottle delivery hazelnut cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,2,0
370,rather_bad,bad,bottle delivery hazelnut peach wine squeeze kit sparkle cost selection mio cola carbonate squirt san,-2,-1
371,good,good,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear lime,2,2
372,rather_bad,good,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear seller,2,-1
373,bad,good,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,2,-2
374,bad,good,bottle excellent available everyone plastic pleased delivery glass lemon mint offer sample travel clear lime,2,-2
375,rather_bad,good,bottle excellent available plastic everyone pleased delivery glass lemon mint travel clear lime sample peach,2,-1
376,rather_bad,good,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,2,-1
377,neutral,good,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear lime,2,0
378,bad,good,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear refresh,2,-2
379,bad,good,bottle glass lemon delivery mint sale peach broken forward usually plastic offer prov half mio,2,-2
380,bad,good,bottle glass lemon delivery mint sale peach broken usually forward offer plastic half prov mio,2,-2
381,bad,good,bottle glass lemon delivery mint sale peach usually broken forward offer plastic half prov mio,2,-2
382,bad,good,bottle glass lemon delivery sale mint usually broken peach offer forward plastic half prov mio,2,-2
383,good,bad,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap iced grab,-2,2
384,bad,bad,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap usually electrolyte,-2,-2
385,rather_good,bad,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,-2,1
386,bad,good,bottle hair hazelnut cappuccino peach wine squeeze shampoo conditioner kit sparkle mio cost cola squirt,2,-2
387,neutral,good,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle cost mio cola squirt san,2,0
388,rather_bad,good,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle mio cost cola carbonate squirt,2,-1
389,good,good,bottle hazelnut delivery cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,2,2
390,rather_good,good,bottle local shipping excellent grocery cost deal available cheaper save fast carry pay per online,2,1
391,bad,bad,bottle plastic glass lemon delivery peach forward wine squeeze shampoo conditioner spring kit refresh mio,-2,-2
392,good,good,bottle shipping available plastic everyone offer pleased delivery glass lemon seller mint sample purchasing peach,2,2
393,rather_bad,bad,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,-2,-1
394,bad,good,bottle shipping excellent available everyone plastic pleased delivery offer glass lemon seller mint travel sample,2,-2
395,good,good,bottle shipping excellent available plastic everyone offer pleased delivery glass lemon seller mint travel sample,2,2
396,good,good,bottle shipping excellent local grocery cost available cheaper carry pay ship per delivery subscribe online,2,2
397,good,good,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,2,2
398,good,good,bottle shipping grocery cost subscribe delivery pay carry available per seller hazelnut prime charge free,2,2
399,rather_good,bad,bottle shipping grocery subscribe delivery prime charge wine cost gallon kit hazelnut mio walmart club,-2,1
400,good,good,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count gallon,2,2
401,neutral,good,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,2,0
402,good,good,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,2,2
403,bad,good,bottle shipping plastic offer iced delivery glass lemon broken seller mint peach forward handle cent,2,-2
404,good,bad,bottle shipping subscribe delivery grocery prime charge wine cost gallon kit hazelnut mio club cola,-2,2
405,rather_bad,good,bottle usually sale glass lemon delivery offer mint broken peach forward plastic half iced mio,2,-1
406,rather_bad,good,bought arrive jar pretty still gift tin could crack shell four fancy otherwise enough think,2,-1
407,rather_bad,good,bought arrive jar pretty still tin could crack four shell otherwise fancy gift second think,2,-1
408,bad,good,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,2,-2
409,neutral,good,bought buying local grocery cost able carry deliver stop cheaper plant supermarket shelf trip door,2,0
410,neutral,good,bought buying local grocery cost able way carry cheaper stop deliver supermarket shelf trip office,2,0
411,good,bad,bought free cooky butter peanut gluten cookie original sale shipping super mom addict reasonable prime,-2,2
412,good,bad,bought free cooky butter peanut gluten cookie original sale super mom addict reasonable vegan prime,-2,2
413,rather_good,good,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,2,1
414,neutral,good,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,2,0
415,good,good,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,2,2
416,good,good,bought local grocery cost buying cheaper able carry deliver live run plant stop shelf supermarket,2,2
417,good,good,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,2,2
418,bad,good,bought pretty arrive still jar four otherwise tin could crack fancy shell second think surprisingly,2,-2
419,bad,good,bought still enough arrive amaze jar pretty fine could everyone think another tin tree crack,2,-2
420,bad,good,bought still enough arrive amaze jar pretty fine everyone could think another tin tree otherwise,2,-2
421,bad,good,bought still enough pretty arrive amaze fine could jar everyone another think tree tin otherwise,2,-2
422,bad,good,bought still pretty arrive jar four second otherwise fancy crack shell feast surprisingly chest wedding,2,-2
423,good,good,box package shipping receive item purchase arrive pack candy packaging deal company open ship look,2,2
424,bad,good,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia gatorade,2,-2
425,bad,good,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia pineapple,2,-2
426,good,good,bread flour cereal pancake baking pizza gluten-free mill crust cake wheat gluten dough pretzel bob's,2,2
427,rather_bad,good,bread flour toast traditional member celiac mustard recipe disease yeast baking needle dough chinese loaf,2,-1
428,good,good,bread flour toast traditional member mustard celiac recipe baking disease yeast needle dough chinese loaf,2,2
429,rather_good,good,bread flour traditional toast baking mustard member recipe celiac disease yeast needle dough chinese rise,2,1
430,good,good,bread flour traditional toast baking recipe mustard member celiac disease yeast needle rise dough chinese,2,2
431,good,good,bread recipe flour baking simple traditional toast sandwich mustard member celiac pizza disease rise yeast,2,2
432,bad,good,breakfast packet indiv convenient wrap pour control ual afternoon ually deep enjoy morning way relax,2,-2
433,rather_bad,good,breakfast packet indiv convenient wrap pour control ual afternoon ually morning deep enjoy way relax,2,-1
434,bad,good,breakfast packet indiv pour convenient wrap control ual afternoon ually deep enjoy worry english portion,2,-2
435,bad,good,breakfast packet indiv pour convenient wrap control ual portion afternoon ually worry deep since english,2,-2
436,neutral,good,breakfast packet indiv pour convenient wrap portion control ual afternoon worry ually deep since english,2,0
437,rather_bad,good,breakfast packet indiv wrap convenient pour ual control afternoon ually morning deep enjoy stevia way,2,-1
438,bad,good,breakfast packet indiv wrap convenient pour ual control afternoon ually morning enjoy deep stevia way,2,-2
439,bad,bad,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,-2,-2
440,good,bad,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,-2,2
441,good,bad,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,-2,2
442,good,bad,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,-2,2
443,rather_good,bad,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,-2,1
444,good,good,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,2,2
445,neutral,bad,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,-2,0
446,bad,bad,butter peanut apple orange aware jelly poor grape choke possibly risk formula belly watch and<br,-2,-2
447,good,bad,butter peanut apple orange aware poor jelly grape choke possibly risk formula belly and<br twenty,-2,2
448,good,bad,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,-2,2
449,bad,good,butter peanut apple orange jelly grape aware poor choke formula fact belly watch risk transition,2,-2
450,neutral,bad,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,-2,0
451,neutral,bad,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk transition,-2,0
452,bad,good,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,2,-2
453,bad,good,buying money cheaper bulk dont compare save costco finger spend personally waste hate range pull,2,-2
454,good,good,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,2,2
455,rather_good,good,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,2,1
456,rather_good,good,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,2,1
457,rather_good,good,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,2,1
458,bad,good,buying sauce serve per save regular cost cheaper red spicy pepper pay subscribe option heat,2,-2
459,rather_bad,good,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,2,-1
460,good,bad,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,-2,2
461,good,good,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,2,2
462,good,good,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,2,2
463,good,good,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,2,2
464,good,good,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,2,2
465,good,good,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,2,2
466,good,good,calorie low fat protein weight sodium high fiber gram diet content carbs lose substitute carb,2,2
467,rather_good,bad,calorie low protein fat coconut diet juice serve fiber sodium gram weight vitamin per carbs,-2,1
468,good,good,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,2,2
469,rather_good,good,calorie protein fat coconut low fiber sodium gram vitamin carbs splenda msg bpa ant nutritional,2,1
470,good,bad,calorie protein fat low coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,-2,2
471,good,bad,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,-2,2
472,neutral,good,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,2,0
473,good,bad,calorie protein low fat coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,-2,2
474,good,good,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,2,2
475,good,good,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,2,2
476,neutral,good,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,2,0
477,good,good,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,2,2
478,good,good,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,2,2
479,good,bad,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,-2,2
480,good,good,calorie serve low fat protein coconut diet juice per powder health fiber weight sodium gram,2,2
481,bad,good,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,2,-2
482,bad,good,can't almond blue ounce wait cocoa magnesium beat diamond say blood reminds nutrient alot rda,2,-2
483,rather_bad,good,can't almond blue wait iced cocoa magnesium beat diamond reminds alot wasabi nutrient rda bowel,2,-1
484,bad,good,can't almond blue wait ounce cocoa magnesium say beat diamond blood reminds nutrient rda alot,2,-2
485,neutral,good,can't almond ounce blue wait cocoa magnesium beat cause diamond blood reminds alot nutrient rda,2,0
486,rather_bad,good,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,2,-1
487,bad,bad,can't run wait cocoa iced bone beat steep alot mug least say house watery sure,-2,-2
488,bad,bad,can't run wait cocoa iced bone beat steep alot mug least watery house sure say,-2,-2
489,rather_bad,good,can't run wait cocoa iced bone beat steep alot mug watery canister sure house meaty,2,-1
490,bad,good,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,2,-2
491,neutral,good,can't say almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda bowel,2,0
499,good,good,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,2,2
500,rather_bad,good,candy soup gift rice pasta thanks noodle awesome customer service christmas contact tuna item hol,2,-1
501,good,good,caramel top sugar cake wine california vanilla drizzle natural mmmm kernel flip monster mmmmm pan,2,2
521,bad,bad,case market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland,-2,-2
522,neutral,bad,case salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo,-2,0
523,bad,bad,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret mayo neighborhood,-2,-2
524,neutral,bad,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest mayo,-2,0
525,bad,bad,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest since,-2,-2
526,rather_bad,bad,case salty live suggest sour hooked crispy cheddar tangy heaven regret less garbage since smallest,-2,-1
527,neutral,bad,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,-2,0
528,neutral,good,cat brand ingredient feed quality chicken meat natural diet corn organic dry list switch pet,2,0
529,bad,bad,cat fancy chicken recall photo feast petite cuisine purina cupcake island smiley pig color frost,-2,-2
530,good,bad,cat feed meat ingredient pet chicken wellness vet diet salmon dry corn switch kibble filler,-2,2
531,good,bad,cat meat ingredient corn dog vitamin calcium feed cat's human ground expensive finicky bone beef,-2,2
532,good,good,cat pet wellness feed meat ingredient science vet kitty kibble filler kitten purina cat's by-product,2,2
533,good,good,cat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's,2,2
552,neutral,bad,cereal sell chewy hop unfortunately truly pancake vendor surprised raisin packaging fudge muffin understand bran,-2,0
553,rather_good,bad,cereal sell grain hop surprised unfortunately chewy truly nearly pancake raisin vendor understand appreciate book,-2,1
554,bad,good,cereal sell truly stale vendor appreciate unfortunately understand allow fell never think threw longer regular,2,-2
555,bad,good,cereal sell truly stale vendor unfortunately appreciate understand allow fell threw never think longer basis,2,-2
556,bad,good,cereal sell truly unfortunately stale vendor appreciate understand allow fell threw longer fail basis never,2,-2
557,rather_bad,good,cereal sell unfortunately truly stale vendor appreciate understand allow fell threw fail longer basis pronounce,2,-1
558,bad,good,cereal sell unfortunately truly stale vendor appreciate understand allow threw fell meant fail basis pronounce,2,-2
