,task,true,model,model_extracted,true_num,classification_metric
23,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad,NO.</s>,-2,-2,0
24,package work receive surprised sample recipe future description party damage pack pleasantly careful say way,bad,NO.</s>,-2,-2,0
25,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,good,NO </s>,-2,2,0
26,internet water ground circuit connect service tower heat contact email plant network marc bitnet cooling,bad,"NO. There is no common topic that can be determined for the majority of the text. The text mentions a variety of unrelated topics such as internet, water, ground, circuit, connect, service, tower, heat, contact, email, plant, network, marc, bitnet, and cooling.</s>",-2,-2,0
27,copy thor electronics libertarian steveh bell steve hendricks keyboard current persian free fail measure company,bad,NO.</s>,-2,-2,0
28,feel normal health oreo birthday particular heart notice dairy adult crisp chia kashi omega- hairball,bad,NO.</s>,-2,-2,0
29,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,good,NO </s>,-2,2,0
30,money spend gary columbia costs health market care happy dare private ucsc country canadian canada,bad,NO.</s>,-2,-2,0
31,controller scsi disk card bios interface feature jumper speed floppy fast transfer pope port mode,good,NO.</s>,-2,2,0
32,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,bad,NO.</s>,-2,-2,0
33,stuff coconut health tell believe difference cannot care please notice benefit fact pure horrible case,bad,NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of unrelated sentences and phrases.</s>,-2,-2,0
34,pack com www http href fill pie pecan can europe whole clif brewer larabar single,bad,NO.</s>,-2,-2,0
35,quote context ence agree accept argument taking death maybe dead live ever eternal kind learn,bad,NO.</s>,-2,-2,0
36,looking friend uiuc battery month steve running craig nice date remember junk area stick fine,bad,NO.</s>,-2,-2,0
37,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,good,NO.</s>,-2,2,0
38,disk tape memory error floppy boot swap backup install adaptec device instal running works config,good,YES.</s>,2,2,1
39,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,good,NO.</s>,-2,2,0
40,per let must choice simply sit seed fish totally age vegan wine jelly ten kit,bad,NO.</s>,-2,-2,0
41,image graphics package format object library site user directory processing database code routine convert unix,bad,"NO. The text does not have a common topic that can be determined or at least for the most part of the text. The text mentions different topics such as image graphics, package format, object library, site, user directory, processing, database, and code routine, but there is no clear connection or focus among these topics.</s>",-2,-2,0
42,lost james model disclaimer houston navy callison init uoknor andrew presentation weight bird stick height,bad,NO.</s>,-2,-2,0
43,ground water food wire disease cause engine test light patient current study hole henry science,bad,"NO. There is no common topic that can be determined for the majority of the text. The text mentions a variety of unrelated topics such as ground water, food, wire disease, engine test light, patient, current, study, hole, and henry.</s>",-2,-2,0
44,peter search history professor christianity hotel credit king view general mathematics hope ancient oulu attend,bad,NO.</s>,-2,-2,0
45,green protein powder vitamin body soy normal fiber source mixed contains shake daily con meal,good,YES.</s>,2,2,1
46,window display server application image memory screen color driver user apple running monitor mouse graphics,good,NO.</s>,-2,2,0
47,pres homosexual russian sexual cramer jewish sandvik activity russia dseg country child percent military continue,bad,NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of disconnected phrases and words without a clear theme or subject.</s>,-2,-2,0
48,window display server application image screen color user memory driver graphics code apple running mouse,good,"NO. There is no common topic that can be determined for the given text, as it is a collection of unrelated words and phrases.</s>",-2,2,0
49,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good,NO.</s>,-2,2,0
50,dead body town duke shot kill mountain azeri soviet azerbaijan child massacre azerbaijani force helicopter,good,YES.</s>,2,2,1
51,feel actually friend fact notice normal sort particular otherwise issue trouble crisp sensitive gummy might,bad,NO.</s>,-2,-2,0
52,hockey season player goal league leaf playoff flyer penalty division wings next shot draft final,good,YES.</s>,2,2,1
53,launch entry build project development commercial cost rule market satellite european output contest remark size,good,"NO. There is no common topic that can be determined for the entire text, as it appears to be a collection of unrelated phrases and sentences.</s>",-2,2,0
54,south george island secret military ship british jake employer bony nuclear rockefeller york naval plan,bad,NO.</s>,-2,-2,0
55,moral keith morality definition livesey caltech define community young goal behavior murder imply saying catholic,bad,NO.</s>,-2,-2,0
56,mouse move robert week processor chicago speed fast application microsoft anyway carry wait powerpc info,bad,"NO. There is no common topic that can be determined for the majority of the text. The text mentions various unrelated topics such as mouse move, Robert, week, processor, Chicago, speed, fast, application, Microsoft, and PowerPC.</s>",-2,-2,0
57,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,bad,YES.</s>,2,-2,1
58,mix less problem diet clean switch coat vet crazy ball feed kibble leave wellness spoon,bad,NO.</s>,-2,-2,0
59,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,bad,NO.</s>,-2,-2,0
60,notice believe life show completely face supplement heart fix number common sleep habit doctor recent,bad,NO.</s>,-2,-2,0
61,ground wire water circuit printer current battery connect cable outlet voltage wiring electrical panel heat,good,NO.</s>,-2,2,0
62,pres money clinton bill koresh business today house administration talk country press working rule stratus,bad,NO.</s>,-2,-2,0
63,turkish turk genoc soviet turkey russian armenia muslim today ottoman serve population serdar argic mountain,good,NO.</s>,-2,2,0
64,price monitor church port asking pitt build offer mask package spirit board send cannot shipping,bad,NO.</s>,-2,-2,0
65,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,bad,YES.</s>,2,-2,1
66,research center april medical health national report washington institute cancer nasa disease virginia page child,good,NO.</s>,-2,2,0
67,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,good,YES.</s>,2,2,1
68,food study ence bible death belief understand natural animal thought revelation rochester language nothing given,bad,NO.</s>,-2,-2,0
69,ingredient color corn allergy puppy source stevia research filler allergic main yellow list human soy,bad,NO.</s>,-2,-2,0
70,lost andrew james homosexual cramer chris white internet george clayton bitnet gatech disclaimer michael rose,bad,NO.</s>,-2,-2,0
71,image graphics package user unix directory anonymous format library site keyboard comp server contact database,good,NO.</s>,-2,2,0
72,research phone center organization technology office institute department national email engineering conference contact computing virginia,good,NO.</s>,-2,2,0
73,player season hockey league baseball goal division period pittsburgh pick leaf next boston mike chicago,good,NO.</s>,-2,2,0
74,value teeth difficult msg pea bone rawh spent what's glutamate monosodium europe potential inexpensive japanese,bad,NO.</s>,-2,-2,0
75,wire ground circuit connect outlet wiring current electrical voltage panel neutral cable usually risc plastic,good,NO.</s>,-2,2,0
76,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,bad,NO.</s>,-2,-2,0
77,moral keith caltech school animal morality livesey goal behavior definition natural community humans solntze learning,bad,NO.</s>,-2,-2,0
78,green vitamin mountain form teaspoon nutritional mineral smoothie load grass calcium hemp smoothy spaghetti iron,bad,NO.</s>,-2,-2,0
79,engine model radar lock band detector rocket foot exhaust motor steal sport pressure cable sdsu,good,NO.</s>,-2,2,0
80,thing quite expect probably i'd seem n't either wish stock certainly stir though kind end,bad,NO.</s>,-2,-2,0
81,pasta pill diamond rice almond magnesium rda blue cook brown blood allowance sore bbq approximately,bad,NO.</s>,-2,-2,0
82,saturn liar nasa fool crazy dealer lunatic natural wrong gsfc caltech columbia price advertising billboard,bad,NO.</s>,-2,-2,0
83,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,good,YES.</s>,2,2,1
84,especially often mind set instant five decent starbucks total roll via flower classic bigger grape,bad,NO.</s>,-2,-2,0
85,morning usually light breakfast packet easily mild indiv pour convenient liqu wrap stevia ual afternoon,bad,NO.</s>,-2,-2,0
86,keep container easily melt hold mess shape stuck plastic room bigger loose together separate expectation,bad,NO.</s>,-2,-2,0
87,henry access appear toronto digex orbit captain spencer mass weaver harris star hole universe theory,bad,NO.</s>,-2,-2,0
88,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,good,"NO. There is no common topic that can be determined for the entire text, as it is a collection of disconnected phrases and sentences that do not form a coherent whole.</s>",-2,2,0
89,thought anything nothing end type house else stick course bite opinion boil touch there's pumpkin,bad,NO.</s>,-2,-2,0
90,oil bone toy olive magnesium diamond blue body blood bowel rda truffle muscle tolerance heart,bad,NO.</s>,-2,-2,0
91,vanilla iced indiv caffeine soda orange stevia lemon mango beverage ually flower herbal illy lipton,bad,NO.</s>,-2,-2,0
92,love uiuc cwru thought wrong guess sorry frank keith nothing hell mine uucp objective homosexual,bad,NO.</s>,-2,-2,0
93,pres homosexual cramer administration working clinton house russian official community secretary sandvik sexual clayton private,bad,"NO. There is no common topic that can be determined for the majority of the text. The text mentions a variety of unrelated topics such as homosexuality, the Clinton administration, the Russian official community, and private secretary.</s>",-2,-2,0
94,unix resource server directory library user application type terminal converter release contrib running comp export,bad,NO.</s>,-2,-2,0
95,receive rice absolutely disappointed white fast noodle dish return customer service anyway terrible satisfied process,bad,NO.</s>,-2,-2,0
96,encryption chip clipper security privacy escrow encrypt technology agency enforcement message phone algorithm protect secure,good,YES.</s>,2,2,1
97,weapon fire kill crime child firearm carry police cause woman death bill criminal member city,good,NO.</s>,-2,2,0
98,michael radio rutgers rock intelligence view associate amateur kaldis georgia covington broadcast mcovingt record central,bad,NO.</s>,-2,-2,0
99,always sure last open whole case they're week maybe couple jar that's part mine someone,bad,NO.</s>,-2,-2,0
100,weapon firearm police carry criminal license safety handgun self semi public auto officer crime illegal,good,"NO. There is no common topic that can be determined for the entire text, as it covers multiple topics such as weapon, firearm, police, carry, criminal license, safety, handgun, self, semi, public, auto, officer, crime, and illegal.</s>",-2,2,0
101,snack bar cooky sweet cereal fruit butter peanut nut cookie cracker almond apple crunchy oatmeal,good,NO </s>,-2,2,0
102,hell alaska jack eternal forever motto acad main billion gene nsmca wright oakland adams heaven,bad,NO.</s>,-2,-2,0
103,looking friend uiuc battery month steve running craig fine nice junk date remember taste reaction,bad,NO.</s>,-2,-2,0
104,trade berkeley andy names tyre rick business prince division seattle stop uucp else custom forsale,bad,NO.</s>,-2,-2,0
105,turkish turk genoc soviet turkey armenia nazi today german russian ottoman captain serdar serve argic,bad,NO.</s>,-2,-2,0
106,land country care health drug disease money happy company patient physician insurance child gary jewish,bad,NO.</s>,-2,-2,0
107,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,good,NO.</s>,-2,2,0
108,lost james disclaimer model houston navy callison andrew weight bird init uoknor presentation behanna height,bad,NO.</s>,-2,-2,0
109,cut wheat actually miss texture oat biscuit seriously quaker unlike winner country absolute regular family,bad,NO.</s>,-2,-2,0
110,ingredient color corn allergy puppy source stevia research filler allergic list yellow main human soy,bad,NO.</s>,-2,-2,0
111,dec hope date online past maybe original shipment anywhere expiration previous hol could everywhere disappointment,bad,NO.</s>,-2,-2,0
112,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,good,YES. </s>,2,2,1
113,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good,YES.</s>,2,2,1
114,weapon firearm police criminal carry crime self auto handgun safety license semi citizen officer kill,good,"NO. There is no common topic that can be determined for the entire text, as it contains multiple topics such as weapon, firearm, police, criminal, carry, crime, self, auto, handgun, safety, license, semi, citizen, officer, kill.</s>",-2,2,0
115,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,bad,NO.</s>,-2,-2,0
116,islamic ohio charge magnus tube rice monash cheer turbo fred rushdie muslim movement mind khomeini,bad,NO.</s>,-2,-2,0
117,sweet delicious bar milk cereal texture nut almond yummy cinnamon fill granola strawberry chewy caramel,good,YES </s>,2,2,1
118,pres homosexual cramer administration working russian money russia private sexual secretary sandvik official clayton house,good,"NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of disconnected phrases and names, with no clear theme or subject matter that runs throughout.</s>",-2,2,0
119,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,bad,NO.</s>,-2,-2,0
120,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,good,YES. </s>,2,2,1
121,wave ryan guess story indiana ottawa stephen coming previous udel smoke roger mike compound gibson,bad,NO.</s>,-2,-2,0
122,excellent white yummy egg oatmeal gluten-free mill excite bob's frost call marshmallow lovely biscotti service,good,NO </s>,-2,2,0
123,rice season tomato tuna steak pea fudge hol mustard wasabi bubble usa cookie oreo creme,good,NO.</s>,-2,2,0
124,weapon firearm carry police license handgun safety semi auto automatic revolver section dangerous officer rifle,good,NO.</s>,-2,2,0
125,remember andrew face reading dave reduce risc instruction duke intel instructions icon clone dear powerbook,bad,NO.</s>,-2,-2,0
126,love hell quote feel stup brian evil sorry learn choose fear accept death live maybe,bad,NO.</s>,-2,-2,0
127,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,bad,NO.</s>,-2,-2,0
128,fire child kill cause away live woman doctor else remember face week left friend hand,bad,NO.</s>,-2,-2,0
129,driver card sound cards utexas light mode machine diamond gateway latest accelerator running austin crash,bad,NO.</s>,-2,-2,0
130,sweet bar perfect milk texture yummy soft cinnamon plain granola strawberry yogurt blueberry combination addict,good,YES </s>,2,2,1
131,rule entry test output define section return size check count build author larry remark open,bad,NO. </s>,-2,-2,0
132,oil salt chew energy gum bone hair body toy olive blue skin magnesium help night,bad,NO.</s>,-2,-2,0
133,year old easy save soup carry subscribe area since prepare tomato buying sign almost seafood,bad,NO.</s>,-2,-2,0
134,israel israeli country encryption arab drug attack pres chip clipper policy security administration health disease,bad,NO.</s>,-2,-2,0
135,size baby quickly daughter thanks work night start month since formula pump move old child,bad,NO.</s>,-2,-2,0
136,drug court legal police illegal laws charge property federal lawyer francisco civil hate arrest anti,good,NO.</s>,-2,2,0
137,ever cereal sell unfortunately truly stale pancake vendor appreciate threw understand think could fell allow,bad,NO.</s>,-2,-2,0
138,friend steve uiuc battery pain looking month week craig doug phil cause doctor remember taste,bad,NO.</s>,-2,-2,0
139,printer radio design quality technology laser signal print byte engineering project engineer component cost phone,good,NO.</s>,-2,2,0
140,ground water wire science bill engine food henry current battery level cwru center circuit outlet,good,NO.</s>,-2,2,0
141,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left,good,NO.</s>,-2,2,0
142,market difference pasta stomach mean brown hold soda sour coat compare cook upset nicely folk,bad,NO.</s>,-2,-2,0
143,need result clean cheap basically breath greenies concerned major trust tummy pet space finicky dental,bad,NO.</s>,-2,-2,0
144,mix sauce easy hot cheese recipe bread spicy pepper cook chicken season cake salad meal,good,NO.</s>,-2,2,0
145,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,bad,NO.</s>,-2,-2,0
146,put thought anything nothing stick else something course boil cover end house air burn know,bad,NO.</s>,-2,-2,0
147,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,bad,NO.</s>,-2,-2,0
148,keep easily container melt plastic mess work hold shape stuck room loose bigger expectation break,bad,NO.</s>,-2,-2,0
149,kill weapon child fire crime firearm woman carry death police bill criminal city home doctor,good,NO.</s>,-2,2,0
150,treat larc company patient lyme nasa quack doctor culture ence khan physician tammy negative action,bad,NO.</s>,-2,-2,0
151,message apple colorado simms record simm thought arthur toshiba getting receive account wonder sent teel,bad,NO.</s>,-2,-2,0
152,israel medium israeli west bank palestinian joke suck bias arab report territory palestine east jerusalem,bad,YES.</s>,2,-2,1
153,weapon firearm police carry criminal crime self handgun license safety auto semi citizen officer public,good,NO.</s>,-2,2,0
154,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,good,NO.</s>,-2,2,0
155,year old save soup ago awesome subscribe area stock discover chili tomato since vegan still,good,NO.</s>,-2,2,0
156,value money difficult quantity bulk msg okay bacon teeth what's glutamate monosodium con potential although,bad,NO.</s>,-2,-2,0
157,image graphics format package user code unix library motif directory comp site tool contact object,good,NO.</s>,-2,2,0
158,science theory scientific knowledge rochester experiment result dseg scientist process study methodology lady method hypothesis,good,"NO. There is no common topic that can be determined for the entire text, as it covers multiple scientific topics such as theory, scientific knowledge, Rochester experiment, result, scientist, process, study methodology, lady, and hypothesis.</s>",-2,2,0
159,drug country nazi child german anti care germany political party jewish society research policy insurance,good,NO.</s>,-2,2,0
160,nice salt excellent cracker please sea surprise unique table wine pork kit puff describe graham,bad,NO.</s>,-2,-2,0
161,say can't run wait cocoa iced dont least four alot know personally bone watery sure,bad,NO.</s>,-2,-2,0
162,saturn liar nasa fool crazy dealer gsfc lunatic columbia wrong caltech price advertising billboard lawrence,bad,NO.</s>,-2,-2,0
163,chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame,good,NO.</s>,-2,2,0
164,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,bad,NO.</s>,-2,-2,0
165,clinton movie class bill frame plan within animation sean administration charles mike bush quicktime regard,bad,NO.</s>,-2,-2,0
166,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant,bad,NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of unrelated words and phrases.</s>,-2,-2,0
167,religion belief atheist atheism existence christianity faith ence cannot universe truth religious argument accept strong,good,NO.</s>,-2,2,0
168,encryption chip clipper security phone privacy public algorithm secure escrow message agency technology encrypt enforcement,good,YES.</s>,2,2,1
169,help coconut difference tell cannot benefit everyday pleasant told improve health munch along temperature many,bad,NO.</s>,-2,-2,0
170,hot milk cold stomach diet substitute shake warm sensitive nasty soy dissolve upset pain dairy,good,NO.</s>,-2,2,0
171,vanilla iced indiv caffeine espresso stevia mango fuel ually flower herbal jet illy lipton jasmine,good,NO.</s>,-2,2,0
172,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,bad,YES.</s>,2,-2,1
173,discussion newsgroup vote topic misc electric utexas philip irvine uiuc newsgroups creation stove brent angry,bad,NO.</s>,-2,-2,0
174,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar,good,NO.</s>,-2,2,0
175,pasta stomach pill dont freeze upset pocket sensitive finger staple tummy rinse tire tongue alcohol,bad,NO.</s>,-2,-2,0
176,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,bad,NO.</s>,-2,-2,0
177,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic process jamaica cook,good,NO.</s>,-2,2,0
178,radio switch signal input audio helmet output level channel receiver noise relay frequency circuit local,good,NO.</s>,-2,2,0
179,simms apple drug record simm access math free news mark colorado allow price memory message,bad,NO.</s>,-2,-2,0
180,delicious small dry hard smaller surprised large larger liver size freeze locally six perfect tire,bad,NO.</s>,-2,-2,0
181,picture week pain stone gain blah beach timer caltech precision snow sleeve thomas integer iastate,bad,NO.</s>,-2,-2,0
182,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,good,YES. </s>,2,2,1
183,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,bad,YES.</s>,2,-2,1
184,perfect easy shipping con fast quick delivery seller ering pro reach reasonably bonus tad pick-me-up,good,YES.</s>,2,2,1
185,hot packet cream ice machine leaf cold mild iced indiv pot cocoa breakfast pour convenient,bad,NO.</s>,-2,-2,0
186,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,bad,NO.</s>,-2,-2,0
187,favorite blend black bitter k-cups keurig wife drinking k-cup aftertaste decaf choice caffeine enough perfect,good,YES.</s>,2,2,1
188,free hard gluten value difficult packaging bulk search hair damage prime available shampoo conditioner scalp,good,NO.</s>,-2,2,0
189,caramel top sugar cake wine california vanilla drizzle natural mmmm kernel flip monster mmmmm pan,good,NO </s>,-2,2,0
190,free gluten salmon balance wet turkey diet kitten natural ocean fussy since limit grain important,good,NO.</s>,-2,2,0
191,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme package gooey pan think soft,good,NO.</s>,-2,2,0
192,seem may prefer soft version everyone super opinion slightly matter chewy short tart forward although,bad,NO.</s>,-2,-2,0
193,texture cut pasta wheat version actually miss search oat office biscuit minute cook seriously type,bad,NO.</s>,-2,-2,0
194,stuff coconut case health weight tell difference please benefit con include lose immediately cause realize,bad,NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of unrelated sentences and phrases.</s>,-2,-2,0
195,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,good,YES.</s>,2,2,1
196,oil spice olive cooking christmas garlic worst smoke italian sister recipe regularly virgin canola extra,good,NO.</s>,-2,2,0
197,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,good,YES.</s>,2,2,1
198,could cheese bake finally homemade fry slice spoon spread onion stand cardboard oven somewhere kraft,good,NO </s>,-2,2,0
199,sweet delicious bar milk cereal texture nut almond yummy cinnamon oatmeal fill granola strawberry chewy,good,YES </s>,2,2,1
200,water tower internet nist plant cooling heat marc nuclear site ncsl email temperature cool contact,bad,NO.</s>,-2,-2,0
201,printer radio design print signal quality engineering laser engineer digital byte build technology electronics component,good,NO.</s>,-2,2,0
202,dry feel worth pasta brown stomach pill cook liver dont coat extremely wet money upset,bad,NO.</s>,-2,-2,0
203,player hockey season league goal playoff leaf penalty flyer next shot puck draft pick city,good,NO </s>,-2,2,0
204,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,bad,YES.</s>,2,-2,1
205,henry access appear toronto digex captain star mass spencer hole harris weaver theory orbit universe,bad,NO.</s>,-2,-2,0
206,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,bad,NO.</s>,-2,-2,0
207,hair clear heard thick wash scent shampoo conditioner oily manufacturer shiny scalp head apply shower,good,NO </s>,-2,2,0
208,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,good,NO.</s>,-2,2,0
209,coconut tell difference cannot benefit along told pleasant everyday pure level improve temperature munch admit,bad,NO.</s>,-2,-2,0
210,image graphics user format package motif code unix library server object directory send application tool,bad,NO.</s>,-2,-2,0
211,stuff coconut tell difference cannot told benefit face wow everyday improve munch admit skin pure,bad,YES.</s>,2,-2,1
212,food study effects brain animal gatech rochester chemical cause taste prism effect reaction eating chinese,bad,NO.</s>,-2,-2,0
213,ever never far sell version hop unfortunately truly chewy pancake think fudge whole muffin simply,bad,NO.</s>,-2,-2,0
214,israel israeli arab peace kill civilian lebanese lebanon human palestinian innocent soldier occupy village gaza,good,"NO. The text does not have a common topic that can be determined for the most part. The text mentions multiple locations and groups of people (Israel, Israeli Arabs, Palestinians, Lebanese, innocent civilians, soldiers, and villages in Gaza and Lebanon) without a clear connection or focus.</s>",-2,2,0
215,engine lock radar detector station model break foot head injury pound pressure rock exhaust rocket,good,NO.</s>,-2,2,0
216,diet feed change pet vet switch formula wellness grain research kibble allergy eats science week,good,YES.</s>,2,2,1
217,help chew hour honey energy minute night hair toy bone skin drop effect trip within,bad,NO.</s>,-2,-2,0
218,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,good,NO </s>,-2,2,0
219,research center washington april national report health institute medical department among child page virginia study,good,NO.</s>,-2,2,0
220,function code text islam muslim null reference error subject date translation cipher gregg following jaeger,bad,NO.</s>,-2,-2,0
221,switch signal helmet audio input radio level output receiver local relay noise circuit paint build,good,NO.</s>,-2,2,0
222,bike speed turn apple mile tire simms fast wheel mouse brake rear driver front engine,bad,NO.</s>,-2,-2,0
223,woman city building left home apartment father door face azerbaijani room neighbor sumgait later live,bad,NO.</s>,-2,-2,0
224,scsi controller fast interface transfer bios speed card jumper disk feature standard devices mode pope,bad,NO.</s>,-2,-2,0
225,entry launch remark rule satellite european build contest player test francis given author canadian cipher,bad,NO.</s>,-2,-2,0
226,piece beef jerky bowl turn break picky pill training dont two gravy eater cut bite,good,NO.</s>,-2,2,0
227,father massacre begin jayne hole sport french soldier oracle russian creed cursor spirit erzurum view,bad,NO.</s>,-2,-2,0
228,picture keywords command risc fool instruction rose loss liar gain timer instructions cycle week blah,bad,NO.</s>,-2,-2,0
229,land israel drug israeli country arab kill attack care money million company cause insurance jewish,good,NO.</s>,-2,2,0
230,israel israeli jewish arab policy peace research center citizen palestinian gaza east authorities movement jerusalem,good,NO.</s>,-2,2,0
231,sweet bar perfect milk fruit texture yummy granola cinnamon crunchy blueberry strawberry yogurt flake tart,good,YES </s>,2,2,1
232,set stash grey packed earl tuna dent staple twinings sardine bergamot bigelow cola buyer schedule,bad,NO </s>,-2,-2,0
233,uiuc pres hell frank white andrew love light uucp michael ever james thought george cramer,bad,NO.</s>,-2,-2,0
234,nut plus fan family hit big extra mixed etc dessert microwave flavour car thats cashew,bad,NO.</s>,-2,-2,0
235,open place container easily soft hold melt together close mess shape stuck somewhat cool chewy,bad,NO.</s>,-2,-2,0
236,font unit link cross banks gordon pitt surrender soon skepticism type intellect cadre allocation shameful,bad,NO.</s>,-2,-2,0
237,organic natural real expensive syrup high artificial sweetener pleased flour wheat corn leaf chemical maple,bad,NO.</s>,-2,-2,0
238,piece everything beef season break pepper pill pocket jack crush medication ear pinch medicine imagine,bad,NO.</s>,-2,-2,0
