,text,true,model
246,bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply,rather_good,rather_good
247,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,good,rather_good
289,big available packaging con value hair difficult search bottom clear ering damage bacon line none,rather_bad,rather_bad
290,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo,good,rather_good
291,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,good,rather_good
334,bit almost especially type tiny remember learn interest require honestly class indian perhaps term second,bad,rather_good
335,bit almost type three especially two tiny remember learn second interest could fair require still,bad,rather_good
336,bit almost type three especially two tiny remember second learn could interest fair require still,bad,rather_good
337,bit almost type three two especially tiny remember learn second interest could fair require still,bad,rather_good
338,bit almost type two three especially tiny remember learn second interest could fair require still,bad,rather_good
339,bit cream bold extra tiny ice second remember three two blend type way people almost,rather_bad,rather_good
340,bit cream extra bold ice tiny three second remember type two blend single people way,bad,rather_good
341,bit extra cream bold ice three tiny second type remember two single people way require,bad,rather_good
342,bit extra cream three bold ice type second tiny remember two single people honestly require,bad,rather_good
343,bit extra three cream bold type ice second tiny remember two single honestly require people,bad,rather_good
344,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce pay subscribe,bad,rather_good
345,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce subscribe heat,bad,rather_good
346,bit hot buying sauce serve per save cost cheaper red spicy pepper pay ounce subscribe,bad,rather_good
347,bit long roast half dark full away rich flavorful miss extremely person lover steep double,rather_bad,rather_good
348,bit lot long roast half dark away full run rich flavorful miss ground person stay,bad,rather_good
349,bit roast dark full away long half rich flavorful miss extremely person lover ground steep,bad,rather_good
350,bit roast dark full away long rich half flavorful miss person extremely lover ground noodle,bad,rather_good
351,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,good,rather_good
352,bit type three extra second cream ice bold tiny remember single two honestly require mistake,rather_bad,rather_bad
353,bit work seem thing easy way quite vanilla expect recipe bread probably n't cream bowl,rather_bad,rather_good
354,bit work seem thing way n't quite vanilla expect i'd probably recipe bread wish cream,bad,rather_good
355,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,rather_bad,rather_good
356,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,good,rather_good
360,blend morning breakfast packet brew indiv mild wrap stevia ual convenient afternoon liqu ually pour,rather_bad,rather_good
361,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,bad,rather_good
362,blend morning usually light brew breakfast packet mild indiv pour convenient wrap stevia brewing ual,good,rather_good
363,body almond blue smooth cause magnesium diamond increase reminds blood peppermint nutrient bowel rda source,bad,rather_good
366,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad,rather_good
367,bone bubble rawh slim gum chewer steel mushroom miso noodle oat shrimp bulldog dubble reply,bad,rather_good
368,bone teeth difficult okay combination msg pea spent rawh produce what's glutamate monosodium europe potential,bad,rather_good
369,bottle delivery hazelnut cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,bad,rather_good
370,bottle delivery hazelnut peach wine squeeze kit sparkle cost selection mio cola carbonate squirt san,rather_bad,rather_good
371,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear lime,good,rather_good
372,bottle excellent available everyone plastic delivery glass pleased lemon mint offer sample travel clear seller,rather_bad,rather_good
373,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,bad,rather_good
374,bottle excellent available everyone plastic pleased delivery glass lemon mint offer sample travel clear lime,bad,rather_good
375,bottle excellent available plastic everyone pleased delivery glass lemon mint travel clear lime sample peach,rather_bad,rather_good
376,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,bad,rather_good
377,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear lime,bad,rather_good
378,bottle excellent available plastic everyone pleased delivery glass offer lemon mint sample travel clear refresh,bad,rather_good
379,bottle glass lemon delivery mint sale peach broken forward usually plastic offer prov half mio,bad,rather_good
380,bottle glass lemon delivery mint sale peach broken usually forward offer plastic half prov mio,bad,rather_good
381,bottle glass lemon delivery mint sale peach usually broken forward offer plastic half prov mio,bad,rather_good
382,bottle glass lemon delivery sale mint usually broken peach offer forward plastic half prov mio,bad,rather_good
383,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap iced grab,good,rather_good
384,bottle glass lemon mint prov plastic peach sparkle mio tip squirt half tap usually electrolyte,bad,rather_good
385,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,bad,rather_good
386,bottle hair hazelnut cappuccino peach wine squeeze shampoo conditioner kit sparkle mio cost cola squirt,bad,rather_good
387,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle cost mio cola squirt san,bad,rather_good
388,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle mio cost cola carbonate squirt,rather_bad,rather_good
389,bottle hazelnut delivery cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,good,rather_good
390,bottle local shipping excellent grocery cost deal available cheaper save fast carry pay per online,good,rather_good
391,bottle plastic glass lemon delivery peach forward wine squeeze shampoo conditioner spring kit refresh mio,bad,rather_good
392,bottle shipping available plastic everyone offer pleased delivery glass lemon seller mint sample purchasing peach,good,rather_good
393,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,rather_bad,rather_good
394,bottle shipping excellent available everyone plastic pleased delivery offer glass lemon seller mint travel sample,bad,rather_good
395,bottle shipping excellent available plastic everyone offer pleased delivery glass lemon seller mint travel sample,good,rather_good
396,bottle shipping excellent local grocery cost available cheaper carry pay ship per delivery subscribe online,good,rather_good
397,bottle shipping grocery cost carry available pay subscribe delivery local pleased per free cheaper seller,good,rather_good
398,bottle shipping grocery cost subscribe delivery pay carry available per seller hazelnut prime charge free,good,rather_good
399,bottle shipping grocery subscribe delivery prime charge wine cost gallon kit hazelnut mio walmart club,bad,rather_good
400,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count gallon,good,rather_good
401,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,bad,rather_good
402,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,good,rather_good
403,bottle shipping plastic offer iced delivery glass lemon broken seller mint peach forward handle cent,bad,rather_good
404,bottle shipping subscribe delivery grocery prime charge wine cost gallon kit hazelnut mio club cola,good,rather_good
405,bottle usually sale glass lemon delivery offer mint broken peach forward plastic half iced mio,bad,rather_good
406,bought arrive jar pretty still gift tin could crack shell four fancy otherwise enough think,rather_bad,rather_good
407,bought arrive jar pretty still tin could crack four shell otherwise fancy gift second think,bad,rather_good
408,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,bad,rather_good
409,bought buying local grocery cost able carry deliver stop cheaper plant supermarket shelf trip door,bad,rather_good
410,bought buying local grocery cost able way carry cheaper stop deliver supermarket shelf trip office,bad,rather_good
411,bought free cooky butter peanut gluten cookie original sale shipping super mom addict reasonable prime,good,rather_good
412,bought free cooky butter peanut gluten cookie original sale super mom addict reasonable vegan prime,good,rather_good
413,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,bad,rather_good
414,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,good,rather_good
415,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,good,rather_good
416,bought local grocery cost buying cheaper able carry deliver live run plant stop shelf supermarket,good,rather_good
417,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,good,rather_good
418,bought pretty arrive still jar four otherwise tin could crack fancy shell second think surprisingly,bad,rather_good
419,bought still enough arrive amaze jar pretty fine could everyone think another tin tree crack,bad,rather_good
420,bought still enough arrive amaze jar pretty fine everyone could think another tin tree otherwise,bad,rather_good
421,bought still enough pretty arrive amaze fine could jar everyone another think tree tin otherwise,bad,rather_good
422,bought still pretty arrive jar four second otherwise fancy crack shell feast surprisingly chest wedding,bad,rather_good
423,box package shipping receive item purchase arrive pack candy packaging deal company open ship look,good,rather_good
424,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia gatorade,bad,rather_good
425,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia pineapple,bad,rather_good
426,bread flour cereal pancake baking pizza gluten-free mill crust cake wheat gluten dough pretzel bob's,good,rather_good
427,bread flour toast traditional member celiac mustard recipe disease yeast baking needle dough chinese loaf,rather_bad,rather_good
428,bread flour toast traditional member mustard celiac recipe baking disease yeast needle dough chinese loaf,good,rather_good
429,bread flour traditional toast baking mustard member recipe celiac disease yeast needle dough chinese rise,good,rather_good
430,bread flour traditional toast baking recipe mustard member celiac disease yeast needle rise dough chinese,good,rather_good
431,bread recipe flour baking simple traditional toast sandwich mustard member celiac pizza disease rise yeast,good,rather_good
432,breakfast packet indiv convenient wrap pour control ual afternoon ually deep enjoy morning way relax,bad,rather_good
433,breakfast packet indiv convenient wrap pour control ual afternoon ually morning deep enjoy way relax,rather_bad,rather_good
434,breakfast packet indiv pour convenient wrap control ual afternoon ually deep enjoy worry english portion,bad,rather_good
435,breakfast packet indiv pour convenient wrap control ual portion afternoon ually worry deep since english,bad,rather_good
436,breakfast packet indiv pour convenient wrap portion control ual afternoon worry ually deep since english,bad,rather_good
437,breakfast packet indiv wrap convenient pour ual control afternoon ually morning deep enjoy stevia way,bad,rather_good
438,breakfast packet indiv wrap convenient pour ual control afternoon ually morning enjoy deep stevia way,bad,rather_good
439,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,bad,rather_good
440,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint magic yet,good,rather_good
441,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,good,rather_good
442,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,good,rather_good
443,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,good,rather_good
444,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,good,rather_good
445,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,bad,rather_good
446,butter peanut apple orange aware jelly poor grape choke possibly risk formula belly watch and<br,bad,rather_good
447,butter peanut apple orange aware poor jelly grape choke possibly risk formula belly and<br twenty,good,rather_bad
448,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,good,rather_good
449,butter peanut apple orange jelly grape aware poor choke formula fact belly watch risk transition,bad,rather_good
450,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,rather_bad,rather_good
451,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk transition,bad,rather_good
452,butter peanut illy mate exact ginger palm compromise newman's flowery toddler moth cooky blackcurrant tin,bad,rather_good
453,buying money cheaper bulk dont compare save costco finger spend personally waste hate range pull,bad,rather_good
454,buying money cheaper compare bulk dont costco save personally finger hate spend waste cent range,good,rather_good
455,buying money cheaper compare bulk dont hate costco personally finger cent spend retail range pull,rather_good,rather_good
456,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,rather_good,rather_good
457,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,rather_good,rather_good
458,buying sauce serve per save regular cost cheaper red spicy pepper pay subscribe option heat,bad,rather_good
459,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,rather_bad,rather_good
460,calorie low fat protein coconut serve juice diet fiber per sodium weight gram vitamin carbs,good,rather_good
461,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,good,rather_good
462,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,good,rather_good
463,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,good,rather_good
464,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,good,rather_good
465,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,good,rather_good
466,calorie low fat protein weight sodium high fiber gram diet content carbs lose substitute carb,good,rather_good
467,calorie low protein fat coconut diet juice serve fiber sodium gram weight vitamin per carbs,rather_good,rather_good
468,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,good,rather_good
469,calorie protein fat coconut low fiber sodium gram vitamin carbs splenda msg bpa ant nutritional,rather_good,rather_good
470,calorie protein fat low coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,good,rather_good
471,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,good,rather_good
472,calorie protein low amount fat sodium weight gram carbs meal fiber carb msg daily diabetic,bad,rather_good
473,calorie protein low fat coconut diet fiber sodium gram vitamin soda carbs splenda pretzel msg,good,rather_good
474,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,good,rather_good
475,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,good,rather_good
476,calorie protein low fat sodium fiber gram diet carbs carb nutrition high watch intake farm,good,rather_good
477,calorie protein low fat sodium gram high carbs diet carb nutrition watch farm amount reduce,good,rather_good
478,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,good,rather_good
479,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,good,rather_good
480,calorie serve low fat protein coconut diet juice per powder health fiber weight sodium gram,good,rather_good
481,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,bad,rather_good
482,can't almond blue ounce wait cocoa magnesium beat diamond say blood reminds nutrient alot rda,bad,rather_good
483,can't almond blue wait iced cocoa magnesium beat diamond reminds alot wasabi nutrient rda bowel,rather_bad,rather_good
484,can't almond blue wait ounce cocoa magnesium say beat diamond blood reminds nutrient rda alot,bad,rather_good
485,can't almond ounce blue wait cocoa magnesium beat cause diamond blood reminds alot nutrient rda,bad,rather_good
486,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,rather_bad,rather_good
487,can't run wait cocoa iced bone beat steep alot mug least say house watery sure,bad,rather_good
488,can't run wait cocoa iced bone beat steep alot mug least watery house sure say,bad,rather_good
489,can't run wait cocoa iced bone beat steep alot mug watery canister sure house meaty,rather_bad,rather_good
490,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,bad,rather_bad
491,can't say almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda bowel,bad,rather_good
499,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,good,rather_good
500,candy soup gift rice pasta thanks noodle awesome customer service christmas contact tuna item hol,rather_bad,rather_good
501,caramel top sugar cake wine california vanilla drizzle natural mmmm kernel flip monster mmmmm pan,good,rather_good
521,case market salty live suggest sour hooked crispy cheddar tangy heaven regret smallest mayo bland,bad,rather_good
522,case salty live sour suggest hooked crispy cheddar tangy less heaven since smallest regret mayo,bad,rather_good
523,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret mayo neighborhood,bad,rather_good
524,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest mayo,bad,rather_good
525,case salty live suggest sour hooked crispy cheddar tangy garbage heaven ahead regret smallest since,bad,rather_good
526,case salty live suggest sour hooked crispy cheddar tangy heaven regret less garbage since smallest,rather_bad,rather_good
527,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,bad,rather_good
528,cat brand ingredient feed quality chicken meat natural diet corn organic dry list switch pet,bad,rather_good
529,cat fancy chicken recall photo feast petite cuisine purina cupcake island smiley pig color frost,bad,rather_good
530,cat feed meat ingredient pet chicken wellness vet diet salmon dry corn switch kibble filler,good,rather_good
531,cat meat ingredient corn dog vitamin calcium feed cat's human ground expensive finicky bone beef,good,rather_good
532,cat pet wellness feed meat ingredient science vet kitty kibble filler kitten purina cat's by-product,good,rather_good
533,cat wellness feed pet science ingredient meat kitten vet kitty by-product purina kibble filler cat's,good,rather_good
552,cereal sell chewy hop unfortunately truly pancake vendor surprised raisin packaging fudge muffin understand bran,good,rather_good
553,cereal sell grain hop surprised unfortunately chewy truly nearly pancake raisin vendor understand appreciate book,bad,rather_good
554,cereal sell truly stale vendor appreciate unfortunately understand allow fell never think threw longer regular,bad,rather_good
555,cereal sell truly stale vendor unfortunately appreciate understand allow fell threw never think longer basis,bad,rather_good
556,cereal sell truly unfortunately stale vendor appreciate understand allow fell threw longer fail basis never,bad,rather_good
557,cereal sell unfortunately truly stale vendor appreciate understand allow fell threw fail longer basis pronounce,bad,rather_good
558,cereal sell unfortunately truly stale vendor appreciate understand allow threw fell meant fail basis pronounce,bad,rather_good
559,cereal sell unfortunately truly stale vendor understand appreciate allow threw fell fail basis pronounce macadamia,bad,rather_good
560,change feed diet wellness crazy formula eats vet whatever kibble switch science year old start,bad,rather_good
561,change feed diet wellness formula crazy vet eats whatever switch kibble science year fed start,bad,rather_good
562,change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten fed,bad,rather_good
563,change feed vet switch diet formula wellness crazy eats whatever kibble pet science kitten gobble,rather_bad,rather_good
565,cheese bake could homemade fry slice spoon onion spread style cardboard sandwich oven contact put,good,rather_good
566,cheese bake could homemade fry slice spoon onion spread style put sandwich contact cardboard oven,good,rather_good
567,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,good,rather_good
568,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,good,rather_good
569,cheese bread bake homemade spread slice spoon toast fry onion direction sandwich oven follow usual,rather_good,rather_good
570,cheese bread bake homemade spread slice toast spoon onion put fry sandwich oven direction could,good,rather_good
571,cheese bread chili garlic sauce thai pan pizza curry crust whip dip chef boil rub,good,rather_good
572,cheese bread sauce chili stir garlic pizza waffle thai pan curry crust jalapeno dip whip,good,rather_good
573,cheese bread sauce flour chili stir garlic pork pizza waffle thai pan curry crust oven,good,rather_good
574,chew honey hair toy skin sleep boost play calm rawh busy wash workout gel joint,bad,rather_good
575,chew minute gum mouth cinnamon special piece third bubble xylitol two swallow three however soothe,bad,rather_good
