,text,topic,true_topic,cos_sim,cos_sim_class
237,smooth almond body blue magnesium diamond cause reminds bowel rda nutrient increase source blood peppermint,['health'],"['almond', 'nutrition']",0.6464884877204895,H
238,notice life believe show completely face sleep supplement heart fix number common habit period doctor,['noticeable'],['health'],0.6837255954742432,H
239,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,['transformation'],['move'],0.8060383200645447,VH
242,open place container easily soft close hold melt together mess shape stuck somewhat excite cool,['container'],['shape metal'],0.709169864654541,H
245,free gluten salmon balance wet turkey diet natural kitten ocean fussy since limit dry grain,['healthy diet'],['nutrition'],0.7033811807632446,H
246,calorie serve low fat protein coconut diet juice per fiber weight sodium gram vitamin carbs,['healthy eating'],"['diet', 'diet']",0.6539942026138306,H
249,quality chicken meat vegetable hazelnut purchasing tuna turkey hooked pricey steak thick we're grill base,['meat'],['food'],0.677240788936615,H
250,free hard gluten value difficult packaging bulk search hair damage prime available shampoo conditioner scalp,['hair care'],"['skin', 'shampoo']",0.6278647780418396,H
251,could cheese bake homemade fry spread slice spoon onion stand style paper cardboard effort oven,[' baking'],['cooking'],0.8271106481552124,VH
252,company available awesome care sent search licorice email send affordable business since premium beyond back,['affordable'],['work'],0.4870426058769226,M
254,cooky butter peanut cookie sale we've website newman's spread reasonable biscuit crumb walmart fudge allergic,['bakery'],['recipe'],0.7334803342819214,H
258,morning light breakfast packet mild indiv pour usually convenient wrap easily liqu way stevia every,['convenience'],"['morning', 'breakfast food']",0.49283410608768463,M
259,vanilla bean honey orange iced indiv caffeine lemon aroma refresh green stash sweeten stevia licorice,['flavor'],"['flavour', 'sweet', 'food']",0.7966308196385702,H
260,might drinking aftertaste mild espresso beverage straight weird sound sip latte guest appeal however pleasant,['coffee'],"['coffee', 'coffee']",1.0,VH
265,item deal glad shop anymore become donut disappoint supply costco sampler many kill retail consistent,['retail'],['shop'],0.8869442939758301,VH
267,buying money cheaper compare bulk dont hate costco personally finger spend cent retail however range,['bulk buying'],['shopping'],0.6423974633216858,H
268,say review think smell still bad open people i'll however maybe since know half reviewer,['review'],"['read people review', 'review']",0.7957929372787476,H
270,fresh packaging honey cracker condition fit convenience lover mini graham incredible grind due stack cap,['snack'],['pack'],0.5183677673339844,M
273,roast dark full bit away long rich half flavorful miss person noodle extremely lover ground,['richness'],['barbecue'],0.3106582760810852,M
275,calorie low protein fat sodium gram serve carbs high diet carb weight nutrition per amount,['diet'],"['nutrition', 'diet']",0.9254242777824402,VH
279,sell cereal chewy pancake hop truly unfortunately vendor surprised raisin gooey muffin bran grain dough,['food'],['breakfast'],0.6966049671173096,H
281,work hour energy husband minute feel shot boost pizza effect actually ent caffeine crust sleep,['stimulation'],"['energy', 'work']",0.8234458267688751,VH
282,package item receive rice fresh soup absolutely disappointed white fast anyone wrong noodle awesome return,['disappointment'],['food'],0.38866162300109863,M
286,chip potato vinegar kettle corn garden addictive trap salt blue tortilla think lucky starch whole,['snacks'],"['food', 'tortilla', 'kentle']",0.6308595736821493,H
292,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,['coffee'],"['fruit', 'beverage']",0.5537585914134979,M
298,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,['diet'],"['nutrition', 'diet', 'diet']",0.9502828518549601,VH
300,company available awesome sent licorice care email search affordable business since send premium back prompt,['affordable'],['business'],0.4417993426322937,M
305,feel hour energy work shot pizza boost effect crust lack favor felt sleep need faster,['energize'],['to sleep'],0.2483687847852707,L
306,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,['snacks'],"['snack', 'granola']",0.7901672422885895,H
308,vanilla deal smooth brew several machine french maker shop sample espresso pot house drinker anymore,['coffee'],"['shopping brew drink', 'coffee', 'drink', 'coffee']",0.8393134474754333,VH
311,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,['convenience'],"['soda', 'trade', 'partycruisedrinkingdrinks', 'juice']",0.5039147734642029,M
315,cooky cookie raspberry mouth thin brownie fudge xylitol package oreo think gooey creme pan soft,['dessert'],"['cooky', 'snack', 'cookie']",0.7345729470252991,H
318,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,['snacks'],"['food', 'food', 'cooking']",0.7175474961598715,H
321,chew pod pound toy bone caramel larger play pet two minute rawh puppy target german,['playtime'],['puppy'],0.41841909289360046,M
324,quite expect bread wish recipe thing melt bake follow baking stir stuck kind homemade i'd,['baking'],['baking'],1.000000238418579,VH
327,stuff coconut difference tell benefit told face everyday wow cannot health cappuccino munch improve notice,['healthy'],['health'],0.7051655054092407,H
328,feed corn gluten pet vet ingredient wellness liver chicken animal meat filler science diet kibble,['nutrition'],"['veterinaty', 'animal food', 'pet food']",0.5720918675263723,M
331,package item receive rice soup fresh disappointed white fast absolutely anyone wrong noodle awesome egg,['disappointment'],['food'],0.38866162300109863,M
338,bottle delivery hazelnut cappuccino peach wine squeeze kit cost sparkle selection mio cola carbonate squirt,['beverages'],['cafe'],0.60544753074646,H
339,roast cup bean keurig k-cups bold brew pod french k-cup starbucks machine espresso dark blend,['coffee'],"['cup', 'coffee', 'related to coffee']",0.8870240449905396,VH
345,can't almond blue ounce wait cocoa magnesium beat diamond blood reminds cause nutrient alot rda,['healthy'],['cocoa magnesium'],0.41101720929145813,M
346,snack chip healthy tasty family they're cheese potato apple alternative salty lunch enjoy satisfy crave,['snacking'],"['eat food', 'family fruit snack', 'family food craving']",0.7168993353843689,H
349,sweet snack bar cooky cereal fruit butter peanut nut cookie cracker almond apple crunchy oatmeal,['snacks'],['food'],0.7841411828994751,H
350,regular serve light red ounce single alone option alternative typically however enjoyable less popchips combine,['snacks'],['food and bevarage'],0.6998545527458191,H
351,notice believe life show completely face supplement heart fix number common sleep habit doctor recent,['health'],['sleep'],0.38128477334976196,M
356,favorite oil ever popcorn spice pop season cooking olive salad chai black top garlic sprinkle,['spice'],"['food', 'cooking']",0.5971592664718628,M
357,bottle glass lemon delivery mint sale peach usually broken forward offer plastic half prov mio,['convenience'],['delivery'],0.5409570932388306,M
359,something house least huge recently sale we've supermarket newman's reasonable higher charge walmart since limited,['discount'],['house for sale'],0.4410952627658844,M
364,diet feed change pet vet switch wellness formula kibble eats crazy allergy science grain research,['nutrition'],['diet'],0.8508486747741699,VH
370,magnesium diamond oil blue bowel rda body olive blood energy tolerance source nutrient allowance take,['healthy living'],"['magnesium', 'vitamin']",0.4203590303659439,M
372,stuff coconut case health tell difference please benefit weight immediately lose realize process cause care,['healthy living'],['coconut'],0.46532851457595825,M
373,top family nut plus extra apple cake mixed egg hit share raspberry mess banana travel,['fruitcake'],['food'],0.5348191857337952,M
374,espresso cappuccino illy drink mate capsule http href com www issimo caffe roast dark cold,['coffee'],['coffee'],1.0,VH
377,set stash packed grey earl tuna dent staple twinings sardine bigelow bergamot cola buyer schedule,['canned food'],['set'],0.36158132553100586,M
378,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,['coffee'],"['bitterness', 'starbucks']",0.6357089728116989,H
379,think cooky cookie raspberry thin brownie agree fudge oreo gooey crumbly shortbread ahoy ruin fig,['dessert'],['cookie'],0.7080201506614685,H
384,notice believe life show completely face supplement heart fix number common sleep habit doctor leg,['health'],['healthy life style'],0.738004744052887,H
388,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,['coffee'],['tea'],0.7776450514793396,H
391,green vitamin mountain teaspoon form organic nutritional grass mineral hemp smoothy calcium spaghetti yeah stain,['healthy'],['nutritional'],0.6683666706085205,H
395,organic natural real expensive syrup high artificial sweetener pleased flour wheat corn chemical leaf maple,['natural'],['food'],0.44305604696273804,M
397,vanilla keurig k-cups french k-cup aroma light medium chai blend matcha hint starbucks creamer roast,['coffee'],"['keurig', 'coffee']",0.8181240558624268,VH
399,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,['groceries'],"['grocery', 'shopping', 'shop']",0.7915782729784647,H
401,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,['nutrition'],"['nutrition', 'medecin']",0.7254280596971512,H
405,regular serve per fan red spicy pepper single alternative option heat kick huge fry alone,['spicy'],['cook'],0.6182593703269958,H
406,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,['travel'],['drink'],0.7519237995147705,H
409,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count gallon,['bottled beverages'],"['bottle', 'lemonade']",0.6698915660381317,H
412,wonderful next thank left salad customer service issue dress goodness back word post introduce spring,['spring'],['restaurant'],0.4038394093513489,M
414,star fruit pretty juice gift orange mind soda instant five espresso substitute raspberry decent via,['fruit'],['sweet beverage'],0.6503179669380188,H
415,green wonderful bean vanilla drinking black honey ice orange cold iced indiv aftertaste lemon caffeine,['iced coffee'],['juice'],0.4189610481262207,M
417,put around top real popcorn place bowl close pop batch microwave liqu movie cool second,[' microwave'],['cinema'],0.551249623298645,M
418,dry liver training freeze walk gravy cube due tub reward beg movie group she'll powdery,['healthy'],['cooking'],0.374116450548172,M
421,chip blend roast com favorite www http href dark keurig k-cups brew bold rich pod,['coffee'],['chip blend'],0.6526730060577393,H
429,size baby quickly daughter thanks work night start month since formula pump move old child,['growth'],['care'],0.5645647048950195,M
438,feed change switch diet vet wellness crazy eats pet formula kibble year science puppy old,['nutrition'],"['diet', 'animal']",0.6586219668388367,H
441,chip potato vinegar kettle corn garden addictive trap tortilla blue salt starch think lucky bbq,['snacks'],"['food', 'chip', 'cooking']",0.6372650067011515,H
442,item deal shop anymore guy disappoint supply buck donut sampler go lavazza recieved settle cheapest,['disappointment'],['shop'],0.4624786674976349,M
454,thing quite probably expect i'd n't rather certainly often stir enough either seem awful though,['disappointment'],['adverb'],0.523148775100708,M
455,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,['snack'],"['snack bar', 'food', 'sweet and sugar drink']",0.756029486656189,H
456,strong prefer bold medium ginger cherry stronger orange kona chamomile wake slight cola intense bitterness,['spice'],['chamomile'],0.5624762773513794,M
464,chew pod toy pound caramel bone larger play pet two minute rawh puppy target seem,['plaything'],['dog'],0.4472677707672119,M
465,quality chicken meat ingredient vegetable purchasing salmon pricey hazelnut base turkey tuna filler steak actually,['protein'],"['food', 'cooking', 'meat', 'cooking grocery', 'cooking']",0.5321216583251953,M
466,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,['healthy eating'],"['fruit', 'cooking']",0.4834476709365845,M
474,rice meal ginger content picky contain bowl label dinner sprinkle eater fairly cooked brown thai,['rice'],['food'],0.5859464406967163,M
475,shipping exactly seller stash grey earl prime beat dent charge beautiful pomegranate twinings sardine cola,['fruit'],['shopping'],0.5696406364440918,M
479,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,['healthy snacks'],"['food', 'healthy']",0.7190680503845215,H
480,item deal glad shop anymore become donut many supply disappoint sampler kill costco retail two,['disappointment'],['item'],0.5493093729019165,M
482,bottle shipping available plastic everyone offer pleased delivery glass lemon seller mint sample purchasing peach,['convenience'],"['commerce', 'bottle']",0.6484146416187286,H
486,market pasta difference stomach noodle brown hold mean sour cook soda coat upset nicely folk,['pasta'],['food'],0.6721094846725464,H
487,snack healthy tasty cheese satisfy lunch crave healthier perfect fill dip cheddar crunchy yum school,['snack'],"['healthy', 'cheesy snack', 'snack']",0.7502329349517822,H
491,cheese bread sauce flour chili stir garlic pork pizza waffle thai pan curry crust oven,['food'],"['food', 'food item']",0.9614781737327576,VH
492,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic process jamaica cook,['cuisine'],"['food', 'cooking', 'cooking and recipe']",0.803904136021932,VH
495,favorite blend black wife decaf caffeine fantastic licorice fuel beer jet fair herbal robust root,['flavor'],['caffeine'],0.5709093809127808,M
497,kind color broken shape fun vinegar bite unique describe spread crack everywhere beautiful expectation table,['vinegar'],['color'],0.6481073498725891,H
501,vitamin powder fruit hemp aloe smoothy green splenda vera sweeten pulp passion fiber mac soy,['superfoods'],"['nutrition', 'smoothie', 'diet']",0.5265680948893229,M
502,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,['healthy'],['nutrient'],0.5515143871307373,M
503,size baby quickly daughter thanks night work start month formula since pump move child lab,['growth'],['baby'],0.5571491122245789,M
505,son result skin mom gas truffle strength winter fall complete workout grown station consistent suck,['fitness'],['skin'],0.6135727167129517,H
506,syrup corn sweetener fructose agave maple nectar high sugar bowel diabetic movement glycemic hershey's natural,[' sweetener'],"['syrup', 'ingredient', 'syrup']",0.7163687944412231,H
508,protein blood source diarrhea cause diabetes muscle dose approximately glucose mineral sugar tolerance that's absorbed,['metabolism'],"['body', 'diabetes']",0.6030876338481903,H
509,bought free cooky butter peanut gluten cookie original sale super mom addict reasonable vegan prime,['healthy'],"['food', 'shopping']",0.41003724932670593,M
512,juice peach oat mango glass orange pineapple fruit jasmine relax blackberry squirt pearl sweeten quaker,[' juice'],"['pearl', 'juice']",0.8305603265762329,VH
515,chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian exception by-product grill breast supplier,['food'],"['recipe', 'grocery']",0.6853107810020447,H
516,quality chicken meat ingredient vegetable base purchasing salmon pricey turkey tuna hazelnut steak filler premium,['premium'],"['salmon', 'cooking item', 'food']",0.44129982590675354,M
518,year two size old every last month start week since several baby long ago three,['infancy'],"['baby', 'child', 'time']",0.6857219735781351,H
519,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,['healthy'],"['diet', 'supplement']",0.511669784784317,M
521,help chew hour honey energy minute night hair toy bone skin drop effect trip within,['assist'],['honey'],0.7865827679634094,H
522,free cooky butter peanut gluten cookie gum original sale reasonable vegan prime walmart fudge charge,['sale'],['recipe'],0.6684927940368652,H
525,free cooky butter peanut gluten cookie shipping gum original reasonable prime vegan sale walmart fudge,['sweets'],['shop'],0.6270643472671509,H
526,www http href com pie wolfgang puck roast ham pack smokehouse spam walden horseradish can,['smokehouse'],['internet'],0.487440288066864,M
527,different hot many others available salad k-cups keurig creamy name way curry brewer choose table,['variety'],['food'],0.5715794563293457,M
528,protein fat coconut fiber sodium calorie gram carbs splenda msg bpa ant grape antiox g<br,['healthy'],['diet'],0.4979948401451111,M
529,per red spicy pepper heat option ounce brownie kick alone alternative single mill jalapeno popchips,['spicy'],['food'],0.5458222031593323,M
531,right calorie bean low fat candy amount high small content sodium serve lower carbs prov,['diet'],['diet'],1.0000001192092896,VH
533,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,['healthy eating'],"['food component', 'diet']",0.5962638854980469,M
539,purchase see happy company call ship sent website check send impressed chance contact directly email,['purchase'],['online purchase'],0.6447493433952332,H
542,syrup artificial sweetener high sometimes chemical sweeten splenda stevia maple corn agave natural extract fructose,[' sweetener'],"['sweet', 'edible', 'sweetener']",0.8552009463310242,VH
544,star fruit especially juice orange mind soda con instant substitute espresso five raspberry decent total,['drink'],['fruit'],0.6030191779136658,H
