,task,true,model,model_extracted,true_num,classification_metric
21,problem pay sent ball convenience place crystal leave fancy litter gobble scoop mate spray skeptical,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESproblem pay sent ball convenience place crystal leave fancy litter gobble scoop mate spray skeptical - NO</s>,2,-2,1
22,cwru mike freenet cleveland previous stephen stand ryan joke story koresh guess wave tape funny,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEScwru mike freenet cleveland previous stephen stand ryan joke story koresh guess wave tape funny - NO</s>,2,-2,1
23,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad, YES</s>,2,-2,1
24,package work receive surprised sample recipe future description party damage pack pleasantly careful say way,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESpackage work receive surprised sample recipe future description party damage pack pleasantly careful say way - NO</s>,2,-2,1
25,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,good, NO</s>,-2,2,0
26,internet water ground circuit connect service tower heat contact email plant network marc bitnet cooling,bad, YES</s>,2,-2,1
27,copy thor electronics libertarian steveh bell steve hendricks keyboard current persian free fail measure company,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YES</s>",2,-2,1
28,feel normal health oreo birthday particular heart notice dairy adult crisp chia kashi omega- hairball,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESfeel, normal, health, oreo, birthday, particular, heart, notice, dairy, adult, crisp, chia, kashi, omega-3, hairball - NO</s>",2,-2,1
29,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESright bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder - NO</s>,2,2,1
30,money spend gary columbia costs health market care happy dare private ucsc country canadian canada,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESmoney, spend, gary, columbia, costs, health, market, care, happy, dare, private, ucsc, country, canadian, canada - NO</s>",2,-2,1
31,controller scsi disk card bios interface feature jumper speed floppy fast transfer pope port mode,good, NO</s>,-2,2,0
32,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,bad, YES</s>,2,-2,1
33,stuff coconut health tell believe difference cannot care please notice benefit fact pure horrible case,bad, YES</s>,2,-2,1
34,pack com www http href fill pie pecan can europe whole clif brewer larabar single,bad, NO</s>,-2,-2,0
35,quote context ence agree accept argument taking death maybe dead live ever eternal kind learn,bad, YES</s>,2,-2,1
36,looking friend uiuc battery month steve running craig nice date remember junk area stick fine,bad, YES</s>,2,-2,1
37,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESn't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero - NO</s>,2,2,1
38,disk tape memory error floppy boot swap backup install adaptec device instal running works config,good, YES</s>,2,2,1
39,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESchurch, truth, absolute, doug, symbol, borland, bible, libxmu, scripture, paradox, matter, reading, error, interpretation, exercise - YES</s>",2,2,1
40,per let must choice simply sit seed fish totally age vegan wine jelly ten kit,bad, NO</s>,-2,-2,0
41,image graphics package format object library site user directory processing database code routine convert unix,bad, YES</s>,2,-2,1
42,lost james model disclaimer houston navy callison init uoknor andrew presentation weight bird stick height,bad, NO</s>,-2,-2,0
43,ground water food wire disease cause engine test light patient current study hole henry science,bad, YES</s>,2,-2,1
44,peter search history professor christianity hotel credit king view general mathematics hope ancient oulu attend,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESpeter, search, history, professor, christianity, hotel, credit, king, view, general, mathematics, hope, ancient, oulu, attend - YES</s>",2,-2,1
45,green protein powder vitamin body soy normal fiber source mixed contains shake daily con meal,good, YES</s>,2,2,1
46,window display server application image memory screen color driver user apple running monitor mouse graphics,good, YES</s>,2,2,1
47,pres homosexual russian sexual cramer jewish sandvik activity russia dseg country child percent military continue,bad, NO</s>,-2,-2,0
48,window display server application image screen color user memory driver graphics code apple running mouse,good, YES</s>,2,2,1
49,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESatheist, belief, religion, atheism, existence, christianity, ence, faith, cannot, truth, universe, argument, accept, keith, strong - YES</s>",2,2,1
50,dead body town duke shot kill mountain azeri soviet azerbaijan child massacre azerbaijani force helicopter,good, NO</s>,-2,2,0
51,feel actually friend fact notice normal sort particular otherwise issue trouble crisp sensitive gummy might,bad, NO</s>,-2,-2,0
52,hockey season player goal league leaf playoff flyer penalty division wings next shot draft final,good, YES</s>,2,2,1
53,launch entry build project development commercial cost rule market satellite european output contest remark size,good, YES</s>,2,2,1
54,south george island secret military ship british jake employer bony nuclear rockefeller york naval plan,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESsouth george island secret military ship british jake employer bony nuclear rockefeller york naval plan - NO</s>,2,-2,1
55,moral keith morality definition livesey caltech define community young goal behavior murder imply saying catholic,bad, YES</s>,2,-2,1
56,mouse move robert week processor chicago speed fast application microsoft anyway carry wait powerpc info,bad, YES</s>,2,-2,1
57,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,bad, NO</s>,-2,-2,0
58,mix less problem diet clean switch coat vet crazy ball feed kibble leave wellness spoon,bad, YES</s>,2,-2,1
59,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESbottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola - NO</s>,2,-2,1
60,notice believe life show completely face supplement heart fix number common sleep habit doctor recent,bad, YES</s>,2,-2,1
61,ground wire water circuit printer current battery connect cable outlet voltage wiring electrical panel heat,good, YES</s>,2,2,1
62,pres money clinton bill koresh business today house administration talk country press working rule stratus,bad, YES</s>,2,-2,1
63,turkish turk genoc soviet turkey russian armenia muslim today ottoman serve population serdar argic mountain,good, NO</s>,-2,2,0
64,price monitor church port asking pitt build offer mask package spirit board send cannot shipping,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESprice monitor church port asking pitt build offer mask package spirit board send cannot shipping - NO</s>,2,-2,1
65,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,bad, YES</s>,2,-2,1
66,research center april medical health national report washington institute cancer nasa disease virginia page child,good, YES</s>,2,2,1
67,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,good, NO</s>,-2,2,0
68,food study ence bible death belief understand natural animal thought revelation rochester language nothing given,bad, YES</s>,2,-2,1
69,ingredient color corn allergy puppy source stevia research filler allergic main yellow list human soy,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESingredient color corn allergy puppy source stevia research filler allergic main yellow list human soy - YES</s>,2,-2,1
70,lost andrew james homosexual cramer chris white internet george clayton bitnet gatech disclaimer michael rose,bad, NO</s>,-2,-2,0
71,image graphics package user unix directory anonymous format library site keyboard comp server contact database,good, YES</s>,2,2,1
72,research phone center organization technology office institute department national email engineering conference contact computing virginia,good, YES</s>,2,2,1
73,player season hockey league baseball goal division period pittsburgh pick leaf next boston mike chicago,good, YES</s>,2,2,1
74,value teeth difficult msg pea bone rawh spent what's glutamate monosodium europe potential inexpensive japanese,bad, NO</s>,-2,-2,0
75,wire ground circuit connect outlet wiring current electrical voltage panel neutral cable usually risc plastic,good, NO</s>,-2,2,0
76,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,bad, YES</s>,2,-2,1
77,moral keith caltech school animal morality livesey goal behavior definition natural community humans solntze learning,bad, YES</s>,2,-2,1
78,green vitamin mountain form teaspoon nutritional mineral smoothie load grass calcium hemp smoothy spaghetti iron,bad, YES</s>,2,-2,1
79,engine model radar lock band detector rocket foot exhaust motor steal sport pressure cable sdsu,good, YES</s>,2,2,1
80,thing quite expect probably i'd seem n't either wish stock certainly stir though kind end,bad, YES</s>,2,-2,1
81,pasta pill diamond rice almond magnesium rda blue cook brown blood allowance sore bbq approximately,bad, NO</s>,-2,-2,0
82,saturn liar nasa fool crazy dealer lunatic natural wrong gsfc caltech columbia price advertising billboard,bad, NO</s>,-2,-2,0
83,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,good, YES</s>,2,2,1
84,especially often mind set instant five decent starbucks total roll via flower classic bigger grape,bad, YES</s>,2,-2,1
85,morning usually light breakfast packet easily mild indiv pour convenient liqu wrap stevia ual afternoon,bad, NO</s>,-2,-2,0
86,keep container easily melt hold mess shape stuck plastic room bigger loose together separate expectation,bad, YES</s>,2,-2,1
87,henry access appear toronto digex orbit captain spencer mass weaver harris star hole universe theory,bad, YES</s>,2,-2,1
88,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,good, NO</s>,-2,2,0
89,thought anything nothing end type house else stick course bite opinion boil touch there's pumpkin,bad, NO</s>,-2,-2,0
90,oil bone toy olive magnesium diamond blue body blood bowel rda truffle muscle tolerance heart,bad, NO</s>,-2,-2,0
91,vanilla iced indiv caffeine soda orange stevia lemon mango beverage ually flower herbal illy lipton,bad, NO</s>,-2,-2,0
92,love uiuc cwru thought wrong guess sorry frank keith nothing hell mine uucp objective homosexual,bad, YES</s>,2,-2,1
93,pres homosexual cramer administration working clinton house russian official community secretary sandvik sexual clayton private,bad, NO</s>,-2,-2,0
94,unix resource server directory library user application type terminal converter release contrib running comp export,bad, YES</s>,2,-2,1
95,receive rice absolutely disappointed white fast noodle dish return customer service anyway terrible satisfied process,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESreceive rice absolutely disappointed white fast noodle dish return customer service anyway terrible satisfied process - NO</s>,2,-2,1
96,encryption chip clipper security privacy escrow encrypt technology agency enforcement message phone algorithm protect secure,good, YES</s>,2,2,1
97,weapon fire kill crime child firearm carry police cause woman death bill criminal member city,good, YES</s>,2,2,1
98,michael radio rutgers rock intelligence view associate amateur kaldis georgia covington broadcast mcovingt record central,bad, NO</s>,-2,-2,0
99,always sure last open whole case they're week maybe couple jar that's part mine someone,bad, YES</s>,2,-2,1
100,weapon firearm police carry criminal license safety handgun self semi public auto officer crime illegal,good, YES</s>,2,2,1
101,snack bar cooky sweet cereal fruit butter peanut nut cookie cracker almond apple crunchy oatmeal,good, NO</s>,-2,2,0
102,hell alaska jack eternal forever motto acad main billion gene nsmca wright oakland adams heaven,bad, NO</s>,-2,-2,0
103,looking friend uiuc battery month steve running craig fine nice junk date remember taste reaction,bad, YES</s>,2,-2,1
104,trade berkeley andy names tyre rick business prince division seattle stop uucp else custom forsale,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YEStrade berkeley andy names tyre rick business prince division seattle stop uucp else custom forsale - NO</s>,2,-2,1
105,turkish turk genoc soviet turkey armenia nazi today german russian ottoman captain serdar serve argic,bad, NO</s>,-2,-2,0
106,land country care health drug disease money happy company patient physician insurance child gary jewish,bad, YES</s>,2,-2,1
107,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,good, NO</s>,-2,2,0
108,lost james disclaimer model houston navy callison andrew weight bird init uoknor presentation behanna height,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESlost, james, disclaimer, model, houston, navy, callison, andrew, weight, bird, init, uoknor, presentation, behanna, height - NO</s>",2,-2,1
109,cut wheat actually miss texture oat biscuit seriously quaker unlike winner country absolute regular family,bad, YES</s>,2,-2,1
110,ingredient color corn allergy puppy source stevia research filler allergic list yellow main human soy,bad, YES</s>,2,-2,1
111,dec hope date online past maybe original shipment anywhere expiration previous hol could everywhere disappointment,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESdec hope date online past maybe original shipment anywhere expiration previous hol could everywhere disappointment - YES</s>,2,-2,1
112,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,good, YES</s>,2,2,1
113,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good, NO</s>,-2,2,0
114,weapon firearm police criminal carry crime self auto handgun safety license semi citizen officer kill,good, YES</s>,2,2,1
115,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,bad, NO</s>,-2,-2,0
116,islamic ohio charge magnus tube rice monash cheer turbo fred rushdie muslim movement mind khomeini,bad, NO</s>,-2,-2,0
117,sweet delicious bar milk cereal texture nut almond yummy cinnamon fill granola strawberry chewy caramel,good, NO</s>,-2,2,0
118,pres homosexual cramer administration working russian money russia private sexual secretary sandvik official clayton house,good, NO</s>,-2,2,0
119,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,bad, NO</s>,-2,-2,0
120,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,good, YES</s>,2,2,1
121,wave ryan guess story indiana ottawa stephen coming previous udel smoke roger mike compound gibson,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YES</s>",2,-2,1
122,excellent white yummy egg oatmeal gluten-free mill excite bob's frost call marshmallow lovely biscotti service,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESexcellent, white, yummy, egg, oatmeal, gluten-free, mill, excite, bob's, frost, call, marshmallow, lovely, biscotti, service - NO</s>",2,2,1
123,rice season tomato tuna steak pea fudge hol mustard wasabi bubble usa cookie oreo creme,good, NO</s>,-2,2,0
124,weapon firearm carry police license handgun safety semi auto automatic revolver section dangerous officer rifle,good, YES</s>,2,2,1
125,remember andrew face reading dave reduce risc instruction duke intel instructions icon clone dear powerbook,bad, NO</s>,-2,-2,0
126,love hell quote feel stup brian evil sorry learn choose fear accept death live maybe,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESlove hell quote feel stup brian evil sorry learn choose fear accept death live maybe - NO</s>,2,-2,1
127,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESaccess toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover - NO</s>,2,-2,1
128,fire child kill cause away live woman doctor else remember face week left friend hand,bad, NO</s>,-2,-2,0
129,driver card sound cards utexas light mode machine diamond gateway latest accelerator running austin crash,bad, NO</s>,-2,-2,0
130,sweet bar perfect milk texture yummy soft cinnamon plain granola strawberry yogurt blueberry combination addict,good, NO</s>,-2,2,0
131,rule entry test output define section return size check count build author larry remark open,bad, YES</s>,2,-2,1
132,oil salt chew energy gum bone hair body toy olive blue skin magnesium help night,bad, YES</s>,2,-2,1
133,year old easy save soup carry subscribe area since prepare tomato buying sign almost seafood,bad, YES</s>,2,-2,1
134,israel israeli country encryption arab drug attack pres chip clipper policy security administration health disease,bad, YES</s>,2,-2,1
135,size baby quickly daughter thanks work night start month since formula pump move old child,bad, YES</s>,2,-2,1
136,drug court legal police illegal laws charge property federal lawyer francisco civil hate arrest anti,good, YES</s>,2,2,1
137,ever cereal sell unfortunately truly stale pancake vendor appreciate threw understand think could fell allow,bad, YES</s>,2,-2,1
138,friend steve uiuc battery pain looking month week craig doug phil cause doctor remember taste,bad, YES</s>,2,-2,1
139,printer radio design quality technology laser signal print byte engineering project engineer component cost phone,good, YES</s>,2,2,1
140,ground water wire science bill engine food henry current battery level cwru center circuit outlet,good, YES</s>,2,2,1
141,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left,good, NO</s>,-2,2,0
142,market difference pasta stomach mean brown hold soda sour coat compare cook upset nicely folk,bad, YES</s>,2,-2,1
143,need result clean cheap basically breath greenies concerned major trust tummy pet space finicky dental,bad, YES</s>,2,-2,1
144,mix sauce easy hot cheese recipe bread spicy pepper cook chicken season cake salad meal,good, YES</s>,2,2,1
145,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,bad, YES</s>,2,-2,1
146,put thought anything nothing stick else something course boil cover end house air burn know,bad, YES</s>,2,-2,1
147,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,bad, YES</s>,2,-2,1
148,keep easily container melt plastic mess work hold shape stuck room loose bigger expectation break,bad, YES</s>,2,-2,1
149,kill weapon child fire crime firearm woman carry death police bill criminal city home doctor,good, YES</s>,2,2,1
150,treat larc company patient lyme nasa quack doctor culture ence khan physician tammy negative action,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YEStreat, larc, company, patient, lyme, nasa, quack, doctor, culture, ence, khan, physician, tammy, negative, action - YES</s>",2,-2,1
151,message apple colorado simms record simm thought arthur toshiba getting receive account wonder sent teel,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESmessage apple colorado simms record simm thought arthur toshiba getting receive account wonder sent teel - NO</s>,2,-2,1
152,israel medium israeli west bank palestinian joke suck bias arab report territory palestine east jerusalem,bad," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESisrael, medium, israeli, west bank, palestinian, joke, suck, bias, arab, report, territory, palestine, east, jerusalem - YES</s>",2,-2,1
153,weapon firearm police carry criminal crime self handgun license safety auto semi citizen officer public,good, YES</s>,2,2,1
154,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,good, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESabsolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol - NO</s>,2,2,1
155,year old save soup ago awesome subscribe area stock discover chili tomato since vegan still,good, YES</s>,2,2,1
156,value money difficult quantity bulk msg okay bacon teeth what's glutamate monosodium con potential although,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESvalue money difficult quantity bulk msg okay bacon teeth what's glutamate monosodium con potential although - NO</s>,2,-2,1
157,image graphics format package user code unix library motif directory comp site tool contact object,good, YES</s>,2,2,1
158,science theory scientific knowledge rochester experiment result dseg scientist process study methodology lady method hypothesis,good, YES</s>,2,2,1
159,drug country nazi child german anti care germany political party jewish society research policy insurance,good, NO</s>,-2,2,0
160,nice salt excellent cracker please sea surprise unique table wine pork kit puff describe graham,bad, YES</s>,2,-2,1
161,say can't run wait cocoa iced dont least four alot know personally bone watery sure,bad, YES</s>,2,-2,1
162,saturn liar nasa fool crazy dealer gsfc lunatic columbia wrong caltech price advertising billboard lawrence,bad, NO</s>,-2,-2,0
163,chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame,good, NO</s>,-2,2,0
164,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,bad, YES</s>,2,-2,1
165,clinton movie class bill frame plan within animation sean administration charles mike bush quicktime regard,bad, YES</s>,2,-2,1
166,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant,bad, YES</s>,2,-2,1
167,religion belief atheist atheism existence christianity faith ence cannot universe truth religious argument accept strong,good," bike, firearm, knife, criminal, carry, death, weapon, scsi, murder, smith, handgun, moral, child, defense, tape - YESappreciate, advance, anybody, info, thank, experience, hello, greatly, suggestion, wonder, edge, able, email, recently, thanx - NObible, christ, matthew, heaven, scripture, lord, father, word, passage, teach, mary, spirit, doctrine, verse, faith - YESreligion, belief, atheist, atheism, existence, christianity, faith, ence, cannot, universe, truth, religious, argument, accept, strong - YES</s>",2,2,1
168,encryption chip clipper security phone privacy public algorithm secure escrow message agency technology encrypt enforcement,good, YES</s>,2,2,1
169,help coconut difference tell cannot benefit everyday pleasant told improve health munch along temperature many,bad, YES</s>,2,-2,1
170,hot milk cold stomach diet substitute shake warm sensitive nasty soy dissolve upset pain dairy,good, YES</s>,2,2,1
171,vanilla iced indiv caffeine espresso stevia mango fuel ually flower herbal jet illy lipton jasmine,good, NO</s>,-2,2,0
172,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,bad, YES</s>,2,-2,1
