,Human,Model,wordset
144,rather_good,good,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish
145,bad,bad,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur
146,bad,bad,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin
147,bad,bad,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur
148,bad,bad,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur
149,bad,bad,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin
150,rather_bad,bad,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur
151,rather_bad,bad,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot
152,bad,bad,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority
153,bad,bad,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter
154,good,bad,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue
155,bad,bad,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue
156,bad,bad,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume
157,bad,bad,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature
158,bad,bad,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion
159,good,bad,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong
160,rather_bad,bad,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether
161,bad,bad,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule
162,bad,bad,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion
163,good,bad,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule
164,rather_bad,bad,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense
165,good,bad,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue
166,bad,bad,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue
167,good,bad,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence
168,bad,bad,arrive second gum hope date online however original past finish last today stale broken shipment
169,bad,bad,arrive second gum hope date online however original past last finish today stale broken shipment
170,bad,bad,arrive second gum hope date online original past stale shipment today finish however dec expiration
171,bad,bad,arrive second gum hope online date original past already soon finish today broken stale plan
172,bad,bad,atheism atheist religion religious belief faith command monitor following check email switch send boot message
173,rather_bad,good,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position
174,rather_good,good,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response
175,good,bad,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove
176,good,bad,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove
177,good,bad,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove
178,good,bad,atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument
179,good,good,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong
180,good,good,atheist religion atheism religious belief faith theist strong command universe position saturn cause response following
181,good,good,atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message
182,good,bad,attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially
183,good,bad,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord
184,good,bad,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop
185,bad,bad,attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope
186,bad,bad,attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight
187,bad,bad,attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe
188,bad,bad,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight
189,bad,bad,attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu
190,bad,bad,attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla
191,good,bad,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla
192,good,bad,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope
193,rather_bad,bad,attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black
194,bad,bad,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white
195,bad,bad,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection
196,rather_bad,bad,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank
197,bad,bad,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's
198,bad,bad,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber
199,rather_bad,bad,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent
200,rather_bad,bad,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant
201,bad,bad,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek
202,bad,bad,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous
203,bad,bad,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous
204,bad,bad,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach
205,bad,bad,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach
206,bad,bad,back wonderful new drinking home change amaze highly next issue thank left set excite share
207,bad,bad,back wonderful new drinking home change highly amaze next issue thank left set excite share
208,bad,bad,back wonderful new highly drinking home change amaze next issue thank left set excite share
209,rather_bad,bad,back wonderful new highly drinking home change amaze next issue thank left set share excite
210,bad,bad,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic
211,rather_bad,bad,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic
212,bad,bad,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere
213,bad,bad,back wonderful new home change drinking amaze husband next issue thank left highly life anyone
214,bad,bad,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere
215,bad,bad,back wonderful new home change next amaze issue thank left lose hope life office fantastic
216,rather_bad,bad,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton
217,rather_bad,bad,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness
218,bad,bad,banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager
219,good,good,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar
220,bad,good,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar
221,good,good,bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax
222,good,good,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut
223,good,good,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut
224,good,good,bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran
225,good,good,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut
226,good,good,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch
227,good,good,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew
228,good,good,bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin
229,good,good,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy
230,good,good,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond
231,good,good,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake
232,good,good,bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict
233,good,good,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict
234,good,good,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake
235,good,good,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious
236,good,good,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict
237,good,good,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry
238,bad,good,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake
239,good,good,baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska
240,good,good,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third
241,good,good,baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league
242,rather_bad,bad,battery looking email sell graphics food apple advance dyer nasa fine friend image running found
243,bad,bad,battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa
244,bad,rather_bad,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat
245,bad,rather_bad,bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat
246,rather_good,good,bean soda espresso lavazza ground roast soap ketchup crema lavender grind barista brazil tabasco reply
247,good,good,bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten
248,bad,bad,begin father massacre sport jayne joel newspaper hole soldier russian yassin oracle french spirit fill
249,good,bad,belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing
250,good,bad,belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing
251,good,bad,belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing
252,good,good,berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer
253,good,good,berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum
254,rather_bad,bad,berkeley court hate francisco anti charge jacket dangerous property leather museum legal california judge arens
255,bad,bad,berkeley court love hate francisco anti jacket property leather charge money museum dangerous loud safe
256,bad,bad,berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe
257,good,bad,bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth
258,good,bad,bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth
259,good,bad,bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach
260,good,bad,bible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith
261,good,bad,bible christ matthew lord faith heaven scripture teach father word mary save spirit love shall
262,good,bad,bible christ matthew lord father faith word holy spirit scripture heaven teach doctrine passage church
263,good,bad,bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary
264,good,bad,bible christ matthew lord heaven scripture faith teach word father mary save spirit passage verse
265,good,bad,bible christ matthew lord heaven scripture faith word father teach mary passage spirit save verse
266,good,bad,bible christ matthew word authority scripture human means passage truth always belief saying heaven coming
267,good,bad,bible christ matthew word authority scripture human means passage truth always saying belief coming mark
268,good,bad,bible church christ faith matthew catholic scripture father lord word heaven holy spirit truth belief
269,good,bad,bible church christ faith matthew father scripture lord word catholic truth heaven holy belief spirit
270,good,bad,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority
271,good,bad,bible church christ faith matthew word father scripture truth belief lord heaven holy spirit authority
272,good,bad,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation
273,good,bad,bible church christ truth faith lord catholic scripture father christianity belief heaven hell holy interpretation
274,good,bad,bible church christ truth faith love word lord paul catholic belief quote scripture father matthew
275,good,bad,bible church christ truth faith love word lord paul catholic scripture father matthew quote belief
276,good,good,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim
277,good,good,bible religion turkish church belief truth argument faith christ atheist greek muslim human ence word
278,good,good,bible religion turkish church belief truth argument faith christ atheist muslim ence greek human word
279,good,good,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word
280,good,good,bible religion turkish church belief truth argument faith christ atheist muslim greek human ence word
281,good,good,bible religion turkish church belief truth argument faith christ ence muslim greek human atheist word
282,good,good,bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist
283,good,good,bible religion turkish church belief truth argument faith christ ence muslim greek word human moral
284,good,good,bible religion turkish church belief truth argument faith christ ence word muslim greek human moral
285,good,good,bible religion turkish church belief truth argument faith christ word ence muslim greek human moral
286,good,good,bible religion turkish church belief truth faith argument christ atheist greek muslim word human ence
287,good,good,bible religion turkish church belief truth faith argument christ atheist word greek muslim human moral
288,good,good,bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human
289,rather_bad,bad,big available packaging con value hair difficult search bottom clear ering damage bacon line none
290,good,bad,big nut plus extra fan etc mixed hit dessert flavour car cashew thats walnut soooo
291,good,bad,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car
292,good,good,bike engine front mile speed tire road turn light motorcycle wheel driving model ford left
293,good,good,bike engine front mile speed tire road turn light motorcycle wheel driving model left ford
294,good,good,bike engine front mile speed tire road turn motorcycle light wheel driving model ford left
295,good,good,bike engine front mile tire motorcycle wheel driving ford rear honda vehicle brake traffic speed
296,good,good,bike engine front mile tire road speed motorcycle wheel turn driving light model rear cross
297,good,good,bike engine front tire mile wheel road friend motorcycle modem cross model speed vehicle driving
298,good,good,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar
299,good,good,bike engine mile tire wheel motorcycle front ford rear honda driving vehicle brake traffic radar
300,good,good,bike engine mile tire wheel motorcycle front ford rear honda vehicle driving brake traffic radar
301,good,good,bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape
302,good,good,bike mile front speed tire turn road wheel rear brake motorcycle driving vehicle fast left
303,good,good,bike mile front tire road speed turn wheel rear brake motorcycle driving vehicle left fast
304,good,good,bike mile road front speed tire turn engine motorcycle driving wheel light ford rear honda
305,good,good,bike mile speed front road tire turn motorcycle engine wheel driving light rear honda ford
306,good,bad,bike mile speed front turn tire road motorcycle wheel driving rear brake honda left fast
307,rather_bad,good,bike speed apple turn disk fast mile tire simms mouse driver cable wheel engine memory
308,good,good,bike speed apple turn mile tire fast simms front wheel engine cable rear motorcycle driver
309,good,bad,bike speed mile front tire turn wheel road rear brake motorcycle fast left driving vehicle
310,good,bad,bike speed mile front turn tire road motorcycle engine wheel driving rear honda fast left
311,good,bad,bike speed mile turn front tire road engine motorcycle wheel driving fast rear honda left
312,good,bad,bike speed mile turn front tire road engine motorcycle wheel fast driving rear honda simms
313,good,bad,bike speed mile turn front tire road motorcycle wheel driving rear brake fast honda left
314,good,good,bike speed turn apple mile tire fast brake wheel mouse driver rear disk engine cable
315,bad,bad,bike speed turn apple mile tire simms fast wheel mouse brake rear driver front engine
316,rather_good,bad,bike speed turn mile apple tire front simms fast wheel engine motorcycle road rear left
317,good,bad,bike speed turn mile apple tire simms fast front wheel rear brake engine motorcycle left
318,good,bad,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left
319,good,bad,bike speed turn mile tire front simms wheel motorcycle road fast rear brake left honda
320,good,bad,bike turn engine front mile road tire driving cross unit stick lock wheel owner foot
321,bad,good,bill clinton fire batf scott stratus compound koresh child waco tear agent distribution cult watch
322,bad,bad,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant
323,rather_bad,bad,bill clinton fire batf stratus scott compound waco distribution modem company child today agent warrant
324,rather_bad,good,bill clinton fire koresh batf scott child compound stratus waco tear cult distribution agent watch
325,rather_bad,bad,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent
326,rather_bad,good,bill clinton modem stratus batf fire waco scott compound company distribution country washington packet handheld
327,bad,bad,bill distribution port modem serial stratus connect special packet several william rocket keywords interrupt baud
328,rather_good,bad,bill distribution port modem serial stratus connect special several packet keywords william rocket interrupt baud
