,text,true,model,true_num,model_num
226,piece beef jerky bowl turn break picky pill training dont two gravy eater cut bite,good,bad,2,-2
231,sweet bar perfect milk fruit texture yummy granola cinnamon crunchy blueberry strawberry yogurt flake tart,good,bad,2,-2
232,set stash grey packed earl tuna dent staple twinings sardine bergamot bigelow cola buyer schedule,bad,bad,-2,-2
234,nut plus fan family hit big extra mixed etc dessert microwave flavour car thats cashew,bad,bad,-2,-2
235,open place container easily soft hold melt together close mess shape stuck somewhat cool chewy,bad,good,-2,2
237,organic natural real expensive syrup high artificial sweetener pleased flour wheat corn leaf chemical maple,bad,good,-2,2
238,piece everything beef season break pepper pill pocket jack crush medication ear pinch medicine imagine,bad,good,-2,2
240,hair thick clear heard wash head scent shampoo conditioner oily scalp apply manufacturer shiny shower,good,good,2,2
242,chicken meat vegetable purchasing hazelnut test filler we're ingredient steak vegetarian by-product grill duck gloria,good,bad,2,-2
244,strong prefer bold people orange ginger medium weak shake cherry mostly twice stronger subtle bitterness,bad,good,-2,2
245,favorite blend black wife decaf licorice caffeine fuel jet beer fair herbal robust fantastic root,bad,bad,-2,-2
246,review see disappointed read value another reviewer similar base call label write reading comment note,good,good,2,2
252,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,bad,bad,-2,-2
255,several deal smooth brew machine maker french pot shop sample espresso two drinker anymore every,good,bad,2,-2
256,can't almond ounce blue wait cocoa magnesium cause beat diamond blood reminds alot nutrient rda,bad,bad,-2,-2
257,star fruit especially juice orange mind soda con instant substitute espresso five raspberry decent total,good,good,2,2
259,say without way fine though think still yes ton felt may warn doubt people meant,bad,good,-2,2
260,enjoy right candy amount quick cold plain hint refresh warm sweetness beverage summer mango quantity,bad,bad,-2,-2
261,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,good,bad,2,-2
264,size month start problem highly week baby quickly daughter ago thanks move pump later worry,bad,good,-2,2
266,know smell bad i'll people open seal think since subscription pretty crumb nearly n't reason,bad,bad,-2,-2
268,local grocery cost able deliver buying shelf trip stop realize door visit way ask half,bad,good,-2,2
270,end hair clear felt heard thick opening wash scent job shampoo major manufacturer conditioner oily,good,bad,2,-2
272,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,good,good,2,2
275,breakfast packet indiv convenient wrap pour control ual afternoon ually deep enjoy morning way relax,bad,good,-2,2
284,oil ever popcorn spice jar pop season cooking olive salad cook top search christmas sprinkle,good,good,2,2
285,bought buying local grocery cost able way carry cheaper stop deliver supermarket shelf trip office,good,good,2,2
286,chicken meat vegetable purchasing test hazelnut we're steak vegetarian real exception grill gloria rub plate,good,bad,2,-2
288,say think still review smell bad open people i'll maybe know since however see read,bad,good,-2,2
289,delicious small smaller anyone locally six comment tire handy trader definately cheap inch though joe's,bad,good,-2,2
290,know since still many review smell however though bad pretty people may i'll type let,bad,good,-2,2
293,arrive second gum hope date online original past stale shipment today finish however dec expiration,bad,bad,-2,-2
298,fruit juice orange mind soda via oat flower gummy rating instant bear illy roll classic,bad,bad,-2,-2
300,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,bad,good,-2,2
301,people minute hour amaze cheese energy husband everyone point within shot everyday guy pizza boost,bad,good,-2,2
302,snack chip healthy tasty family they're cheese potato apple alternative salty enjoy satisfy lunch crave,good,good,2,2
305,hair clear wash scent shampoo conditioner heard oily manufacturer thick shiny scalp seem lead end,good,good,2,2
306,n't money juice color guess think wrong fine bought could waste either throw show picture,bad,bad,-2,-2
308,bread flour traditional toast baking mustard member recipe celiac disease yeast needle dough chinese rise,good,good,2,2
309,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,bad,bad,-2,-2
313,container teeth vet clean result pet research cheap basically breath issue greenies junk major manufacturer,bad,good,-2,2
315,nice salt hard color cracker smaller big bite dish hit kind broken shape sea vinegar,bad,good,-2,2
316,excellent white yummy oatmeal excite egg gluten-free mill frost bob's lovely generally marshmallow bud biscotti,bad,good,-2,2
318,know still since review many smell however bad though never people may open i'll maybe,bad,bad,-2,-2
323,piece beef everything jerky season break pill training pocket jack two tender crush nose garbage,bad,bad,-2,-2
326,help chew keep hour honey energy bone minute toy skin need night work trip training,bad,bad,-2,-2
329,strong highly twice cherry stronger sick slight mostly chamomile san clam wake pricing weaker shake,bad,bad,-2,-2
331,excellent white yummy oatmeal egg excite gluten-free mill frost bob's lovely marshmallow call biscotti generally,bad,good,-2,2
332,purchase happy ship impressed website chance wonder directly mother offer elsewhere enjoys promptly refund see,bad,bad,-2,-2
333,package fresh item receive arrive rice soup disappointed gift white fast company anyone noodle awesome,bad,bad,-2,-2
334,green sauce protein powder vitamin mixed soy shake contains fiber matcha form nutrition teaspoon prov,good,good,2,2
335,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,good,bad,2,-2
336,stuff coconut difference benefit tell face everyday wow told cannot health cappuccino munch notice help,bad,bad,-2,-2
338,bit work seem thing way n't quite vanilla expect i'd probably recipe bread wish cream,bad,good,-2,2
340,ever cereal sell unfortunately truly stale pancake vendor appreciate think threw understand fell could never,bad,good,-2,2
341,market tell turn difference mean cook pasta brown stomach soda hold suppose sour coat kitchen,bad,bad,-2,-2
343,they're that's couple whole ate mine return someone pouch sure share pretzel wow open school,bad,bad,-2,-2
352,feel friend actually fact notice normal particular sort otherwise lower crisp sensitive trouble gummy bit,bad,bad,-2,-2
354,strong highly prefer cherry stronger replacement intense slight there's chamomile san kona create weak clam,bad,good,-2,2
356,star fruit pretty juice gift orange mind soda instant five espresso substitute raspberry decent especially,bad,bad,-2,-2
364,ingredient honey list special label contains raw splenda test berry contain prov china process site,bad,good,-2,2
369,company available care awesome search sent licorice send contact email since business call affordable amazon's,good,good,2,2
370,rice meal ginger content contain sprinkle dinner cooked thai snap breast brown they've fairly chicken,good,good,2,2
372,bought local grocery cost able buying deliver cheaper plant live run carry shelf trip stop,good,good,2,2
374,piece sell deal market glad online break hop teeth unfortunately surprised packaging flour bulk whole,good,bad,2,-2
375,never ever local piece grocery sell deal wish carry market expensive glad gum online hop,bad,bad,-2,-2
379,work hour energy husband minute effect boost pizza shot level ent caffeine crust faster favor,bad,good,-2,2
381,green vitamin mountain teaspoon form organic nutritional grass mineral hemp smoothy calcium spaghetti yeah stain,bad,good,-2,2
383,ever cereal sell unfortunately truly stale pancake vendor appreciate think threw understand could fell doubt,bad,good,-2,2
385,green protein powder vitamin con body fiber mixed soy normal daily source contains prov shake,good,good,2,2
386,thing quite expect probably i'd seem n't either wish stock certainly stir kind though end,bad,good,-2,2
387,cheese bread sauce flour chili stir garlic pork pizza waffle thai pan curry crust oven,good,bad,2,-2
388,delicious smaller training liver near freeze locally somewhat six appear tire cube freezer frozen handy,bad,good,-2,2
390,vanilla keurig k-cups light french k-cup aroma medium chai matcha brewer starbucks hint blend mountain,good,bad,2,-2
391,breakfast packet indiv wrap convenient pour ual control afternoon ually morning enjoy deep stevia way,bad,bad,-2,-2
393,packet hot cream ice machine leaf cold mild iced indiv breakfast pot cocoa pour morning,good,bad,2,-2
396,salt bean dish sea kitchen gourmet pork ground rind basic grinder jamaica marley cooking shaker,good,bad,2,-2
398,vanilla chew pod bone pound toy mouth puppy play creamer rawh senseo around finally minute,bad,bad,-2,-2
401,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,bad,bad,-2,-2
406,smell bad know i'll people open seal since think pretty subscription crumb n't nearly reason,bad,bad,-2,-2
408,green protein powder meal vitamin mixed fiber soy pouch contains shake source daily nutrition prov,good,good,2,2
410,milk n't start diet stomach soy substitute shake sensitive nasty upset dissolve usually zero allergic,good,good,2,2
411,however regular serve per red spicy pepper single ounce heat option kick alternative fry alone,bad,bad,-2,-2
415,market difference pasta mean noodle stomach soda hold sour coat brown awful upset nicely folk,bad,good,-2,2
416,sweet right candy enjoy amount quick refresh cold sweetness mango plain summer think beverage ant,bad,bad,-2,-2
417,feed change diet vet formula wellness crazy eats switch pet whatever kibble science kitten fed,good,good,2,2
418,oat flower mango lipton pineapple iced tea water oatmeal set gift steel tray index slip,bad,bad,-2,-2
424,ingredient natural list special contains raw prov label berry china preservative contain site usa book,bad,good,-2,2
426,snack healthy tasty excellent fiber lunch healthier satisfy enjoy something dip crave yum without terrific,good,good,2,2
427,popcorn baby daughter formula pill he's training puppy pump gobble puff busy greenies kernel adult,bad,bad,-2,-2
428,walnut pregnant boil ill instant die put unpleasant air anything anyhow nip teeccino else probably,bad,bad,-2,-2
430,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,bad,bad,-2,-2
431,know smell bad i'll people open think seal since subscription nearly reason crumb update strange,bad,bad,-2,-2
432,oil salt chew energy gum bone body hair toy olive skin magnesium diamond blood sleep,bad,bad,-2,-2
434,free cooky butter peanut gluten cookie gum original sale reasonable vegan prime walmart fudge charge,bad,bad,-2,-2
435,regular definitely less serve buying red cheaper alternative ounce option however lack alone twice something,bad,good,-2,2
436,stuff far coconut friend health tell difference cannot please believe benefit pure realize horrible share,bad,good,-2,2
438,organic natural real expensive syrup high artificial sweetener pleased flour wheat leaf corn chemical preservative,bad,good,-2,2
439,say can't run least wait cocoa four iced dont believe personally alot watery know needle,bad,bad,-2,-2
440,bottle hair hazelnut cappuccino wine squeeze shampoo conditioner kit sparkle cost mio cola squirt san,bad,bad,-2,-2
443,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,bad,good,-2,2
444,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly palm breast might,good,good,2,2
445,vanilla french aroma medium k-cup hint matcha creamer bitterness roast burnt caribou wolfgang though puck,bad,bad,-2,-2
447,piece beef jerky everything season break pill training pocket jack two crush tender nose almost,bad,bad,-2,-2
449,many hot different others gift salad name filter kind suggest creamy dress choose perfect way,bad,good,-2,2
450,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,bad,good,-2,2
451,wonderful home next thank left issue back empty post fabulous goodness brought short eye thrill,bad,good,-2,2
452,bone teeth difficult okay combination msg pea spent rawh produce what's glutamate monosodium europe potential,bad,bad,-2,-2
454,per red spicy pepper heat option ounce kick alone brownie mill alternative jalapeno greasy single,bad,bad,-2,-2
456,easy fruit top family plus nut apple cake hit caramel mixed egg extra banana mess,good,good,2,2
457,end hair felt clear heard opening thick wash scent job shampoo major conditioner trust oily,good,bad,2,-2
458,oil energy gum bone hair toy olive skin magnesium diamond body boost blue supplement truffle,bad,bad,-2,-2
459,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,good,bad,2,-2
463,roast com www http href keurig k-cups bold pod k-cup decaf chai mountain grey brewer,bad,bad,-2,-2
466,hazelnut gloria ingredient manufacturing facility jean's test vanilla ensure blackberry processing jean please harmful assure,good,bad,2,-2
467,quality organic expensive real leaf pleased worth care high fact preservative matter premium loose likely,bad,good,-2,2
468,oil ever popcorn spice jar pop season cooking olive salad christmas everything search sprinkle top,good,good,2,2
469,packet hot ice cream machine leaf breakfast morning cold mild iced indiv pot cocoa pour,bad,bad,-2,-2
473,brew bitter bold starbucks decaf instant drinker weak via smooth mocha peppermint yet strong ground,bad,bad,-2,-2
474,big available packaging con value hair difficult search bottom clear ering damage bacon line none,bad,bad,-2,-2
476,enjoy right candy amount refresh summer quantity unique chunk ant outstanding lipton relatively pineapple antiox,bad,good,-2,2
478,stuff coconut case health tell difference believe cannot notice benefit please care fact pure horrible,bad,good,-2,2
479,vanilla chew pod pound bone toy puppy play creamer senseo rawh busy dle ear interest,bad,bad,-2,-2
486,thing quite expect probably i'd n't rather certainly either enough stir awful often though bother,bad,bad,-2,-2
488,sauce spicy noodle heat kick chili restaurant pepper lime wasabi asian hot soy taco indian,good,bad,2,-2
490,old easy save soup carry subscribe awesome daughter chili tomato son area version vegan prepare,bad,good,-2,2
493,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,bad,bad,-2,-2
494,put thought anything nothing else stick something course cover house boil burn air know sick,bad,bad,-2,-2
495,work hour energy husband minute effect boost pizza shot feel ent caffeine crust faster favor,bad,good,-2,2
497,star sometimes caffeine hop five child office gelatin terrific program calm golden heck joint carbonate,bad,bad,-2,-2
499,thing work seem n't quite expect probably i'd could recipe bread wish way bit enough,bad,good,-2,2
501,value money difficult quantity msg bulk bacon okay teeth what's con glutamate monosodium although big,bad,good,-2,2
503,thing seem quite expect probably i'd wish either n't though certainly stock pricey stir opinion,bad,good,-2,2
505,think cooky cookie raspberry thin brownie agree fudge oreo gooey crumbly shortbread ahoy ruin fig,bad,bad,-2,-2
506,last buying whole open receive worth case they're that's couple jar part longer con line,bad,bad,-2,-2
510,wonderful home next thank left issue back empty post goodness fabulous eye short spring throat,bad,good,-2,2
511,morning breakfast indiv convenient wrap portion control ual afternoon ually deep worry early since anytime,bad,bad,-2,-2
513,purchase happy see around away always can't able place ship date run never another throw,bad,good,-2,2
515,nice never hard back definitely kind please bring surprise overpower describe lighter memory chose rock,bad,good,-2,2
517,morning light breakfast packet mild indiv usually pour convenient easily wrap liqu way stevia every,bad,bad,-2,-2
519,top family nut extra plus apple mixed cake egg hit raspberry mess banana travel brownie,good,good,2,2
520,something put thought anything nothing else stick type probably boil opinion end pumpkin there's course,bad,good,-2,2
522,especially often set mind instant five decent total starbucks roll via flower bigger classic grape,bad,bad,-2,-2
523,high syrup artificial sweetener chemical sweeten maple extract agave blueberry fructose corn claim diabetic fake,good,bad,2,-2
528,favorite oil ever popcorn black far spice pop season cooking olive salad chai top garlic,good,bad,2,-2
529,sauce spicy noodle heat kick chili restaurant lime pepper wasabi asian hot soy taco ramen,good,bad,2,-2
530,regular serve per fan red spicy pepper single alternative option heat kick huge fry alone,good,good,2,2
533,natural list contains raw berry ingredient book usa herb gross report root aloe passion question,bad,good,-2,2
536,morning light breakfast packet usually mild indiv easily pour convenient wrap liqu way every stevia,bad,good,-2,2
537,organic real expensive syrup artificial sweetener leaf flour pleased wheat fact label preservative agave fructose,bad,bad,-2,-2
538,end hair clear felt heard opening thick wash scent job shampoo major conditioner manufacturer trust,bad,good,-2,2
540,cut actually wheat texture miss oat biscuit seriously unlike quaker winner country absolute whole oatmeal,good,good,2,2
542,vanilla deal smooth brew several machine french maker shop sample pot espresso house two drinker,good,good,2,2
543,fresh packaging honey cracker fit condition lover convenience mini grind graham incredible due stack stay,bad,good,-2,2
544,morning usually light breakfast packet mild easily indiv pour convenient liqu wrap lover warm stevia,bad,good,-2,2
545,bought free cooky butter peanut gluten cookie original sale shipping super mom addict reasonable prime,good,good,2,2
546,purchase happy ship offer website wonder impressed chance directly mother elsewhere enjoys promptly refund express,bad,bad,-2,-2
548,kit g<br wine sat heart mg<br chip fat drinkable saturday sit total sodium joke call,bad,bad,-2,-2
554,happy around ship impressed packed condition mother play ask exactly directly saw finally gold send,bad,good,-2,2
563,pack variety roast com dark www http href pod smooth ground medium french mountain pie,bad,bad,-2,-2
564,fruit top plus nut fan cake mixed hit banana dessert microwave big flavour car etc,bad,bad,-2,-2
566,item deal glad become shop anymore near disappoint costco buck third donut supply sampler kill,bad,good,-2,2
568,sauce spicy noodle kick heat lime restaurant hot pepper chili asian ramen jasmine wasabi bbq,good,bad,2,-2
569,roast com blend www http chip href brew keurig k-cups bold pod french starbucks k-cup,bad,bad,-2,-2
573,new variety however part point state within complaint easier pumpkin avo perhaps animal create front,bad,bad,-2,-2
574,seem prefer may soft version everyone super opinion chewy matter slightly short tart forward mango,bad,bad,-2,-2
577,feel health normal notice lower particular trouble crisp heart gummy adult fact less birthday help,bad,bad,-2,-2
579,purchase happy around away arrive company place ship date throw already sent exactly see ask,bad,bad,-2,-2
581,size baby quickly daughter thanks night start child formula since move pump month bed lab,good,good,2,2
584,long dark roast away full rich miss flavorful person extremely french double steep ground magic,bad,bad,-2,-2
587,cereal sell truly stale vendor appreciate unfortunately understand allow fell never think threw longer regular,bad,good,-2,2
589,especially mind often set instant starbucks total decent five roll via flower classic grape rating,bad,good,-2,2
591,popcorn baby daughter pill subscribe formula pump hungry cost kernel he's movie spit popped gerber,bad,bad,-2,-2
592,sweet delicious bar milk cereal texture nut fruit definitely perfect yummy almond cinnamon fill oatmeal,good,bad,2,-2
594,strong prefer bold orange ginger medium people weak shake cherry stronger subtle intense bitterness slight,bad,good,-2,2
597,seem prefer soft version everyone super may opinion chewy matter short tart slightly forward mango,bad,bad,-2,-2
598,strong prefer bold orange ginger medium shake weak cherry stronger subtle people intense bitterness slight,bad,bad,-2,-2
599,year work two every size old last month start long week baby several small three,bad,good,-2,2
601,feel health notice normal benefit lower person particular trouble heart gummy consume birthday crisp tasteless,good,good,2,2
602,dark roast full rich extremely flavorful double away consistently odd selection count drank drinker something,bad,good,-2,2
607,free cooky butter peanut gluten cookie sale we've reasonable walmart newman's allergy jam blow raisin,good,bad,2,-2
608,hot milk diet stomach cold soy shake substitute sensitive nasty start dissolve upset warm n't,good,bad,2,-2
610,bit hot buying sauce serve per save cost cheaper red spicy pepper pay ounce subscribe,bad,good,-2,2
613,fresh packaging honey cracker condition fit convenience lover mini graham incredible grind due stack cap,bad,bad,-2,-2
615,sell cereal chewy pancake hop truly unfortunately vendor surprised raisin gooey muffin bran grain dough,bad,bad,-2,-2
623,container easily place soft melt hold together mess chewy shape stuck work open cool room,bad,good,-2,2
624,cooky cookie mouth raspberry thin brownie fudge xylitol bite oreo creme think pan gooey soft,bad,bad,-2,-2
625,year old save soup awesome subscribe ago carry area chili discover tomato stock bpa since,bad,good,-2,2
626,mind starbucks total especially instant roll often via decent flower set classic grape illy mocha,bad,bad,-2,-2
628,nice hard kind never back please bring overpower surprise mountain describe puff lighter pa stand,bad,bad,-2,-2
