,task,true,model,model_extracted,true_num,classification_metric
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
21,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
22,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
23,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
24,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
25,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
26,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
27,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
28,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
29,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
30,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
31,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
32,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
33,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
38,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
39,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
40,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
41,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
42,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
43,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
44,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
45,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
46,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
47,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
48,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
49,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,bad,YES TEXT: always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tang,2,-2,1
50,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
51,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
52,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,bad,YES TEXT: always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new,2,-2,1
53,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,bad,YES TEXT: always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy,2,-2,1
54,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,bad,YES TEXT: always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new,2,-2,1
55,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,bad,YES TEXT: always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy,2,-2,1
56,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,bad,YES TEXT: always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy,2,-2,1
57,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,bad,YES TEXT: always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy,2,-2,1
58,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,bad,YES TEXT: always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy,2,-2,1
59,always last buying whole open worth case they're that's hand couple jar part mine pouch,bad,YES TEXT: The first time I saw him was in the spring of 1880. He,2,-2,1
60,always last sure case they're open couple jar week two whole part mine someone seed,bad,YES TEXT: the first time i saw you i knew i was going to marry you ANS,2,-2,1
61,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
62,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
63,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
64,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
65,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,bad,YES TEXT: always several usually powder chai replacement gold scoop living since authentic orgain prefers butterm,2,-2,1
66,always sure case last they're couple jar open week two mine part someone seed pouch,bad,YES TEXT: the the the the the the the the the the the the the the the the,2,-2,1
67,always sure case last they're couple week jar open two part mine someone seed pouch,bad,YES TEXT: the first time i saw you i knew i was going to marry you ANS,2,-2,1
68,always sure last case they're couple week open jar two part mine someone seed pouch,bad,YES TEXT: always sure last case they're couple week open jar two part mine someone seed pouch,2,-2,1
69,always sure last case they're two week couple jar part mine maybe someone open seed,bad,"YES TEXT: the first one is a bit more difficult to understand, but it's still possible",2,-2,1
70,always sure last open whole case they're week maybe couple jar that's part mine someone,bad,YES TEXT: the best way to get a good job is to have a good education. the,2,-2,1
71,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
72,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
73,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
74,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
75,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
76,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
77,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
78,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
79,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
80,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
81,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
82,anonymous internet news usenet service privacy email electronic congress network user public bill site address,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
83,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
84,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
85,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
86,anonymous news service usenet privacy network electronic internet email site public user server congress archive,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
87,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
88,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
89,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
90,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
91,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
92,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,bad,YES TEXT: anything juice guess wrong throw immediately think actualn't concentrate squeeze picture might could strip,2,-2,1
93,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
94,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
95,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
96,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,bad,YES TEXT: anything juice wrong guess throw immediately thinkn't concentrate squeeze actual could might photo strip,2,-2,1
97,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,bad,YES TEXT: anything juice wrong guess throw immediately thinkn't concentrate squeeze actual might could picture strip,2,-2,1
98,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
99,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,good,YES TEXT: apartment home left woman door father azerbaijani room building neighbor sumgait,2,2,1
100,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
101,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
102,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
103,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
104,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
105,appear cover black light miss level theory hole story excellent trade henry toronto given physical,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
106,appear henry black toronto trade cover hole digex access captain light star company alaska level,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
107,appear henry toronto black trade cover hole digex access light captain star level company alaska,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
108,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
109,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
110,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
111,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
112,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
113,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
114,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
115,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
116,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
117,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
118,application window resource word science allow ever human child money health center return motif already,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
119,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
120,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
121,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,bad,YES TEXT: appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal ,2,-2,1
122,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
123,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,bad,YES TEXT: appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently ,2,-2,1
124,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
125,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,bad,YES TEXT: appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge ,2,-2,1
126,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,bad,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,-2,1
127,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
128,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
129,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
130,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
131,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
132,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
133,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
134,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
135,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,bad,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,-2,1
136,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,good,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,2,1
137,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
138,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
139,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
140,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
141,april nasa star canada bike score always goal maynard area player hockey wings center white,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
142,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
143,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
144,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
145,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
146,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
147,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
148,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
149,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
150,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
151,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot,bad,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,-2,1
152,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
153,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
154,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
155,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
156,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
157,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
158,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
159,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
160,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
161,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
162,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
163,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
164,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
165,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,good,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,2,1
166,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,bad,"YES [INST]You are the assistant for text classification. You will receive a TEXT, and",2,-2,1
167,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
168,arrive second gum hope date online however original past finish last today stale broken shipment,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
169,arrive second gum hope date online however original past last finish today stale broken shipment,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
170,arrive second gum hope date online original past stale shipment today finish however dec expiration,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
171,arrive second gum hope online date original past already soon finish today broken stale plan,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
172,atheism atheist religion religious belief faith command monitor following check email switch send boot message,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
173,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
174,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
175,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
176,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
177,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
