,task,true,model,model_extracted,classification_metric
46,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,0,"  Sure, I'd be happy to help! Here's the classification for the given list of words:  Class: rather yes</s>",1,0.75
47,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
48,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
49,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
50,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
51,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
52,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
53,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
54,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
55,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
56,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
57,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
58,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
59,always last buying whole open worth case they're that's hand couple jar part mine pouch,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
60,always last sure case they're open couple jar week two whole part mine someone seed,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
61,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
62,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
63,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
64,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
65,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
66,always sure case last they're couple jar open week two mine part someone seed pouch,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
67,always sure case last they're couple week jar open two part mine someone seed pouch,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
68,always sure last case they're couple week open jar two part mine someone seed pouch,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
69,always sure last case they're two week couple jar part mine maybe someone open seed,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
70,always sure last open whole case they're week maybe couple jar that's part mine someone,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
71,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
72,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
73,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
74,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
75,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,-2,  No.</s>,-2,0.0
76,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
77,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
78,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
79,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
80,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
81,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
82,anonymous internet news usenet service privacy email electronic congress network user public bill site address,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
83,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,-2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
84,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,-2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
85,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
86,anonymous news service usenet privacy network electronic internet email site public user server congress archive,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
87,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
88,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
89,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
90,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
91,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
92,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
93,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
94,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
95,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
96,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
97,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
98,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,0,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
99,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,1,"  Sure, I'd be happy to help!  Classification: rather yes</s>",1,0.75
100,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
101,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
102,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
103,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
104,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
105,appear cover black light miss level theory hole story excellent trade henry toronto given physical,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
106,appear henry black toronto trade cover hole digex access captain light star company alaska level,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
107,appear henry toronto black trade cover hole digex access light captain star level company alaska,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
108,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
109,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
110,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
111,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
112,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
113,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
114,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
115,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
116,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
117,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
118,application window resource word science allow ever human child money health center return motif already,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
119,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
120,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
121,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
122,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
123,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
124,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
125,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
126,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
127,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
128,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
129,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
130,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
131,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
132,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,-1,  No.</s>,-2,0.0
133,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
134,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
135,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
136,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
137,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
138,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
139,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
140,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
141,april nasa star canada bike score always goal maynard area player hockey wings center white,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
142,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,2,"  Sure, I can help you with that!  Class: rather no</s>",-1,0.25
143,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
144,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,1,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
145,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
146,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
147,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
148,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
149,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,-2,"  Sure, I'd be happy to help! Here's the classification for the given list of words:  Class: rather no</s>",-1,0.25
150,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
151,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
152,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
153,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
154,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
155,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
156,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,0,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
157,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
158,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
159,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
160,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
161,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
162,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,0,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
163,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
164,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
165,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
166,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
167,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
168,arrive second gum hope date online however original past finish last today stale broken shipment,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
169,arrive second gum hope date online however original past last finish today stale broken shipment,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
170,arrive second gum hope date online original past stale shipment today finish however dec expiration,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
171,arrive second gum hope online date original past already soon finish today broken stale plan,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
172,atheism atheist religion religious belief faith command monitor following check email switch send boot message,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
173,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
174,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
175,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
176,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
177,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
178,atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
179,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
180,atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
181,atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
182,attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
183,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,2,  No.</s>,-2,0.0
