,text,true,model,model_extracted
82,anonymous internet news usenet service privacy email electronic congress network user public bill site address,0,1,1
83,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,-2,1,1
84,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,-2,1,1
85,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,1,1,1
86,anonymous news service usenet privacy network electronic internet email site public user server congress archive,-2,1,1
87,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,2,1,1
88,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,-2,1,1
89,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,2,1,1
98,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,0,1,1
99,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,1,1,1
100,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,-1,-1,-1
101,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,0,1,1
102,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,-2,1,1
103,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,-2,1,1
104,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,-2,1,1
105,appear cover black light miss level theory hole story excellent trade henry toronto given physical,-2,1,1
106,appear henry black toronto trade cover hole digex access captain light star company alaska level,-2,1,1
107,appear henry toronto black trade cover hole digex access light captain star level company alaska,-2,1,1
108,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,-1,1,1
109,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,-2,1,1
110,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,0,1,1
111,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,-1,1,1
112,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,1,1,1
113,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,0,1,1
114,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,2,1,1
115,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,0,1,1
116,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,-1,1,1
117,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,-2,-1,-1
118,application window resource word science allow ever human child money health center return motif already,-2,1,1
119,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,-1,1,1
120,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,-2,1,1
121,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,-2,1,1
122,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,-2,1,1
123,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,-2,1,1
124,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,-2,1,1
125,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,-1,1,1
126,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,-2,1,1
127,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,-2,1,1
128,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,-1,1,1
129,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,0,1,1
130,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,2,1,1
131,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,-2,1,1
132,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,-1,-2,-2
133,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,-2,1,1
134,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,2,1,1
135,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,0,1,1
136,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,2,1,1
137,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,-2,1,1
138,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,-2,1,1
139,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,-2,1,1
140,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,-2,1,1
141,april nasa star canada bike score always goal maynard area player hockey wings center white,-2,1,1
142,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,2,-1,-1
143,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,-2,1,1
144,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,1,1,1
145,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,-2,-1,-1
146,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,-2,-1,-1
147,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,-2,-1,-1
148,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur,-2,-1,-1
149,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,-2,-1,-1
150,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,-1,-1,-1
151,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot,-1,1,1
152,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,-2,1,1
153,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter,-2,1,1
154,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,2,1,1
155,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,-2,1,1
156,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,0,1,1
157,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,-2,1,1
158,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,-1,1,1
159,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,0,1,1
160,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether,-1,1,1
161,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,-2,1,1
162,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,0,1,1
163,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,2,1,1
164,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,-1,1,1
165,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,2,1,1
166,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,-1,1,1
167,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,0,1,1
172,atheism atheist religion religious belief faith command monitor following check email switch send boot message,-2,1,1
173,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,-1,-1,-1
174,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,1,-1,-1
175,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,2,1,1
176,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,2,1,1
177,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,2,1,1
178,atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,2,1,1
179,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,2,1,1
180,atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,2,1,1
181,atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,2,1,1
182,attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,2,1,1
183,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,2,-2,-2
184,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,0,-1,-1
185,attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope,-1,-1,-1
186,attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight,-2,1,1
187,attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe,-2,1,1
188,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,-2,1,1
189,attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu,-2,1,1
190,attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla,-2,1,1
191,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,2,1,1
192,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,2,-1,-1
193,attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,-1,-1,-1
194,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white,-1,-1,-1
218,banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager,-2,-1,-1
239,baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,2,1,1
240,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,2,1,1
241,baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,2,1,1
242,battery looking email sell graphics food apple advance dyer nasa fine friend image running found,-1,1,1
243,battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa,-1,-1,-1
248,begin father massacre sport jayne joel newspaper hole soldier russian yassin oracle french spirit fill,-2,1,1
249,belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing,2,1,1
250,belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,2,1,1
251,belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,1,1,1
252,berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer,0,1,1
253,berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,2,1,1
254,berkeley court hate francisco anti charge jacket dangerous property leather museum legal california judge arens,0,1,1
255,berkeley court love hate francisco anti jacket property leather charge money museum dangerous loud safe,-2,1,1
256,berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe,-2,1,1
257,bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,2,1,1
258,bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,2,1,1
259,bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach,2,1,1
260,bible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith,2,1,1
261,bible christ matthew lord faith heaven scripture teach father word mary save spirit love shall,2,1,1
262,bible christ matthew lord father faith word holy spirit scripture heaven teach doctrine passage church,2,1,1
263,bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary,2,1,1
264,bible christ matthew lord heaven scripture faith teach word father mary save spirit passage verse,2,1,1
265,bible christ matthew lord heaven scripture faith word father teach mary passage spirit save verse,2,1,1
266,bible christ matthew word authority scripture human means passage truth always belief saying heaven coming,2,1,1
267,bible christ matthew word authority scripture human means passage truth always saying belief coming mark,2,1,1
268,bible church christ faith matthew catholic scripture father lord word heaven holy spirit truth belief,2,1,1
269,bible church christ faith matthew father scripture lord word catholic truth heaven holy belief spirit,2,1,1
270,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,2,1,1
271,bible church christ faith matthew word father scripture truth belief lord heaven holy spirit authority,2,1,1
272,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,2,1,1
273,bible church christ truth faith lord catholic scripture father christianity belief heaven hell holy interpretation,2,1,1
274,bible church christ truth faith love word lord paul catholic belief quote scripture father matthew,2,1,1
275,bible church christ truth faith love word lord paul catholic scripture father matthew quote belief,2,1,1
276,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim,2,1,1
277,bible religion turkish church belief truth argument faith christ atheist greek muslim human ence word,2,1,1
278,bible religion turkish church belief truth argument faith christ atheist muslim ence greek human word,2,1,1
279,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,2,1,1
280,bible religion turkish church belief truth argument faith christ atheist muslim greek human ence word,2,1,1
281,bible religion turkish church belief truth argument faith christ ence muslim greek human atheist word,2,1,1
282,bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist,2,1,1
283,bible religion turkish church belief truth argument faith christ ence muslim greek word human moral,2,1,1
284,bible religion turkish church belief truth argument faith christ ence word muslim greek human moral,2,1,1
285,bible religion turkish church belief truth argument faith christ word ence muslim greek human moral,2,1,1
286,bible religion turkish church belief truth faith argument christ atheist greek muslim word human ence,2,1,1
287,bible religion turkish church belief truth faith argument christ atheist word greek muslim human moral,2,1,1
288,bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human,2,1,1
292,bike engine front mile speed tire road turn light motorcycle wheel driving model ford left,2,1,1
293,bike engine front mile speed tire road turn light motorcycle wheel driving model left ford,2,1,1
294,bike engine front mile speed tire road turn motorcycle light wheel driving model ford left,2,1,1
295,bike engine front mile tire motorcycle wheel driving ford rear honda vehicle brake traffic speed,2,1,1
296,bike engine front mile tire road speed motorcycle wheel turn driving light model rear cross,2,1,1
297,bike engine front tire mile wheel road friend motorcycle modem cross model speed vehicle driving,2,1,1
298,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar,2,1,1
299,bike engine mile tire wheel motorcycle front ford rear honda driving vehicle brake traffic radar,2,1,1
300,bike engine mile tire wheel motorcycle front ford rear honda vehicle driving brake traffic radar,2,1,1
301,bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape,2,-1,-1
302,bike mile front speed tire turn road wheel rear brake motorcycle driving vehicle fast left,2,1,1
303,bike mile front tire road speed turn wheel rear brake motorcycle driving vehicle left fast,2,1,1
304,bike mile road front speed tire turn engine motorcycle driving wheel light ford rear honda,2,1,1
305,bike mile speed front road tire turn motorcycle engine wheel driving light rear honda ford,2,1,1
306,bike mile speed front turn tire road motorcycle wheel driving rear brake honda left fast,2,1,1
307,bike speed apple turn disk fast mile tire simms mouse driver cable wheel engine memory,-1,1,1
308,bike speed apple turn mile tire fast simms front wheel engine cable rear motorcycle driver,2,1,1
309,bike speed mile front tire turn wheel road rear brake motorcycle fast left driving vehicle,2,1,1
310,bike speed mile front turn tire road motorcycle engine wheel driving rear honda fast left,2,1,1
311,bike speed mile turn front tire road engine motorcycle wheel driving fast rear honda left,2,1,1
312,bike speed mile turn front tire road engine motorcycle wheel fast driving rear honda simms,2,1,1
313,bike speed mile turn front tire road motorcycle wheel driving rear brake fast honda left,2,1,1
314,bike speed turn apple mile tire fast brake wheel mouse driver rear disk engine cable,2,1,1
315,bike speed turn apple mile tire simms fast wheel mouse brake rear driver front engine,-2,1,1
316,bike speed turn mile apple tire front simms fast wheel engine motorcycle road rear left,1,1,1
317,bike speed turn mile apple tire simms fast front wheel rear brake engine motorcycle left,2,1,1
318,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left,1,1,1
319,bike speed turn mile tire front simms wheel motorcycle road fast rear brake left honda,2,1,1
320,bike turn engine front mile road tire driving cross unit stick lock wheel owner foot,2,1,1
321,bill clinton fire batf scott stratus compound koresh child waco tear agent distribution cult watch,-2,1,1
322,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant,-2,-1,-1
323,bill clinton fire batf stratus scott compound waco distribution modem company child today agent warrant,-1,-1,-1
324,bill clinton fire koresh batf scott child compound stratus waco tear cult distribution agent watch,-1,1,1
325,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,-1,-1,-1
326,bill clinton modem stratus batf fire waco scott compound company distribution country washington packet handheld,-1,1,1
327,bill distribution port modem serial stratus connect special packet several william rocket keywords interrupt baud,-1,1,1
328,bill distribution port modem serial stratus connect special several packet keywords william rocket interrupt baud,1,1,1
329,bill fire koresh clinton scott child batf compound stratus waco cult tear agent burn today,-2,1,1
330,bill modem scott folks stratus batf distribution fire company compound special speak packet warrant today,-1,1,1
331,bill modem scott stratus batf distribution folks company fire serial compound special waco port speak,-1,1,1
332,bill modem stratus company batf scott serial distribution port fire packet waco folks compound special,-2,1,1
333,bill modem stratus scott batf company distribution serial folks fire port waco special compound packet,0,1,1
357,black white pick straight homosexual male rose sexual harris weaver johnson cooper partner hulman gold,-2,-1,-1
358,black white pick straight male rose homosexual harris nothing sexual johnson showing partner handling hulman,-1,-1,-1
359,black white pick straight male rose homosexual sexual johnson harris nothing partner handling hulman showing,-2,-1,-1
364,body dead town duke kill child mountain shot azeri azerbaijan soviet massacre road force azerbaijani,2,1,1
365,body town dead duke kill mountain azeri azerbaijan soviet massacre child shot road azerbaijani force,-2,1,1
492,canada ryan wave stephen indiana funny ontario blue ottawa danny smoke story sticker afford jonathan,-2,1,1
493,cancer word health center application higgins research increase fnal science resource national internet field randy,-2,1,1
494,cand doctor suck treatment anti infection vitamin body cause quack medical pilot yeast bias antibiotic,2,1,1
495,cand doctor treatment anti suck cause yeast disease infection body medical vitamin blood quack physician,2,1,1
496,cand doctor treatment suck anti infection body cause yeast vitamin medical quack disease blood pilot,2,1,1
497,cand palestinian israel suck nasa cause west israeli infection astronaut stup anti bank bias degree,0,-1,-1
498,cand suck infection anti palestinian cause vitamin west doctor body astronaut bias treatment pilot bank,-2,-1,-1
502,card driver memory simms cards crash gateway battery backup diamond tower accelerator tape boot color,-1,1,1
503,card driver memory simms cards crash gateway battery backup diamond tower tape accelerator boot color,2,1,1
504,card driver sound copy light mark machine left running free disk following memory water else,-2,1,1
505,card driver sound light copy running machine crash mark gateway anybody left hardware speaker backup,2,1,1
506,card driver sound light running gateway machine crash copy mark anybody diamond latest hardware memory,-2,1,1
507,card driver sound machine light running copy gateway mark crash memory left anybody hardware option,-2,1,1
508,care health country market america company money gary perry columbia drug liberal somalia germany german,-1,1,1
509,care mark couple marriage poor married insurance abortion coverage rent live speech child free money,0,-1,-1
510,care mark marriage poor child couple live deserve free together services deliver choose parent health,-1,1,1
511,care marriage couple poor child mark health package live public together commitment congress free immunization,-2,1,1
512,care marriage couple public insurance child kind poor live health congress whether ever mark free,0,1,1
513,care marriage couple public kind congress live mark poor ever together whether output technology package,-2,1,1
514,care marriage insurance couple child mark poor money coverage live abortion public free rent parent,0,1,1
515,care marriage insurance couple child poor mark public abortion money coverage live free health rent,1,1,1
516,care marriage insurance couple child poor public health mark abortion money coverage free live congress,-2,1,1
517,care marriage insurance couple mark poor child money coverage abortion live rent public free married,1,1,1
518,care marriage insurance couple poor mark child money abortion coverage public live rent free health,2,1,1
519,care marriage insurance health public couple child poor congress kind free package whether live commitment,0,1,1
520,care marriage mark couple poor insurance child live abortion coverage married money rent free speech,1,-1,-1
534,cause father message view user whole bill white head check code appear begin attack within,-2,1,1
535,cause food medical disease health patient doctor report cand cancer treatment steve body blood infection,2,1,1
536,cause launch cand report military face charge anti fire knife woman infection weapon police health,-1,-1,-1
537,cause medical health report disease food cand face infection doctor charge steve military body knife,1,-2,-2
538,cause report cand health medical face military charge disease food infection knife dangerous anti among,0,1,1
539,cause report health food study disease medical doctor steve increase patient center among body treatment,2,1,1
540,center nasa research image internet graphics cancer virginia health medical contact april email mike archive,-1,1,1
541,center research internet virginia office conference phone computing national department north film address campus australia,-2,1,1
542,center research internet virginia office phone nasa north email computing film contact national maine harvard,-2,1,1
543,center research internet virginia phone office nasa email north computing film contact national maine harvard,1,1,1
544,center research nasa medical april health cancer internet virginia report national volume page newsletter contact,2,1,1
545,center research nasa medical april health report cancer national virginia page volume internet newsletter office,0,1,1
546,center research virginia internet nasa office phone north film email computing contact maine national tiff,-2,1,1
547,center research virginia nasa internet tiff film contact image maine graphics mike news north conference,-2,1,1
548,center research virginia nasa internet tiff film contact maine mike image graphics news north conference,-2,1,1
549,center virginia research internet nasa film office maine national north contact conference phone computing campus,-1,1,1
550,center virginia research nasa internet film maine contact national office conference north news phone report,1,1,1
551,center virginia research nasa internet film maine contact office national conference north news report phone,-2,1,1
564,character font printer print vice page cell code bill beauchaine bobbe thought deskjet beep blow,2,1,1
604,child body woman dead town army massacre azerbaijan azeri kill attack three destroy terrorist soviet,2,-2,-2
605,child drug care country society party insurance freedom medium germany difference political german social suggest,2,1,1
606,child kill food woman cause fire disease left doctor live body health patient home friend,-2,1,1
607,child koresh rutgers rock kaldis michael doctor georgia injury trial radio germany witness society easter,-2,1,1
608,child michael koresh rutgers phil radio rock witness trial kaldis judge georgia ence ians covington,-2,1,1
609,child michael koresh rutgers phil radio witness rock trial judge ence kaldis georgia ians kill,-2,-1,-1
610,child remember duke chip maybe risc email away center sell turn monitor color argument nasa,-2,1,1
611,child report picture kaldis ence word news nothing whether send rutgers phone homosexual home today,-2,1,1
612,child rutgers kaldis koresh doctor rock easter germany injury society michael trial radio ence report,-2,1,1
613,child rutgers kaldis report easter homosexual rock ence society germany picture word doctor injury koresh,-2,-1,-1
614,child turkish woman turkey armenia turk greek military russian army weapon live village today plane,-2,1,1
615,child woman body dead massacre army village muslim russian azerbaijan attack turkish town minority report,-1,-1,-1
622,chip encryption clipper escrow security secure agency technology enforcement privacy encrypt algorithm protect crypto secret,2,1,1
623,chip encryption clipper phone escrow security secure technology agency privacy protect enforcement algorithm encrypt crypto,2,1,1
624,chip encryption clipper security escrow privacy encrypt technology agency enforcement message phone algorithm protect secret,2,1,1
625,chip encryption clipper security privacy escrow technology encrypt agency phone enforcement message algorithm protect secure,2,1,1
626,chip encryption clipper security privacy phone escrow technology agency secure encrypt algorithm message enforcement protect,2,1,1
627,chip encryption phone public security clipper access message algorithm technology privacy product protect agency secure,2,1,1
647,church bible christ catholic faith matthew lord scripture father word spirit paul holy passage interpretation,2,1,1
648,church bible christ catholic matthew faith lord scripture father word spirit holy paul passage interpretation,2,1,1
649,church bible christ faith catholic matthew lord scripture father word spirit holy heaven interpretation teach,2,1,1
650,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation heaven,2,1,1
651,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation passage,2,1,1
652,church catholic authority pope bible public country belief live strong child religion love regard always,2,1,1
653,church catholic authority pope matter member bishop faith involve schism command teaching situation public bible,2,1,1
654,church catholic authority pope matter member bishop tradition teaching priest involve doctrine schism command faith,2,1,1
655,church catholic pope authority tradition doctrine priest orthodox teaching bishop divine nature matter revelation schism,2,1,1
656,church catholic pope authority tradition doctrine priest orthodox teaching bishop nature divine matter revelation schism,2,1,1
657,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,2,1,1
658,church truth absolute doug symbol borland bible scripture libxmu paradox catholic matter darren error certain,2,1,1
659,church truth absolute doug symbol borland libxmu scripture bible paradox matter reading interpretation exercise error,1,1,1
660,church truth catholic absolute pope bible matter scripture symbol revelation borland interpretation faith libxmu certain,2,1,1
661,city judas young hanging acts present sdsu move election money bill thousand office tree decenso,-2,-1,-1
662,city judas young hanging present sdsu election acts move bill thousand office money babb among,-1,1,1
663,city matthew young hang word judas greek hanging fall tree acts hearing sdsu present thus,-2,1,1
664,city word matthew young hang judas greek hanging tree acts hearing fall sdsu specifically present,-2,1,1
665,city word matthew young hang judas greek hanging tree hearing acts fall sdsu specifically present,-1,1,1
666,city young judas hanging acts present money sdsu tree bill thousand move election fall create,1,1,1
667,city young judas hanging acts present sdsu money tree thousand move election fall bill decenso,-2,-1,-1
668,clinton class charles movie stup regard within plan frame bill sean supposedly success raise bush,-2,1,1
669,clinton class movie bill charles frame within plan sean regard bush quicktime animation administration stup,-1,1,1
670,clinton class movie charles frame bill within plan sean regard bush quicktime animation administration mike,-2,1,1
671,clinton mike batf class bill within proper waco administration bush plan equipment unknown protect charles,-1,1,1
672,clinton mike batf class within bill proper administration equipment bush plan waco country working unknown,-2,-2,-2
673,clinton mike public bill fast package administration working drug batf general trade protect hunting firearm,-1,1,1
674,clinton mike within bill batf class administration equipment proper working country unknown bush plan fear,-1,1,1
675,clinton movie bill class within frame plan charles sean animation regard mike administration bush full,-2,1,1
676,clinton movie class bill frame plan within animation sean administration charles mike bush quicktime regard,-2,1,1
677,clipper access division industry build married care email hockey error library company price phone routine,-2,1,1
678,clipper access encryption chip player email hockey build price industry technology error phone care division,-2,1,1
679,clipper married access industry care division marriage email routine library technology encryption chip become phone,-1,1,1
684,code function message reference algorithm text method random cipher null crypt attack ripem cryptography length,2,1,1
685,code function muslim text subject null islam error output application research reference open date unix,-2,1,1
686,code function reference text message algorithm method character random cipher null crypt ripem cryptography length,2,1,1
687,code function subject muslim application null text research output jewish error build open islam reference,-2,1,1
688,code function text cipher null reference crypt random char error cryptography algorithm define message following,2,1,1
689,code function text null cipher reference crypt char error muslim random cryptography define character gregg,-2,1,1
690,code object event method register routine generate algorithm simple easy public expose function polygon allow,-1,1,1
691,code user event public register algorithm generate send window expose object patent drawing implementation export,-2,1,1
692,code user event public register algorithm generate window expose send export patent object graphics implementation,2,1,1
693,code user public event register algorithm generate send object expose patent drawing implementation domain contain,0,1,1
694,colorado music letter flame argument conclusion fallacy motorcycle bruce therefore japanese letters club denizen japan,-1,1,1
695,command dealer deal price saturn newsreader ford loss sales small cycle arizona deep ering customer,-2,1,1
