,text,topic,true_topic,cos_sim,cos_sim_class
188,salt bean dish sea kitchen gourmet pork ground rind basic grinder jamaica marley cooking shaker,['cooking'],"['cooking', 'food']",0.8976047933101654,VH
189,pod pound caramel machine maker pet filter safe begin senseo drip target perfectly two pig,"['coffee', 'coffee']",['coffee maker'],0.9094659090042114,VH
191,free gluten salmon balance wet turkey diet natural kitten ocean fussy since limit dry grain,['diet'],['nutrition'],0.8508486747741699,VH
192,calorie protein low amount fat i'd sodium gram weight carbs carb daily msg diabetic lose,['healthy eating'],"['healthy', 'diet and healthy food', 'weight loss']",0.6961873471736908,H
193,market tell turn difference cook pasta brown stomach soda hold mean suppose sour coat nicely,['food'],['health'],0.5130406618118286,M
197,syrup high sometimes artificial sweetener chemical sweeten splenda stevia maple corn agave extract claim fructose,"['sweeteners', 'sweeteners']","['food', 'syrup', 'sugar']",0.6754047473271688,H
198,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,"['weight loss', 'weight loss']","['diet', 'nutritional content', 'healthy food']",0.48209957281748456,M
202,definitely regular red serve less cheaper alternative option buying ounce alone however lack twice light,['value'],['buy'],0.7939426898956299,H
203,diet feed change pet vet switch formula wellness grain research kibble allergy eats science week,['pet care'],"['diet', 'health']",0.48303836584091187,M
207,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,"['shopping', 'shopping']","['shopping', 'shopping']",0.9999995231628418,VH
212,brew bitter yet bold starbucks instant drinker ground weak brewing via grind mocha bitterness peppermint,"['coffee', 'coffee']","['starbucks', 'bitterness']",0.6357089281082153,H
213,work hour energy husband minute feel shot boost pizza effect actually ent caffeine crust sleep,['energy'],"['energy', 'work']",0.8895143270492554,VH
216,sweet bar crunchy granola crunch yogurt combination raisin flake overly almond cranberry nutritious sugary tooth,['granola'],"['healthy dessert', 'appetizer', 'dessert']",0.6106139620145162,H
218,sauce spicy noodle heat kick chili restaurant lime pepper wasabi asian hot soy taco ramen,"['heat', 'spicy']","['food', 'asain food']",0.5558517277240753,M
220,free gluten salmon wet bpa turkey balance higher sol fussy cancer allergy tomato ocean diet,['health'],['gluten allergy'],0.39330965280532837,M
221,chip star potato salty corn veggie reason vinegar kettle rating think still whole addictive garden,['snacks'],"['ingredient', 'food']",0.6644141674041748,H
222,bottle glass lemon delivery mint sale peach broken forward usually plastic offer prov half mio,['drinks'],['drink'],0.9221478700637817,VH
224,company available awesome sent care licorice search email send affordable business since premium back coupon,"['marketing', 'marketing']","['delivery feedback', 'company']",0.7464013695716858,H
226,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward drinking count tip,['drinks'],"['trade', 'partycruisedrinkingdrinks', 'juice', 'soda']",0.6995907574892044,H
228,chew minute three gum mouth special cinnamon four third bubble xylitol swallow adore jump crumble,['gum'],['mouth'],0.7289670705795288,H
236,rice meal ginger content picky contain dinner label sprinkle eater bowl fairly cooked thai brown,['thai food'],"['rice meal', 'rice']",0.5868914425373077,M
237,oil popcorn spice pop olive christmas worst italian garlic microwave regularly kernel smoke sister cooking,['cooking'],['cooking'],1.0000001192092896,VH
243,strong prefer people bold orange ginger medium weak cherry shake twice stronger subtle bitterness still,['flavor'],"['people', 'taste']",0.7718677520751953,H
244,protein coconut fiber gram carbs splenda fat msg bpa yeast g<br pineapple glutamate monosodium cholesterol,['nutrition'],['protein source'],0.7285957336425781,H
246,strong highly flavorful twice cherry stronger slight wake san chamomile clam pricing weaker shake bay,['coffee'],['shake'],0.6103614568710327,H
247,free cooky butter peanut gluten cookie gum original sale melt vegan reasonable bake prime walmart,['cookies'],"['candy and food choice', 'food']",0.5853507220745087,M
252,every two month week family friend gift ago life already lose grow plant none ready,['growth'],['growth'],1.000000238418579,VH
254,hair thick clear heard wash head scent shampoo conditioner oily scalp apply shiny manufacturer shower,['haircare'],"['hair', 'shampoo and conditioner instruction', 'hair product']",0.8249633312225342,VH
267,butter peanut apple orange jelly grape choke aware poor fact formula belly watch risk large,['snacks'],['medical risk'],0.3124508559703827,M
268,ingredient natural corn free gluten chicken syrup feed pet meat wheat grain vet diet allergy,['pet food'],"['pet food', 'animal food']",0.86854687333107,VH
272,year old soup carry ago stock area longer prepare broth seafood college tax miso chowder,['soup'],['soup'],1.0000001192092896,VH
274,snack healthy tasty excellent lunch satisfy healthier crave yum terrific dip late hungry bill junk,"['snacking', 'snacking']","['snack', 'snack', 'healthy snack']",0.8651309808095297,VH
275,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,['granola'],"['desert beer', 'breakfast bowl', 'crunchy']",0.6169023116429647,H
278,snack chip healthy tasty family they're cheese apple potato alternative salty lunch satisfy crave enjoy,"['snacks', 'snacks']",['healthy eat'],0.7047872543334961,H
279,calorie protein low fat content fiber weight sodium gram substitute high diet carbs lose msg,"['weight loss', 'weight loss']","['diet', 'food component']",0.5198954641819,M
282,blend morning breakfast packet indiv mild wrap stevia ual liqu pour afternoon convenient ually brew,['coffee'],['breakfast'],0.6549283266067505,H
284,soup rice pasta noodle candy thanks service customer vendor tuna contact country hol pea bubble,['food'],"['food', 'food']",1.000000238418579,VH
288,review see disappointed read reviewer call similar base label write another reading saw comment note,['review'],['comunication'],0.8076852560043335,VH
289,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,"['customer service', 'customer service']",['costumer service'],0.6212474703788757,H
291,rice meal ginger content contain sprinkle dinner cooked thai snap breast brown they've fairly chicken,['thai food'],['food'],0.6564659476280212,H
294,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly breast palm brown,['thai food'],"['cooking', 'food']",0.6221737265586853,H
297,right calorie bean low amount fat candy high light content sodium small mango carbs carb,"['healthy snacks', 'healthy']","['nutrition', 'calorie']",0.5848824381828308,M
299,cheese bread bake homemade spread slice toast spoon onion put fry sandwich oven direction could,"['baking', 'baking']","['baking', 'food']",0.8046985268592834,VH
300,healthy tasty snack alternative satisfy lunch healthier touch usual dip yum late hungry bill typical,"['snacking', 'snacking']","['food', 'healthy snack']",0.7473160624504089,H
301,sauce cheese bread salad flour chili baking stir garlic pancake dip dress pork pizza mill,['cooking'],"['bakery', 'food', 'cooking']",0.8322306672732035,VH
302,ever smooth night exactly become soda sweetness choose cappuccino bed various intense beer fabulous advertised,['nightlife'],"['drink', 'drink']",0.46918147802352905,M
303,bottle shipping excellent local grocery cost available cheaper carry pay ship per delivery subscribe online,['delivery'],"['bottle shipping', 'store']",0.7491688132286072,H
308,review smell bad know i'll since people disappointed think read reviewer open seal though agree,['review'],['review'],0.9999998211860657,VH
309,sauce cheese bread recipe spicy season cake salad egg flour chili tomato baking fry stir,['cooking'],['cooking'],1.0000001192092896,VH
311,sell cereal chewy pancake hop truly unfortunately vendor surprised raisin gooey muffin grain bran dough,"['breakfast', 'breakfast']",['sell'],0.45692306756973267,M
313,receive variety several may orange new state point fun within pumpkin complaint animal figure easier,['fun'],['complaint'],0.500951886177063,M
318,rice soup chicken gum noodle cooked pork season cook steak mustard curry bubble usa broth,['food'],"['cooking', 'cooking']",0.7952096462249756,H
320,snack bar cooky cereal butter fruit peanut nut cookie cracker almond oatmeal granola strawberry crunch,['breakfast'],"['snack', 'food and drink', 'snack']",0.6817144950230917,H
324,star pretty fruit juice cut orange mind soda instant espresso exactly raspberry decent five substitute,['drinks'],['beverage'],0.9200875163078308,VH
328,per let must choice seed fish totally vegan age sit wine jelly simply kit mushroom,['vegan'],['diet'],0.5286247134208679,M
329,oil salt help chew energy gum hour bone hair body toy olive skin blue magnesium,"['health', 'health']","['health', 'effect']",0.8227856159210205,VH
333,bit sauce regular serve per save hot red spicy pepper ounce subscribe heat option chili,"['heat', 'heat']","['spice', 'hot sauce']",0.7055631279945374,H
335,regular serve per red spicy pepper single option heat alternative kick fan fry overpower bbq,"['heat', 'heat']",['food'],0.5777947902679443,M
341,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,['poor customer service'],"['white', 'customer service']",0.3970935046672821,M
342,cost bpa general rate consumer particularly drive refill effective woman liter discount per sadly sodastream,['savings'],['cookware'],0.46975040435791016,M
347,quality chicken meat ingredient vegetable purchasing salmon pricey hazelnut base turkey tuna filler steak actually,['meat'],"['cooking', 'cooking grocery', 'food', 'meat', 'cooking']",0.7064156651496887,H
349,rice meal content ginger contain dinner sprinkle cooked thai fairly snap they've firm palm stew,['thai food'],"['cooking', 'rice']",0.5692397058010101,M
354,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,"['baking', 'baking']","['cooking', 'food', 'homemade food']",0.7028825879096985,H
355,old buying easy save soup carry subscribe awesome chili tomato son cheaper area daughter prepare,['food'],"['cooking', 'soup']",0.7424271106719971,H
358,item arrive soup candy gift rice company pasta sell noodle awesome white stock ever customer,['food'],['shopping grocery'],0.5744791626930237,M
359,hot milk cold stomach diet substitute shake warm sensitive nasty soy dissolve upset pain dairy,"['digestive issues', 'digestive issues']",['stomach upset'],0.727725625038147,H
361,piece beef everything jerky season break pill training pocket jack two tender crush nose garbage,['food'],['training'],0.4983038902282715,M
367,hair clear wash scent heard shampoo thick conditioner oily manufacturer shiny scalp apply seem shower,['hair care'],"['hair', 'hair shampoo', 'hair treatment']",0.8880319992701212,VH
370,rice meal ginger content picky contain bowl label dinner sprinkle eater fairly cooked brown thai,['thai food'],['food'],0.6564659476280212,H
371,healthy tasty snack fiber healthier lunch satisfy dip alternative yum touch gram bill usual enjoy,"['snacking', 'snacking']","['healthy food', 'healthy', 'health snack']",0.5898581345876058,M
375,oil ever popcorn spice jar pop season cooking olive salad cook top christmas sprinkle microwave,['cooking'],['cooking'],1.0000001192092896,VH
376,bottle excellent available everyone plastic delivery pleased glass lemon mint sample offer travel clear lime,['drink'],['drink'],1.0,VH
378,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,"['service', 'service']",['sticky'],0.6139514446258545,H
379,feed corn gluten pet vet ingredient wellness liver chicken animal meat filler science diet kibble,['pet food'],"['pet food', 'animal food', 'veterinaty']",0.7862786849339803,H
380,purchase happy see around away always can't able place ship date run never another throw,['choice'],['delivery'],0.800011932849884,VH
381,snack bar cooky cereal butter peanut fruit nut cookie cracker almond oatmeal granola strawberry crunch,"['snacks', 'snacks']","['snack', 'fruit bar', 'healthy snack']",0.8004835844039917,VH
386,free cooky butter peanut gluten cookie gum original sale reasonable vegan prime walmart fudge charge,['cookies'],['recipe'],0.6149924993515015,H
387,different hot many others available salad k-cups keurig creamy name way curry brewer choose table,"['coffee', 'coffee']",['food'],0.5141436457633972,M
391,thing quite expect probably i'd seem n't either wish stock certainly stir though kind end,['expectations'],['conversation'],0.6887010335922241,H
393,ingredient organic quality natural real corn meat syrup list label grain artificial pet ginger expensive,['natural'],['ingredient'],0.5735737085342407,M
396,review see disappointed reviewer call similar read base write label reading another comment saw sure,['review'],['review'],0.9999998211860657,VH
398,chip snack healthy tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar,"['snacking', 'snacking']","['healthy snack alternative', 'food', 'snack']",0.8118120233217875,VH
399,last receive open couple case they're that's half week jar usually seed pouch return part,['relationship'],['seed pouch order'],0.43541574478149414,M
401,especially mind often set instant starbucks total decent roll via five flower classic grape mocha,"['coffee', 'coffee']",['starbucks'],0.842736005783081,VH
403,calorie low fat protein weight sodium fiber high gram diet content carbs lose substitute carb,"['weight loss', 'weight loss']","['diet', 'diet', 'nutrition']",0.5859378178914388,M
406,company available awesome care sent search licorice email send affordable business since premium beyond back,['growth'],['work'],0.682537853717804,H
410,stuff coconut cream ice health cannot tell benefit told wow everyday jelly must admit pomegranate,['health'],['sugar free ice cream'],0.40920987725257874,M
412,keep need seem worth still hand container teeth clean around cheap result thing every basically,['hygiene'],['clean'],0.7362645268440247,H
414,bottle shipping plastic offer iced delivery glass lemon broken seller mint peach forward handle cent,['drinks'],['bottle'],0.8214091658592224,VH
416,package fresh item receive arrive rice soup disappointed gift white fast anyone company noodle awesome,['gift'],['review'],0.7192671298980713,H
417,cooky cookie raspberry thin brownie agree oreo fudge think gooey texture package crumbly soft enough,['texture'],"['cookie', 'food']",0.5979193449020386,M
419,salt bean dish sea kitchen gourmet pork ground basic rind grinder jamaica marley shaker collection,['jamaican cuisine'],['kitchen'],0.44935232400894165,M
420,hot keurig salad k-cup cold brewer filter dress curry paste others creamy square grove call,['coffee'],['hot'],0.5016990303993225,M
431,high syrup artificial sweetener chemical sweeten maple extract agave blueberry fructose corn claim diabetic fake,['fake'],"['maple sirup', 'diabet', 'sugar']",0.4555393060048421,M
434,purchase happy ship offer website wonder impressed chance directly mother elsewhere enjoys promptly refund express,['shopping'],"['purchase', 'online purchase']",0.6966661214828491,H
437,thing quite expect probably i'd n't rather certainly either enough stir awful often though bother,['anxiety'],['word'],0.5054805278778076,M
440,bought free cooky shipping butter peanut gluten cookie original sale melt mom reasonable prime party,['cookies'],['cookie sale'],0.7877407073974609,H
441,year month friend husband gift ago weight lose already none two thrill start week could,['relationships'],['event'],0.5803706645965576,M
445,company available care awesome search sent licorice send call contact email finally business affordable amazon's,"['business', 'business']",['company business'],0.8891021013259888,VH
447,sauce spicy pepper apple noodle heat kick chili lime hot restaurant wasabi bbq asian tomato,"['heat', 'heat']","['food', 'spicy', 'spice']",0.6783038775126139,H
450,nice hard kind back never please mountain overpower bring surprise describe puff lighter compare pa,['adventure'],['nice'],0.7053042650222778,H
451,review smell bad know i'll since disappointed people read open think reviewer seal thought reading,['review'],['reading review by people'],0.47084343433380127,M
452,something house least huge recently sale we've supermarket newman's reasonable higher charge walmart since limited,['growth'],['house for sale'],0.37298107147216797,M
454,mix sauce cheese recipe bread spicy pepper cook season cake meal chicken salad bake egg,['cooking'],"['recipe', 'burger', 'cock']",0.6508906483650208,H
456,dark full roast away rich flavorful extremely long double drinker steep magic drank half odd,['coffee'],['drink and food'],0.5431278944015503,M
457,free cooky butter peanut shipping gluten cookie gum original melt reasonable prime bake vegan walmart,['cookies'],"['butter cookie', 'baking']",0.8442074954509735,VH
461,bitter brew bold starbucks instant decaf strong via weak smooth mocha drinker peppermint magic yet,"['coffee', 'coffee']","['coffeelate', 'starbucks']",0.8893289864063263,VH
462,fruit top nut plus fan huge cake hit mixed dessert microwave banana flavour car cashew,"['dessert', 'dessert']","['baking', 'dessert']",0.8451601266860962,VH
467,item several friend deal smooth gift glad black shop machine amaze licorice christmas espresso anymore,['gifts'],['christmas gift'],0.7013801336288452,H
472,hot milk cold stomach diet soy substitute shake warm sensitive nasty dissolve upset start pain,['digestive issues'],"['belly hurt', 'substitute milk', 'beverage drink']",0.5872141321500143,M
473,syrup high artificial sweetener chemical sweeten maple blueberry agave corn extract fructose diabetic fake think,"['sweeteners', 'sweeteners']","['cooking', 'drink']",0.5471961051225662,M
475,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,['nutrition'],"['diet', 'healthy snack']",0.7841812968254089,H
477,green powder vitamin supplement form teaspoon tablespoon nutritional protein outstanding smoothie grass calcium hemp mineral,['smoothie'],"['supplement', 'nutritional supplement']",0.5936920940876007,M
480,cereal sell grain hop surprised unfortunately chewy truly nearly pancake raisin vendor understand appreciate book,"['breakfast', 'breakfast']",['cooking'],0.6752151250839233,H
483,perfect fresh packaging honey cracker plastic fit lover seal condition packed convenience mini touch described,"['convenience', 'convenience']",['product'],0.6204693913459778,H
491,packaging free big value available con hair difficult damage shipping clear ering prime search bacon,['haircare'],['delivery'],0.45453524589538574,M
492,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,['health'],"['almond', 'nutrition', 'patient']",0.6575201551119486,H
496,easy fruit top family plus nut apple cake hit mixed egg caramel extra banana mess,"['desserts', 'desserts']",['fruit'],0.6767247915267944,H
497,local piece grocery sell deal carry market glad online break hop surprised unfortunately whole flour,['local'],"['shopping local grocery online', 'commerce', 'shopping']",0.4780233105023702,M
499,sweet bar milk cereal texture yummy kind cinnamon granola strawberry chewy soft whole crunch blueberry,"['breakfast', 'breakfast']",['breakfast'],0.9999998807907104,VH
500,roast dark full rich flavorful extremely double pick count drank consistently selection odd delicate sumatra,['coffee'],['food'],0.5141437649726868,M
501,morning breakfast indiv convenient wrap portion control ual afternoon ually deep worry early since anytime,['routine'],['time'],0.7809475660324097,H
503,oil ever popcorn spice jar pop season cooking olive salad cook top search christmas sprinkle,['cooking'],"['cooking', 'popcorn']",0.7199510484933853,H
507,always sure last case they're two week couple jar part mine maybe someone open seed,['relationship'],['seed'],0.5557934045791626,M
509,hair clear end felt thick wash scent heard job shampoo conditioner opening manufacturer oily major,"['hair care', 'hair']","['hair', 'hair product']",0.8829396963119507,VH
510,jerky dog owner fence report fda yard associate apply chicken consumer mold consumption animal complaint,"['pet owner', 'owner']","['animal', 'fda regulation']",0.40509645640850067,M
512,oil ever popcorn spice jar pop season cooking olive salad christmas everything search sprinkle top,['cooking'],['oil'],0.5475001335144043,M
513,feed change switch diet vet wellness crazy eats pet formula kibble year science puppy old,['pet care'],"['diet', 'animal']",0.47582410275936127,M
