,true,model,wordset,model_num,true_num
137,bad,good,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,2,-2
138,bad,good,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,2,-2
139,bad,bad,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,-2,-2
140,bad,bad,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,-2,-2
141,bad,good,april nasa star canada bike score always goal maynard area player hockey wings center white,2,-2
142,good,good,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,2,2
143,bad,bad,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,-2,-2
144,rather_good,bad,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,-2,1
145,bad,bad,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,-2,-2
146,bad,bad,argument colorado conclusion music fallacy letter form flame japanese motorcycle therefore occur denizen onur yalcin,-2,-2
147,bad,bad,argument colorado conclusion music fallacy letter form japanese flame motorcycle therefore authority occur denizen onur,-2,-2
148,bad,bad,argument colorado conclusion music letter fallacy flame form motorcycle therefore japanese bruce denizen occur onur,-2,-2
149,bad,bad,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,-2,-2
150,rather_bad,bad,argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,-2,-1
151,rather_bad,good,argument conclusion cause religion bible fallacy accept therefore sense christianity form experience statement others cannot,2,-1
152,bad,bad,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,-2,-2
153,bad,bad,argument conclusion colorado fallacy music japanese form weaver authority occur onur yalcin therefore logic letter,-2,-2
154,good,good,argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,2,2
155,bad,good,argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,2,-2
156,neutral,good,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,2,0
157,bad,good,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,2,-2
158,rather_bad,good,argument ence moral keith human statement saying imply caltech conclusion definition morality wrong rule discussion,2,-1
159,neutral,good,argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,2,0
160,rather_bad,good,argument moral ence keith imply conclusion caltech definition saying human statement therefore morality discussion whether,2,-1
161,bad,good,argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,2,-2
162,neutral,good,argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,2,0
163,good,good,argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,2,2
164,rather_bad,good,argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,2,-1
165,good,good,argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,2,2
166,rather_bad,good,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,2,-1
167,neutral,good,argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,2,0
172,bad,good,atheism atheist religion religious belief faith command monitor following check email switch send boot message,2,-2
173,rather_bad,bad,atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,-2,-1
174,rather_good,bad,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,-2,1
175,good,bad,atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,-2,2
176,good,bad,atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,-2,2
177,good,bad,atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,-2,2
178,good,bad,atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,-2,2
179,good,bad,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,-2,2
180,good,bad,atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,-2,2
181,good,bad,atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,-2,2
182,good,bad,attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,-2,2
183,good,good,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,2,2
184,neutral,bad,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,-2,0
185,rather_bad,bad,attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope,-2,-1
186,bad,bad,attack tank buffalo fire ncsu away cover brad stand hernlem limbaugh hawk stop pray fight,-2,-2
187,bad,bad,attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe,-2,-2
188,bad,bad,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,-2,-2
189,bad,good,attack tank fire stop away hernlem pray limbaugh darren lebanese cover hawk stand brad ncsu,2,-2
190,bad,good,attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla,2,-2
191,good,good,attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,2,2
192,good,bad,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,-2,2
193,rather_bad,bad,attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,-2,-1
194,rather_bad,bad,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white,-2,-1
218,bad,bad,banks gordon pitt surrender font skepticism intellect soon cadre shameful chastity type blood brain teenager,-2,-2
239,good,bad,baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,-2,2
240,good,bad,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,-2,2
241,good,bad,baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,-2,2
242,rather_bad,good,battery looking email sell graphics food apple advance dyer nasa fine friend image running found,2,-1
243,rather_bad,good,battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa,2,-1
248,bad,bad,begin father massacre sport jayne joel newspaper hole soldier russian yassin oracle french spirit fill,-2,-2
249,good,bad,belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing,-2,2
250,good,bad,belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,-2,2
251,rather_good,bad,belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,-2,1
252,neutral,good,berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer,2,0
253,good,good,berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,2,2
254,neutral,good,berkeley court hate francisco anti charge jacket dangerous property leather museum legal california judge arens,2,0
255,bad,good,berkeley court love hate francisco anti jacket property leather charge money museum dangerous loud safe,2,-2
256,bad,good,berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe,2,-2
257,good,good,bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,2,2
258,good,good,bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,2,2
259,good,good,bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach,2,2
260,good,good,bible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith,2,2
261,good,good,bible christ matthew lord faith heaven scripture teach father word mary save spirit love shall,2,2
262,good,good,bible christ matthew lord father faith word holy spirit scripture heaven teach doctrine passage church,2,2
263,good,good,bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary,2,2
264,good,good,bible christ matthew lord heaven scripture faith teach word father mary save spirit passage verse,2,2
265,good,good,bible christ matthew lord heaven scripture faith word father teach mary passage spirit save verse,2,2
266,good,good,bible christ matthew word authority scripture human means passage truth always belief saying heaven coming,2,2
267,good,good,bible christ matthew word authority scripture human means passage truth always saying belief coming mark,2,2
268,good,bad,bible church christ faith matthew catholic scripture father lord word heaven holy spirit truth belief,-2,2
269,good,good,bible church christ faith matthew father scripture lord word catholic truth heaven holy belief spirit,2,2
270,good,good,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,2,2
271,good,good,bible church christ faith matthew word father scripture truth belief lord heaven holy spirit authority,2,2
272,good,bad,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,-2,2
273,good,bad,bible church christ truth faith lord catholic scripture father christianity belief heaven hell holy interpretation,-2,2
274,good,bad,bible church christ truth faith love word lord paul catholic belief quote scripture father matthew,-2,2
275,good,bad,bible church christ truth faith love word lord paul catholic scripture father matthew quote belief,-2,2
276,good,bad,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim,-2,2
277,good,bad,bible religion turkish church belief truth argument faith christ atheist greek muslim human ence word,-2,2
278,good,bad,bible religion turkish church belief truth argument faith christ atheist muslim ence greek human word,-2,2
279,good,bad,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,-2,2
280,good,bad,bible religion turkish church belief truth argument faith christ atheist muslim greek human ence word,-2,2
281,good,bad,bible religion turkish church belief truth argument faith christ ence muslim greek human atheist word,-2,2
282,good,bad,bible religion turkish church belief truth argument faith christ ence muslim greek human word atheist,-2,2
283,good,bad,bible religion turkish church belief truth argument faith christ ence muslim greek word human moral,-2,2
284,good,bad,bible religion turkish church belief truth argument faith christ ence word muslim greek human moral,-2,2
285,good,bad,bible religion turkish church belief truth argument faith christ word ence muslim greek human moral,-2,2
286,good,bad,bible religion turkish church belief truth faith argument christ atheist greek muslim word human ence,-2,2
287,good,bad,bible religion turkish church belief truth faith argument christ atheist word greek muslim human moral,-2,2
288,good,bad,bible religion turkish church belief truth faith argument christ word greek muslim atheist moral human,-2,2
292,good,good,bike engine front mile speed tire road turn light motorcycle wheel driving model ford left,2,2
293,good,good,bike engine front mile speed tire road turn light motorcycle wheel driving model left ford,2,2
294,good,good,bike engine front mile speed tire road turn motorcycle light wheel driving model ford left,2,2
295,good,good,bike engine front mile tire motorcycle wheel driving ford rear honda vehicle brake traffic speed,2,2
296,good,good,bike engine front mile tire road speed motorcycle wheel turn driving light model rear cross,2,2
297,good,good,bike engine front tire mile wheel road friend motorcycle modem cross model speed vehicle driving,2,2
298,good,good,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar,2,2
299,good,good,bike engine mile tire wheel motorcycle front ford rear honda driving vehicle brake traffic radar,2,2
300,good,good,bike engine mile tire wheel motorcycle front ford rear honda vehicle driving brake traffic radar,2,2
301,good,good,bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape,2,2
302,good,good,bike mile front speed tire turn road wheel rear brake motorcycle driving vehicle fast left,2,2
303,good,good,bike mile front tire road speed turn wheel rear brake motorcycle driving vehicle left fast,2,2
304,good,good,bike mile road front speed tire turn engine motorcycle driving wheel light ford rear honda,2,2
305,good,good,bike mile speed front road tire turn motorcycle engine wheel driving light rear honda ford,2,2
306,good,good,bike mile speed front turn tire road motorcycle wheel driving rear brake honda left fast,2,2
307,rather_bad,good,bike speed apple turn disk fast mile tire simms mouse driver cable wheel engine memory,2,-1
308,good,good,bike speed apple turn mile tire fast simms front wheel engine cable rear motorcycle driver,2,2
309,good,good,bike speed mile front tire turn wheel road rear brake motorcycle fast left driving vehicle,2,2
310,good,good,bike speed mile front turn tire road motorcycle engine wheel driving rear honda fast left,2,2
311,good,good,bike speed mile turn front tire road engine motorcycle wheel driving fast rear honda left,2,2
312,good,good,bike speed mile turn front tire road engine motorcycle wheel fast driving rear honda simms,2,2
313,good,good,bike speed mile turn front tire road motorcycle wheel driving rear brake fast honda left,2,2
314,good,good,bike speed turn apple mile tire fast brake wheel mouse driver rear disk engine cable,2,2
315,bad,good,bike speed turn apple mile tire simms fast wheel mouse brake rear driver front engine,2,-2
316,rather_good,good,bike speed turn mile apple tire front simms fast wheel engine motorcycle road rear left,2,1
317,good,good,bike speed turn mile apple tire simms fast front wheel rear brake engine motorcycle left,2,2
318,rather_good,good,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left,2,1
319,good,good,bike speed turn mile tire front simms wheel motorcycle road fast rear brake left honda,2,2
320,good,good,bike turn engine front mile road tire driving cross unit stick lock wheel owner foot,2,2
321,bad,bad,bill clinton fire batf scott stratus compound koresh child waco tear agent distribution cult watch,-2,-2
322,bad,bad,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant,-2,-2
323,rather_bad,bad,bill clinton fire batf stratus scott compound waco distribution modem company child today agent warrant,-2,-1
324,rather_bad,bad,bill clinton fire koresh batf scott child compound stratus waco tear cult distribution agent watch,-2,-1
325,rather_bad,bad,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,-2,-1
326,rather_bad,bad,bill clinton modem stratus batf fire waco scott compound company distribution country washington packet handheld,-2,-1
327,rather_bad,good,bill distribution port modem serial stratus connect special packet several william rocket keywords interrupt baud,2,-1
328,rather_good,good,bill distribution port modem serial stratus connect special several packet keywords william rocket interrupt baud,2,1
329,bad,bad,bill fire koresh clinton scott child batf compound stratus waco cult tear agent burn today,-2,-2
330,rather_bad,good,bill modem scott folks stratus batf distribution fire company compound special speak packet warrant today,2,-1
331,rather_bad,good,bill modem scott stratus batf distribution folks company fire serial compound special waco port speak,2,-1
332,bad,good,bill modem stratus company batf scott serial distribution port fire packet waco folks compound special,2,-2
333,neutral,bad,bill modem stratus scott batf company distribution serial folks fire port waco special compound packet,-2,0
357,bad,bad,black white pick straight homosexual male rose sexual harris weaver johnson cooper partner hulman gold,-2,-2
358,rather_bad,bad,black white pick straight male rose homosexual harris nothing sexual johnson showing partner handling hulman,-2,-1
359,bad,bad,black white pick straight male rose homosexual sexual johnson harris nothing partner handling hulman showing,-2,-2
364,good,good,body dead town duke kill child mountain shot azeri azerbaijan soviet massacre road force azerbaijani,2,2
365,bad,good,body town dead duke kill mountain azeri azerbaijan soviet massacre child shot road azerbaijani force,2,-2
492,bad,good,canada ryan wave stephen indiana funny ontario blue ottawa danny smoke story sticker afford jonathan,2,-2
493,bad,good,cancer word health center application higgins research increase fnal science resource national internet field randy,2,-2
494,good,good,cand doctor suck treatment anti infection vitamin body cause quack medical pilot yeast bias antibiotic,2,2
495,good,good,cand doctor treatment anti suck cause yeast disease infection body medical vitamin blood quack physician,2,2
496,good,good,cand doctor treatment suck anti infection body cause yeast vitamin medical quack disease blood pilot,2,2
497,neutral,bad,cand palestinian israel suck nasa cause west israeli infection astronaut stup anti bank bias degree,-2,0
498,bad,good,cand suck infection anti palestinian cause vitamin west doctor body astronaut bias treatment pilot bank,2,-2
502,rather_bad,good,card driver memory simms cards crash gateway battery backup diamond tower accelerator tape boot color,2,-1
503,good,good,card driver memory simms cards crash gateway battery backup diamond tower tape accelerator boot color,2,2
504,bad,good,card driver sound copy light mark machine left running free disk following memory water else,2,-2
505,good,good,card driver sound light copy running machine crash mark gateway anybody left hardware speaker backup,2,2
506,bad,good,card driver sound light running gateway machine crash copy mark anybody diamond latest hardware memory,2,-2
507,bad,good,card driver sound machine light running copy gateway mark crash memory left anybody hardware option,2,-2
508,rather_bad,bad,care health country market america company money gary perry columbia drug liberal somalia germany german,-2,-1
509,neutral,good,care mark couple marriage poor married insurance abortion coverage rent live speech child free money,2,0
510,rather_bad,good,care mark marriage poor child couple live deserve free together services deliver choose parent health,2,-1
511,bad,good,care marriage couple poor child mark health package live public together commitment congress free immunization,2,-2
512,neutral,good,care marriage couple public insurance child kind poor live health congress whether ever mark free,2,0
513,bad,good,care marriage couple public kind congress live mark poor ever together whether output technology package,2,-2
514,neutral,good,care marriage insurance couple child mark poor money coverage live abortion public free rent parent,2,0
515,rather_good,good,care marriage insurance couple child poor mark public abortion money coverage live free health rent,2,1
516,bad,good,care marriage insurance couple child poor public health mark abortion money coverage free live congress,2,-2
517,rather_good,good,care marriage insurance couple mark poor child money coverage abortion live rent public free married,2,1
518,good,good,care marriage insurance couple poor mark child money abortion coverage public live rent free health,2,2
519,neutral,good,care marriage insurance health public couple child poor congress kind free package whether live commitment,2,0
520,rather_good,good,care marriage mark couple poor insurance child live abortion coverage married money rent free speech,2,1
534,bad,good,cause father message view user whole bill white head check code appear begin attack within,2,-2
535,good,good,cause food medical disease health patient doctor report cand cancer treatment steve body blood infection,2,2
536,rather_bad,good,cause launch cand report military face charge anti fire knife woman infection weapon police health,2,-1
537,rather_good,good,cause medical health report disease food cand face infection doctor charge steve military body knife,2,1
538,neutral,good,cause report cand health medical face military charge disease food infection knife dangerous anti among,2,0
539,good,good,cause report health food study disease medical doctor steve increase patient center among body treatment,2,2
540,rather_bad,good,center nasa research image internet graphics cancer virginia health medical contact april email mike archive,2,-1
541,bad,good,center research internet virginia office conference phone computing national department north film address campus australia,2,-2
542,bad,good,center research internet virginia office phone nasa north email computing film contact national maine harvard,2,-2
543,rather_good,good,center research internet virginia phone office nasa email north computing film contact national maine harvard,2,1
544,good,good,center research nasa medical april health cancer internet virginia report national volume page newsletter contact,2,2
545,neutral,good,center research nasa medical april health report cancer national virginia page volume internet newsletter office,2,0
546,bad,good,center research virginia internet nasa office phone north film email computing contact maine national tiff,2,-2
547,bad,bad,center research virginia nasa internet tiff film contact image maine graphics mike news north conference,-2,-2
548,bad,bad,center research virginia nasa internet tiff film contact maine mike image graphics news north conference,-2,-2
549,rather_bad,good,center virginia research internet nasa film office maine national north contact conference phone computing campus,2,-1
550,rather_good,good,center virginia research nasa internet film maine contact national office conference north news phone report,2,1
551,bad,good,center virginia research nasa internet film maine contact office national conference north news report phone,2,-2
564,good,bad,character font printer print vice page cell code bill beauchaine bobbe thought deskjet beep blow,-2,2
604,good,bad,child body woman dead town army massacre azerbaijan azeri kill attack three destroy terrorist soviet,-2,2
605,good,good,child drug care country society party insurance freedom medium germany difference political german social suggest,2,2
606,bad,good,child kill food woman cause fire disease left doctor live body health patient home friend,2,-2
607,bad,bad,child koresh rutgers rock kaldis michael doctor georgia injury trial radio germany witness society easter,-2,-2
608,bad,good,child michael koresh rutgers phil radio rock witness trial kaldis judge georgia ence ians covington,2,-2
609,bad,good,child michael koresh rutgers phil radio witness rock trial judge ence kaldis georgia ians kill,2,-2
610,bad,good,child remember duke chip maybe risc email away center sell turn monitor color argument nasa,2,-2
611,bad,good,child report picture kaldis ence word news nothing whether send rutgers phone homosexual home today,2,-2
612,bad,bad,child rutgers kaldis koresh doctor rock easter germany injury society michael trial radio ence report,-2,-2
613,bad,bad,child rutgers kaldis report easter homosexual rock ence society germany picture word doctor injury koresh,-2,-2
614,bad,bad,child turkish woman turkey armenia turk greek military russian army weapon live village today plane,-2,-2
615,rather_bad,bad,child woman body dead massacre army village muslim russian azerbaijan attack turkish town minority report,-2,-1
622,good,good,chip encryption clipper escrow security secure agency technology enforcement privacy encrypt algorithm protect crypto secret,2,2
623,good,good,chip encryption clipper phone escrow security secure technology agency privacy protect enforcement algorithm encrypt crypto,2,2
624,good,good,chip encryption clipper security escrow privacy encrypt technology agency enforcement message phone algorithm protect secret,2,2
625,good,good,chip encryption clipper security privacy escrow technology encrypt agency phone enforcement message algorithm protect secure,2,2
626,good,good,chip encryption clipper security privacy phone escrow technology agency secure encrypt algorithm message enforcement protect,2,2
627,good,good,chip encryption phone public security clipper access message algorithm technology privacy product protect agency secure,2,2
647,good,bad,church bible christ catholic faith matthew lord scripture father word spirit paul holy passage interpretation,-2,2
648,good,bad,church bible christ catholic matthew faith lord scripture father word spirit holy paul passage interpretation,-2,2
649,good,good,church bible christ faith catholic matthew lord scripture father word spirit holy heaven interpretation teach,2,2
650,good,good,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation heaven,2,2
651,good,bad,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation passage,-2,2
652,good,good,church catholic authority pope bible public country belief live strong child religion love regard always,2,2
653,good,bad,church catholic authority pope matter member bishop faith involve schism command teaching situation public bible,-2,2
654,good,good,church catholic authority pope matter member bishop tradition teaching priest involve doctrine schism command faith,2,2
655,good,bad,church catholic pope authority tradition doctrine priest orthodox teaching bishop divine nature matter revelation schism,-2,2
656,good,bad,church catholic pope authority tradition doctrine priest orthodox teaching bishop nature divine matter revelation schism,-2,2
657,good,bad,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,-2,2
658,good,good,church truth absolute doug symbol borland bible scripture libxmu paradox catholic matter darren error certain,2,2
659,rather_good,bad,church truth absolute doug symbol borland libxmu scripture bible paradox matter reading interpretation exercise error,-2,1
660,good,bad,church truth catholic absolute pope bible matter scripture symbol revelation borland interpretation faith libxmu certain,-2,2
661,bad,good,city judas young hanging acts present sdsu move election money bill thousand office tree decenso,2,-2
662,rather_bad,good,city judas young hanging present sdsu election acts move bill thousand office money babb among,2,-1
