,text,true,model,true_num,model_num
324,henry toronto digex star captain energy appear fred harris weaver spencer cover informatik universe hamburg,bad,bad,-2,-2
325,clinton class movie charles frame bill within plan sean regard bush quicktime animation administration mike,bad,good,-2,2
327,guess wrong wave caltech cleveland freenet nothing child whether previous mind story ever quite likely,bad,bad,-2,-2
328,trade berkeley andy names rick tyre prince business uucp seattle division stop else custom forsale,bad,good,-2,2
330,koresh guess freenet cwru cleveland wave story mike stephen previous nothing wrong stand ever ryan,bad,bad,-2,-2
337,attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,bad,2,-2
339,religion atheist argument belief ence religious atheism existence statement faith therefore cause cannot universe view,good,good,2,2
342,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,bad,good,-2,2
344,quote hell evil death love feel context accept brian live stup agree learn maybe ever,bad,good,-2,2
345,bike speed mile front tire turn wheel road rear brake motorcycle fast left driving vehicle,good,good,2,2
346,bible christ matthew word authority scripture human means passage truth always belief saying heaven coming,good,good,2,2
347,window display screen color manager server application create visual client pixel colors mode size memory,good,good,2,2
348,science holland cult compass study tempest investigation methodology nixon psychology department star left colostate scientific,good,good,2,2
349,country nazi germany german land europe money party european happy political spend race waste history,good,good,2,2
350,paul laws rate crime homic risk study worship rates sabbath vancouver higher handgun seattle death,bad,good,-2,2
351,doctor disease patient treatment cand treat cause test medicine yeast blood symptom medical ence body,good,good,2,2
353,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,good,good,2,2
355,care marriage couple poor child mark health package live public together commitment congress free immunization,bad,good,-2,2
357,disclaimer lost james chris weight behanna navy callison bird pack baby houston uoknor init uniform,bad,bad,-2,-2
358,copy thor steve electronics libertarian bell steveh hendricks measure current fail regulation protection persian limited,bad,good,-2,2
359,printer quality print byte laser component design digital lower electronics higher stuff network push cost,good,good,2,2
360,encryption chip clipper security phone secure escrow technology encrypt privacy agency protect enforcement algorithm public,good,good,2,2
361,love court hate property francisco anti park charge leather police inner choose laws dangerous money,bad,bad,-2,-2
362,religion religious christianity follow islam utexas woman muslim sandvik kent newton islamic bobby activity apple,good,good,2,2
363,child drug care country society party insurance freedom medium germany difference political german social suggest,good,bad,2,-2
365,duke risc remember instruction intel reduce road cica face architecture reading address andrew acpub brian,bad,good,-2,2
366,belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,good,good,2,2
367,crime paul rate laws white freedom death black homic federal house rates study defense sabbath,good,good,2,2
368,internet research address center organization technology institute department national office conference computing australia technical voice,bad,good,-2,2
371,militia request arms amendment address bear send constitution regulate shall free organize receive form cache,good,good,2,2
373,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,good,good,2,2
376,black white pick straight male rose homosexual harris nothing sexual johnson showing partner handling hulman,bad,good,-2,2
377,price phone bike email sell internet company technology offer cost send sale distribution radio network,bad,good,-2,2
378,bike engine mile tire wheel motorcycle front ford rear honda driving vehicle brake traffic radar,good,good,2,2
380,launch commercial project cost market satellite contract development money technology build million next product venture,good,good,2,2
382,white rose pick male round harris brad philadelphia hulman winner report black april cooper nextwork,bad,good,-2,2
384,cand doctor treatment anti suck cause yeast disease infection body medical vitamin blood quack physician,good,good,2,2
389,research center washington april national health report institute medical department among page child virginia office,good,good,2,2
392,player european canadian food north league diet compass seizure canada major rauser hockey dyer corn,bad,good,-2,2
394,paul homic rate laws worship study sabbath crime risk rates handgun vancouver death seattle city,bad,good,-2,2
395,white black pick male straight rose harris weaver round sexual johnson homosexual cooper nothing april,bad,good,-2,2
397,entry rule output build size define remark section test contest check author open francis obfuscate,bad,good,-2,2
399,soon pitt gordon blood banks brain surrender skepticism intellect cadre shameful chastity wash teenager peace,bad,good,-2,2
400,pres homosexual cramer administration working russian secretary official russia house sandvik community sexual private clayton,bad,bad,-2,-2
402,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,bad,bad,-2,-2
403,music motorcycle letter weaver japanese engineering flame member chuck membership denizen bruce onur yalcin resume,bad,good,-2,2
404,science truth objective absolute frank values scientific knowledge value experience basis wrong theory agree morality,good,good,2,2
405,party nazi german germany anti ticket hitler holocaust history page torture publish political semitism quote,good,good,2,2
407,window display screen color manager application server create pixel visual colors size event client draw,good,good,2,2
409,love court hate property francisco anti park choose leather inner charge arens laws money loud,bad,good,-2,2
412,stup newsreader phone listen wait walker intercon amanda distribution cheap next talk easy traffic corporation,bad,bad,-2,-2
413,water internet marc tower heat nuclear plant cool ripem cooling nist cold temperature needle energy,bad,good,-2,2
414,nazi party hitler ticket history publish germany page german quote ence holocaust milwaukee prove torture,good,good,2,2
419,wire ground outlet wiring neutral math panel circuit electrical cable swap duke current connect subject,good,good,2,2
420,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,bad,good,-2,2
421,bike speed turn apple mile tire fast brake wheel mouse driver rear disk engine cable,good,good,2,2
422,image graphics format package user unix code library motif directory tool comp site object contact,good,good,2,2
423,bike mile speed front road tire turn motorcycle engine wheel driving light rear honda ford,good,good,2,2
425,greek turkish turkey cross armenia henrik turk greece plane azeri link cyprus allocation minority conflict,bad,good,-2,2
429,criminal crime kill death knife murder carry self commit defense public violent indiv child firearm,good,good,2,2
433,nasa launch orbit satellite mission moon earth shuttle rocket lunar flight spacecraft probe mars solar,good,good,2,2
437,wire ground circuit outlet panel wiring math neutral electrical cable connect duke swap current subject,good,good,2,2
441,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,bad,bad,-2,-2
442,price board purchase cable plug supply connector deal unit package cheap slot expensive adapter dealer,good,bad,2,-2
446,love court hate property choose francisco anti park money leather laws inner arens loud jacket,bad,bad,-2,-2
448,window display server application image screen color memory driver user apple running graphics mouse monitor,good,good,2,2
453,ground water food wire disease cause test engine patient light current study hole medical result,good,bad,2,-2
455,keyboard roger forward nick maynard greg player gainey always scroll richard business vertical style laurentian,bad,good,-2,2
460,cause report cand health medical face military charge disease food infection knife dangerous anti among,bad,bad,-2,-2
461,argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,good,good,2,2
462,code user public event register algorithm generate send object expose patent drawing implementation domain contain,bad,bad,-2,-2
464,copy machine persian free sound anyway current public address easy company general several fast able,bad,bad,-2,-2
465,attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,good,bad,2,-2
470,mike clinton class proper charles batf success regard unknown raise dont bill within bush fear,bad,good,-2,2
471,entry launch satellite rule remark build given contest test player european cipher become francis author,bad,good,-2,2
472,send address email request news internet message copy usenet receive militia mailing discussion newsgroup free,good,good,2,2
475,argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,bad,good,-2,2
477,period boston player score pittsburgh baseball dave pitch third detroit yankee chicago season toronto murray,good,good,2,2
480,cause father message view user whole bill white head check code appear begin attack within,bad,good,-2,2
481,love drug laws bike court engine design sell choose head plaintiff property money police kind,bad,good,-2,2
482,south island ship secret military rutgers british nuclear newspaper kaldis rockefeller naval plan easter sport,good,good,2,2
483,quote context feel learn evil agree accept maybe brian taking umich live kind ever argument,bad,good,-2,2
484,window display image server application graphics code user screen color motif mouse running format font,good,good,2,2
485,health medical national cancer increase among report child center april research newsletter page disease volume,good,good,2,2
487,driver card sound light gateway running crash machine mark copy memory else black left disk,bad,bad,-2,-2
489,pretty love robert somebody jason laugh univ everybody chicago education anymore figure live suppose weird,bad,good,-2,2
491,party nazi german germany anti ticket hitler history holocaust page torture publish political semitism quote,good,bad,2,-2
492,attack tank ticket peace brad hitler fire ncsu stop limbaugh away cover black medium white,bad,bad,-2,-2
496,discussion newsgroup utexas vote topic misc electric ccwf philip uiuc irvine newsgroups appropriate stove brent,bad,good,-2,2
498,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,bad,good,-2,2
500,nazi party proof muslim hitler ticket faith publish ence dead found history quote islam resurrection,bad,good,-2,2
502,ryan wave story stephen indiana guess ottawa smoke danny coming canada mike udel previous gibson,bad,bad,-2,-2
504,weapon firearm police auto safety semi handgun license revolver carry self bill fire dangerous shot,good,good,2,2
507,professor history search peter christianity hotel view others king belief atheist general science goal credit,bad,good,-2,2
508,quote context umich taking feel learn maybe agree aspect brian stephen engin kind making response,bad,good,-2,2
509,scsi controller interface transfer bios devices feature jumper fast standard setting speed card esdi chip,bad,good,-2,2
512,disk memory tape floppy boot error swap apple backup cache upgrade access adaptec install running,good,good,2,2
514,picture week gain pain stone blah beach timer caltech precision thomas snow sleeve sometime integer,bad,bad,-2,-2
516,mine option uunet station cramer clayton optilink consent oracle relations module sexual orientation homosexual pyram,bad,good,-2,2
518,launch entry build commercial project development rule cost satellite market european output contest remark size,bad,good,-2,2
521,truth absolute doug description symbol borland slave libxmu paradox darren arrogant scripture bible error trust,bad,good,-2,2
524,image graphics user package unix directory anonymous format keyboard comp site library server contact tool,good,good,2,2
525,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,bad,bad,-2,-2
526,bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,good,good,2,2
527,bike engine front mile tire motorcycle wheel driving ford rear honda vehicle brake traffic speed,good,good,2,2
531,trade uucp berkeley andy names rick tyre update uunet seattle wisdom athena dumb whenever custom,bad,bad,-2,-2
532,center research nasa medical april health cancer internet virginia report national volume page newsletter contact,good,good,2,2
534,printer font print picture character water analysis thor laser rochester jake postscript libertarian pattern bony,bad,good,-2,2
535,period pittsburgh player division baseball louis detroit chicago dave third score home shot jack scorer,bad,good,-2,2
539,font pitt unit gordon cross output soon input link banks surrender error type current skepticism,bad,bad,-2,-2
541,father massacre begin russian jayne sport hole joel soldier yassin creed french newspaper erzurum spirit,bad,bad,-2,-2
547,militia request arms amendment bear send address constitution regulate shall organize free text sentence infringe,good,good,2,2
549,crime criminal kill death self murder public commit defense knife child cause indiv firearm violent,good,good,2,2
550,drug money dollar cheap jeff rich illegal screw average crack curve choice legal spend reliable,bad,good,-2,2
551,israel israeli palestinian west bank suck joke arab bias medium territory stup palestine report cand,good,good,2,2
552,argument conclusion child fallacy onur yalcin history weaver frank agree colorado music taking everyone authority,bad,good,-2,2
553,greek turkish turkey cross armenia henrik turk greece plane link azeri cyprus allocation conflict karabakh,good,good,2,2
555,driver sound card light crash latest gateway running machine diamond check channel stereo quick speaker,bad,bad,-2,-2
556,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,bad,bad,-2,-2
557,south george island secret ship employer jake military british nuclear bony rockefeller naval york plan,bad,good,-2,2
558,baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,good,good,2,2
559,controller scsi disk card bios interface feature jumper floppy speed fast transfer port board rate,good,good,2,2
560,church catholic pope authority tradition doctrine priest orthodox teaching bishop divine nature matter revelation schism,good,good,2,2
561,curve jeff create curious libertarian choice rich fantasy phil dollar integra free scott hold drug,bad,good,-2,2
562,ground wire circuit outlet wiring neutral voltage connect cable electrical current excellent panel plastic subject,good,bad,2,-2
565,user unix library directory package product comp graphics binary linux editor release tool site vendor,good,good,2,2
567,nasa research center science launch earth satellite internet orbit national mission anonymous project address april,good,good,2,2
570,bill modem stratus company batf scott serial distribution port fire packet waco folks compound special,bad,good,-2,2
571,scsi fast model season thought hell view ever comment player anyway looking type light address,bad,good,-2,2
572,lost james disclaimer model houston navy callison andrew weight init uoknor bird presentation height ever,bad,bad,-2,-2
575,woman face wife home city kill left child dead mother building days live apartment helmet,good,good,2,2
576,crime paul rate laws white death black freedom homic federal defense rates study house sabbath,bad,good,-2,2
578,looking appreciate advance anybody info email keyboard thank hello greatly experience wonder peter thanx advice,bad,good,-2,2
580,driver card memory running machine sound anybody error instal tape simms cards works fine upgrade,bad,good,-2,2
582,ryan story stephen wave canada indiana smoke ottawa mike danny funny udel guess result gibson,bad,good,-2,2
583,nasa science earth anonymous orbit image mission research center news moon satellite reference library launch,good,good,2,2
585,launch project cost commercial development satellite market contract build stage million vehicle technology venture titan,good,bad,2,-2
586,love hell quote feel stup brian evil live learn accept sorry death choose context maybe,bad,good,-2,2
588,window display server application screen motif color function code client manager resource font create image,good,good,2,2
590,duke risc intel remember road reduce architecture cica acpub dock econ face infante cisc reading,bad,good,-2,2
593,water internet tower nist plant cooling site heat email marc connect temperature nuclear ncsl contact,bad,good,-2,2
595,science moral objective theory morality keith result scientific frank animal values wrong whether study natural,good,good,2,2
596,machine cwru card xfree cleveland comment anonymous code freenet driver report looking cause robert check,bad,good,-2,2
600,window display server motif screen color application client manager resource entry event xterm default visual,good,good,2,2
603,money company spend insurance happy costs cost private fund proposal perry canadian health magazine free,good,good,2,2
604,launch entry build satellite commercial european rule development market remark project contest output size vehicle,bad,bad,-2,-2
605,scsi controller disk card interface speed transfer fast feature bios mode port floppy jumper rate,good,good,2,2
606,nasa research science center launch earth satellite internet orbit national mission anonymous project address april,good,good,2,2
