,INPUT:wordset,INPUT:model_id,INPUT:dataset_name,OUTPUT:quality,homogeneity,assessment
28,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,631ba4b8cda35d28419fe92f,20newsgroups,"['bad', 'bad', 'good', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'good', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'good', 'bad']",0.6,-2
29,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,631b96a72b337b5d9500c778,20newsgroups,"['bad', 'good', 'bad', 'bad', 'bad']",0.8,-2
30,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,631b96bea5a57837b841b5d1,20newsgroups,"['rather_bad', 'good', 'rather_bad', 'bad', 'bad']",0.4,-1
31,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,631bb830cda35d2841a002ce,20newsgroups,"['rather_good', 'bad', 'good', 'rather_bad', 'rather_good']",0.4,1
32,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,631ba618f849c89c6187c087,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'bad']",0.8,-2
33,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,631babf6e8f8f2cd1cfaddbb,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_good', 'bad']",0.6,-2
34,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,631bb6cd17dc5fce149d3be1,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1
35,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,631b96c443fb92a9d14374b7,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2
36,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,631b919eb9644773b836b884,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'rather_bad']",0.6,-1
37,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,631bb8282d85fb2da960a6a5,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-2
38,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,631b92af939bfaaca5600cb2,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2
39,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,631b88c832b90885873f8d96,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad']",0.6,-1
40,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,631b942e52902711ae3fa23a,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-2
41,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,632311adb9644773b836ff99,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1
42,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,632315134bb36217238e194a,amazon_food,"['rather_bad', 'rather_good', 'rather_bad']",0.7,-1
43,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,6325db66814e124a8fb0d331,amazon_food,"['bad', 'good', 'bad']",0.7,-2
44,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,6326058b326449942d83d2b9,amazon_food,"['bad', 'good', 'rather_bad']",0.3,0
45,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,63231739a5a57837b841fe8a,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1
46,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,63230dd043fb92a9d143af7f,amazon_food,"['good', 'bad', 'rather_good']",0.3,0
47,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,63230e57b0950bb2e7895b7f,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1
48,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,632310f92d85fb2da960c1b9,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
49,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,631bb645d45cf25c3784b78c,20newsgroups,"['rather_bad', 'bad', 'bad', 'good', 'bad']",0.6,-2
50,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,631bb76dc8e7ef028f55de6f,20newsgroups,"['rather_good', 'bad', 'good', 'rather_bad', 'good']",0.4,2
51,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,631b9c90e3ac7e5b28546876,20newsgroups,"['good', 'bad', 'rather_bad', 'bad', 'rather_good']",0.4,-2
52,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,631ba8a5963148fe573f0fcb,20newsgroups,"['bad', 'rather_good', 'rather_good', 'rather_bad', 'bad']",0.4,0
53,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,632313b2e7f493f3b948f34b,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
54,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,632316f364156252a09343ec,amazon_food,"['rather_bad', 'bad', 'rather_good']",0.3,-1
55,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,6323054a1b24cf3ff71764fe,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1
56,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,63230d58174d83c12d0f686b,amazon_food,"['good', 'good', 'bad']",0.7,2
57,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,63230dd043fb92a9d143af7f,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1
58,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,632310f92d85fb2da960c1b9,amazon_food,"['good', 'bad', 'bad']",0.7,-2
59,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,632311c9eef852a376dcaf74,amazon_food,"['rather_bad', 'good', 'bad']",0.3,0
60,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,632311adb9644773b836ff99,amazon_food,"['good', 'rather_bad', 'bad']",0.3,0
61,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,6323133ccda35d2841a0215c,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
62,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,632305d31f1cdaab8d66d630,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
63,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,63230b74395a63a800f692d5,amazon_food,"['bad', 'good', 'good']",0.7,2
64,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,6325dd002b337b5d95012d3f,amazon_food,"['bad', 'good', 'rather_bad']",0.3,0
65,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,6323081e31be382c45bf5a33,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
66,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,632315b600ddc44cc4be51b8,amazon_food,"['bad', 'rather_bad', 'rather_good']",0.3,-1
67,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,632605ca395a63a800f6d164,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1
68,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,632315134bb36217238e194a,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
69,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,6323133ccda35d2841a0215c,amazon_food,"['bad', 'good', 'bad']",0.7,-2
70,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,63231739a5a57837b841fe8a,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1
71,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,6326058b326449942d83d2b9,amazon_food,"['good', 'bad', 'bad']",0.7,-2
72,always last buying whole open worth case they're that's hand couple jar part mine pouch,63230e0735f7c9e99fc40c1e,amazon_food,"['rather_good', 'bad', 'rather_bad']",0.3,0
73,always last sure case they're open couple jar week two whole part mine someone seed,632614f5d0e066f2a5009e2e,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
74,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,63230d58174d83c12d0f686b,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2
75,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,632313b2e7f493f3b948f34b,amazon_food,"['good', 'good', 'rather_bad']",0.7,2
76,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,63230e56f849c89c6187f004,amazon_food,"['rather_bad', 'good', 'bad']",0.3,0
77,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,63230e57b0950bb2e7895b7f,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2
78,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,63230f63a6fa8975eb57cf9e,amazon_food,"['rather_bad', 'good', 'rather_bad']",0.7,-1
79,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,6323054a1b24cf3ff71764fe,amazon_food,"['bad', 'bad', 'rather_good']",0.7,-2
80,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,632309e2a5a57837b841eae2,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1
81,always sure case last they're couple jar open week two mine part someone seed pouch,632612dde0bde4de7d7fb74f,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2
82,always sure case last they're couple week jar open two part mine someone seed pouch,63230cd743fb92a9d143ad75,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
83,always sure last case they're couple week open jar two part mine someone seed pouch,632310c625d962cdec4c13db,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2
84,always sure last case they're two week couple jar part mine maybe someone open seed,63261d6acc7373c8fe435e38,amazon_food,"['rather_bad', 'rather_bad', 'good']",0.7,-1
85,always sure last open whole case they're week maybe couple jar that's part mine someone,63230e5accb4e652d2d45a70,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2
86,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,631b99e3939bfaaca56015d8,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad']",0.8,-2
87,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,631bb7ce9a4c0179fe9fd0a2,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1
88,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,631bab18a79807f67e840776,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2
89,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,631b95e6f30064faf33e1a29,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1
90,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,631b9a5343fb92a9d1437918,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2
91,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,631b9a5317dc5fce149d1b14,20newsgroups,"['rather_bad', 'bad', 'good', 'bad', 'bad']",0.6,-2
92,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,631bbbf8c8e7ef028f55e32d,20newsgroups,"['bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad']",0.6,-1
93,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,631bb01c9346c227774bb8d8,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'bad', 'bad']",0.6,-2
94,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,631bac5203546430aed17431,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad']",0.8,-2
95,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,631bb645d45cf25c3784b78c,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'rather_bad', 'bad']",0.6,-1
96,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,631b8e0779ac792348a7d3ff,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.8,-1
97,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,631bb90dc4040a0e0e0c272b,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'bad']",0.6,-2
98,anonymous internet news usenet service privacy email electronic congress network user public bill site address,631babf6e8f8f2cd1cfaddbb,20newsgroups,"['bad', 'good', 'bad', 'good', 'rather_good']",0.4,0
99,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,631b8d7f23e8da342a220b2c,20newsgroups,"['bad', 'bad', 'rather_bad', 'good', 'rather_good']",0.4,-2
100,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,631bb42132591f66b7e67ad2,20newsgroups,"['rather_good', 'bad', 'bad', 'rather_bad', 'bad']",0.6,-2
101,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,631b96c443fb92a9d14374b7,20newsgroups,"['rather_good', 'good', 'rather_bad', 'rather_good', 'rather_good']",0.6,1
102,anonymous news service usenet privacy network electronic internet email site public user server congress archive,631bb830cda35d2841a002ce,20newsgroups,"['bad', 'good', 'bad', 'bad', 'bad']",0.8,-2
103,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,631b96a72b337b5d9500c778,20newsgroups,"['rather_good', 'good', 'good', 'good', 'rather_good']",0.6,2
104,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,631b96bea5a57837b841b5d1,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_good', 'good']",0.4,-1
105,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,631bb98579ac792348a805b7,20newsgroups,"['bad', 'rather_bad', 'bad', 'bad', 'bad']",0.8,-2
106,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,631b8695d3d80d9e966fc899,20newsgroups,"['rather_bad', 'good', 'good', 'good', 'bad']",0.6,2
107,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,63230e0735f7c9e99fc40c1e,amazon_food,"['rather_bad', 'rather_bad', 'bad']",0.7,-1
108,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,632620474fecb0a9aa0a8534,amazon_food,"['bad', 'good', 'bad']",0.7,-2
109,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,63230c1a23e8da342a2250ed,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
110,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,632316f364156252a09343ec,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
111,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,632307fc9f78e26f713e94ed,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
112,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,632306afc52777f2b76a1197,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1
113,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,63230d58174d83c12d0f686b,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
114,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,63230e56f849c89c6187f004,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
115,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,63230f63a6fa8975eb57cf9e,amazon_food,"['bad', 'rather_bad', 'bad']",0.7,-2
116,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,632310f92d85fb2da960c1b9,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
117,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,632311c9eef852a376dcaf74,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1
118,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,631bb42132591f66b7e67ad2,20newsgroups,"['bad', 'rather_bad', 'good', 'bad', 'good']",0.4,0
119,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,631bad519346c227774bb4b5,20newsgroups,"['rather_good', 'good', 'rather_bad', 'bad', 'rather_good']",0.4,1
120,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,631bb32427e1a64b30543798,20newsgroups,"['bad', 'rather_bad', 'good', 'bad', 'rather_bad']",0.4,-1
121,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,631bb9a503546430aed1831e,20newsgroups,"['rather_bad', 'rather_bad', 'good', 'good', 'bad']",0.4,0
122,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,631b9c90e3ac7e5b28546876,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'rather_bad']",0.6,-2
123,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,631bb6faa5a57837b841d979,20newsgroups,"['rather_bad', 'bad', 'rather_bad', 'bad', 'bad']",0.6,-2
124,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,631bb7ce9a4c0179fe9fd0a2,20newsgroups,"['bad', 'bad', 'rather_bad', 'good', 'bad']",0.6,-2
125,appear cover black light miss level theory hole story excellent trade henry toronto given physical,631ba815291a690c5875365a,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'bad']",1.0,-2
126,appear henry black toronto trade cover hole digex access captain light star company alaska level,631b8a559bf9fbe525bc238b,20newsgroups,"['rather_bad', 'bad', 'bad', 'bad', 'bad']",0.8,-2
127,appear henry toronto black trade cover hole digex access light captain star level company alaska,631bb34d6b1d4613aec2d691,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2
128,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,631bb7ce9a4c0179fe9fd0a2,20newsgroups,"['rather_bad', 'bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1
129,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,631b8a349a4c0179fe9f987b,20newsgroups,"['bad', 'rather_good', 'good', 'rather_bad', 'bad']",0.4,-2
130,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,631b8a9b17dc5fce149d08a8,20newsgroups,"['rather_good', 'rather_bad', 'rather_good', 'rather_bad', 'bad']",0.4,0
131,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,631bb76dc8e7ef028f55de6f,20newsgroups,"['rather_good', 'bad', 'rather_bad', 'rather_bad', 'good']",0.4,-1
132,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,631b99e3939bfaaca56015d8,20newsgroups,"['rather_good', 'rather_good', 'bad', 'rather_bad', 'rather_good']",0.6,1
133,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,631ba59ccda35d28419fea1e,20newsgroups,"['bad', 'bad', 'good', 'rather_bad', 'good']",0.4,0
134,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,631bac5203546430aed17431,20newsgroups,"['rather_good', 'good', 'bad', 'good', 'bad']",0.4,0
135,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,631b9ba132b90885873fa415,20newsgroups,"['good', 'rather_bad', 'good', 'good', 'good']",0.8,2
136,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,631b9924f1a99bcfd465e30b,20newsgroups,"['good', 'good', 'rather_bad', 'rather_bad', 'rather_good']",0.4,0
137,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,631b929d5a95b966a8e30347,20newsgroups,"['bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.6,-1
138,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,631bb6bb19a5c21ffa457918,20newsgroups,"['bad', 'bad', 'bad', 'bad', 'rather_bad']",0.8,-2
139,application window resource word science allow ever human child money health center return motif already,631ba21e6d9890a069a960b2,20newsgroups,"['bad', 'bad', 'bad', 'rather_bad', 'bad']",0.8,-2
140,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,631baaffd45cf25c3784a9da,20newsgroups,"['bad', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.6,-1
141,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,631bbbf8c8e7ef028f55e32d,20newsgroups,"['bad', 'rather_good', 'good', 'bad', 'rather_bad']",0.4,-2
142,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,631bb645d45cf25c3784b78c,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'bad', 'bad']",0.6,-2
143,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,631b99e3939bfaaca56015d8,20newsgroups,"['bad', 'bad', 'bad', 'good', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'good', 'rather_bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'bad', 'bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'bad', 'bad', 'bad', 'bad', 'rather_good', 'good', 'rather_bad', 'bad', 'rather_bad', 'bad', 'bad', 'rather_bad', 'good', 'bad', 'bad', 'bad', 'rather_bad', 'rather_bad', 'bad', 'bad', 'bad', 'rather_bad', 'bad', 'good', 'good', 'rather_good', 'bad', 'bad', 'bad', 'rather_bad', 'good', 'bad', 'rather_bad', 'bad']",0.6,-2
144,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,631b92af939bfaaca5600cb2,20newsgroups,"['bad', 'bad', 'rather_bad', 'bad', 'bad']",0.8,-2
145,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,631b992927e1a64b30541a0c,20newsgroups,"['rather_good', 'bad', 'good', 'bad', 'bad']",0.6,-2
