INPUT:wordset,OUTPUT:quality,OUTPUT:topic_name,topic_name_num
apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,good,water,1
apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,good,country,1
appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,good,cosmo theory,1
appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,good,space,1
appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,good,toronto,1
appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,good,henry,1
apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,good,computer,1
apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,good,computer,1
apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,good,computer,2
apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,good,computer ,1
apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,good,microsoft device ,1
apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,apple,1
apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,business ,1
apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,it sales,1
apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,monitor,1
apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,good,apple,2
appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,good,mail,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,acknowledgement,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,computer,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,email,3
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,letter,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,send email,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,thank you,1
appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,good,upenn essay,1
appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,good,email context,1
appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,good,community,1
appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,good,technology,1
appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,good,greetings ,1
appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,good,keyboard,1
appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,good,famous people,1
appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,good,gratitude,1
appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,good,maturity,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,drafting ,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,email,10
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,email ,4
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,greet,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,human action,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,job,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,mail,2
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,mailing,2
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,mailing ,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,message,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,response ,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,sending email,1
appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,good,sending greetings ,1
appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,developer,1
appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,hardware ,1
appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,internet and computers,1
appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,good,computer,1
appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,good,computer ,1
appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,good,internet,1
appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,good,technology,1
april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,good,nasa,1
arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,good,history of israelitas ,1
arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,good,israel ,2
arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,good,war,1
argument colorado music letter conclusion fallacy flame form therefore motorcycle japanese bruce denizen occur onur,good,music,1
argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,good,argue,1
argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,good,argument ,1
argument conclusion statement therefore cause sense accept form christianity fallacy cannot experience bible others argue,good,teology,1
argument conclusion statement therefore sense accept cause form cannot fallacy christianity experience bible false argue,good,religion ,1
argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,good,human knowledge,1
argument ence moral keith human saying imply definition caltech conclusion morality statement wrong murder assume,good,sentence construction,1
argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,good,definition ,1
argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,good,literature,1
argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,good,trial,1
argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,good,morality ,1
argument moral ence keith human imply saying statement caltech conclusion definition morality therefore rule wrong,good,study,1
argument moral ence keith statement human imply saying caltech conclusion definition therefore morality discussion rule,good,moral,1
argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,good,ethics ,1
argument moral ence keith statement human saying imply caltech conclusion definition morality wrong rule discussion,good,science,1
argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,good,argument,1
argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,good,argument moral ,1
argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,good,debate,1
argument moral keith ence conclusion imply definition whether discussion saying livesey therefore morality sense rule,good,writing ,1
argument moral keith ence conclusion imply definition whether discussion saying therefore morality livesey statement sense,good,peace,1
argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,good,arguementation,1
argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,good,argument,1
argument sense cannot statement conclusion therefore form assume logic position ence understanding imply fallacy argue,good,logical sense,1
argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,good, thought,1
argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,good,debate,1
argument sense cannot statement conclusion therefore form assume position logic ence understanding imply fallacy argue,good,law,1
argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,good,science,1
argument sense cannot statement conclusion therefore form assume position understanding logic suggest imply accept ence,good,statement ,1
arrive second gum hope date online however original past finish last today stale broken shipment,good,second ,1
arrive second gum hope online date original past already soon finish today broken stale plan,good,date,1
atheism atheist religion religious belief faith command monitor following check email switch send boot message,good,religion,1
atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,good,religion,1
atheism atheist religion religious boot prof command symposium cycle switch bison everything check utrecht position,good,religions,1
atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,good,faith,1
atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,good,faith,1
atheist belief atheism existence faith ence religion universe religious theist cannot strong assume assumption prove,good,religion ,2
atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,good,belief,1
atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,good,religion,1
atheist belief atheism existence faith ence religion universe religious theist strong assume assumption cannot prove,good,religion ,1
atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,good,belief ,2
atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,good,religion,1
atheist belief atheism existence faith ence religion universe religious theist strong cannot assume assumption prove,good,religion ,1
atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,good,faith,1
atheist belief atheism religion existence truth ence keith universe christianity cannot mike strong accept argument,good,religion,3
atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good,faith,1
atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good,religion,2
atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good,religion ,1
atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,good,atheism,1
atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,good,religion,1
atheist religion atheism religious belief faith theist strong command universe position saturn cause response following,good,religion ,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,atheist,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,atheist ,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,belief,2
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,church,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,psychology,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religiom,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religion,14
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religion ,2
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religion and beliefs,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religiosity,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religious,1
atheist religion atheism religious command faith boot switch prof everything following symposium send cycle message,good,religious belief,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,arab-israeli conflict,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,attack,3
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,attack ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,attack to muslims,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,conflict,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel,3
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel ,2
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel attacking muslim,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel conflict ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel lebanon conflict ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,israel war,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,lebanese,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,lebanese ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,lebanese civil war,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,middle east,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,news,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,news ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,politics,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,polotics,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,religion,3
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,religion ,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,"religion,tribe,war",1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,religious conflict,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,religious war,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,teract,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,terriorism,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,war,19
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,war ,2
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,war news,1
attack lebanese muslim hernlem israeli left troops peace fire away quite stop religion israel especially,good,zionism,1
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,attack,2
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,conflict,1
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,israel,1
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,war,2
attack lebanese muslim israeli hernlem fire stop troops left away quite lebanon limbaugh perhaps lord,good,world problems,1
attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,good,violence ,1
attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,good,war/conflict ,1
attack muslim tank peace ticket away stop brad fire lebanese limbaugh hitler cover hernlem hope,good,want of peace,1
attack tank fire buffalo brad ncsu limbaugh cover stand away hernlem hawk fight stop adobe,good,crisis,1
attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,good,fire,1
attack tank lebanese brad ncsu village limbaugh hernlem lebanon fight stop cover hawk civilian guerilla,good,war,1
attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,good,attack,1
attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,good,lübnan warm,1
attack tank lebanese brad village ncsu lebanon limbaugh hernlem stop fight civilian cover hawk guerilla,good,war,1
attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,good,attack,1
attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,good,attack ,1
attack tank peace ticket muslim brad fire stop away hitler limbaugh ncsu cover hernlem hope,good,war,1
attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,good,buffalo ,1
attack tank ticket hitler buffalo brad fire medium ncsu limbaugh peace away stop white black,good,war,1
away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,good,coffee,1
away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,good,drink,1
baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,good,mother and child,1
baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,good,baby,1
baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,good,pregnant mum,1
back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,good,design,1
back wonderful new home change drinking amaze husband next issue thank left highly life anyone,good,wonderful ,1
back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,good,moving ,1
bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,good,fiber drink,1
bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,good,snack,1
bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,good,breakfast,1
bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,good,breakfast,1
bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,good,nut bar,1
bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,good,oat,1
bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,good,cooking ,1
bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,good,food,1
bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,good,foods,1
bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,good,granola,2
bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,good,snacks ,1
bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,good,breakfast,1
bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,good,breakfast diet,1
bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,good,cereal,1
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,breakfast ,1
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,eatables,1
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,food,1
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,nutrition,1
bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,nuts,2
bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,good,breakfast ,1
bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,good,food,1
bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,good,food items,1
bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,good,bar cereal,1
bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,good,food,1
bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,good,fruit cake,1
bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,good,cereal,1
bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,good,cookies ,1
bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good,breakfast,2
bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good,food,1
bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,good,dessert,1
bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,good,yougurt,1
bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,good,desert,1
bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,good,food,1
bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,good,breakfast ,1
bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,good,cereals ,1
bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,good,cinnamon ,1
bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,good,breakfast ,1
bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,good,diet,1
bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,good,sweet,1
bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,good,food,1
bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,good,healthy,1
bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,good,snack,2
bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,good,snacks,1
bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,good,breakfast bowl,1
bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,good,crunchy,1
bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,good,"desert, beer",1
bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,good,food,1
bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,good,snack bar,1
bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,good,sweet and sugar drink,1
bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,good,yummy ,1
baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,good,baseball,3
baseball period player boston season brave ball pittsburgh pitch smith dave pitcher pitching third alaska,good,major league baseball,1
baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,good,baseball,3
baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,good,baseball ,1
baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,good,baseball,2
baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,good,player,1
baseball player season period brave ball smith boston score hitter pitch pitcher dave pitching league,good,sports,1
battery looking email steve uiuc friend food advance dyer fine sell doctor month running nasa,good,doctor,1
bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,good,tea,1
bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,good,beverage ,1
bean vanilla honey green orange iced indiv caffeine lemon aroma refresh cold black stash sweeten,good,fruit,1
belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing,good,atheism,1
belief atheist ence atheism faith existence religion universe religious prove theist strong assume assumption nothing,good,religion,3
belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,good,belief,1
belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,good,existence of god,1
belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,good,faith,1
belief atheist ence atheism faith existence religion universe religious prove theist strong assumption assume nothing,good,religion,5
belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,good,atheism,1
belief atheist ence atheism faith existence religion universe religious theist prove assume strong assumption nothing,good,faith,1
berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer,good,court,1
berkeley court charge anti francisco hate dangerous jacket legal property judge california leather museum lawyer,good,legal,1
berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,good,california,1
berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,good,court decision ,1
berkeley court charge anti francisco legal judge lawyer dangerous hate jacket california property copyright museum,good,law,1
bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,good,bible,1
bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,good,christian beliefs ,1
bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,good,christianism,1
bible christ lord faith scripture heaven father teach save spirit mary love matthew shall earth,good,church ,1
bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,good,christianity,2
bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,good,christianity ,2
bible christ lord faith scripture heaven matthew teach father love save mary spirit shall earth,good,religion,1
bible christ matthew church word lord father faith scripture heaven passage doctrine spirit holy teach,good,bible,1
