,wordset,all_topics,unsuitable_topics,suitable_topics
27,health medical report among increase center cancer child april national disease newsletter page fnal study,"['health', 'medical', 'report', 'among', 'increase', 'center', 'cancer', 'child', 'april', 'national', 'disease', 'newsletter', 'page', 'fnal', 'study']","['disease', 'study', 'medical', 'report', 'health', 'cancer']","['center', 'among', 'national', 'april', 'increase', 'fnal', 'page', 'child', 'newsletter']"
28,natural list ingredient contains raw berry usa book herb gross health report aloe fruit root,"['natural', 'list', 'ingredient', 'contains', 'raw', 'berry', 'usa', 'book', 'herb', 'gross', 'health', 'report', 'aloe', 'fruit', 'root']","['book', 'usa']","['fruit', 'contains', 'berry', 'aloe', 'report', 'health', 'natural', 'ingredient', 'root', 'herb', 'list', 'raw', 'gross']"
29,health medical report among increase cancer child center volume disease newsletter national april fnal study,"['health', 'medical', 'report', 'among', 'increase', 'cancer', 'child', 'center', 'volume', 'disease', 'newsletter', 'national', 'april', 'fnal', 'study']","['center', 'disease', 'medical', 'fnal', 'report', 'health', 'child', 'cancer', 'volume']","['among', 'national', 'study', 'april', 'increase', 'newsletter']"
30,bottle excellent available plastic everyone pleased delivery glass lemon offer mint sample travel clear lime,"['bottle', 'excellent', 'available', 'plastic', 'everyone', 'pleased', 'delivery', 'glass', 'lemon', 'offer', 'mint', 'sample', 'travel', 'clear', 'lime']",['everyone'],"['pleased', 'mint', 'bottle', 'clear', 'excellent', 'travel', 'lemon', 'sample', 'lime', 'plastic', 'delivery', 'offer', 'available', 'glass']"
31,price phone bike sell email internet technology send offer cost company network design distribution research,"['price', 'phone', 'bike', 'sell', 'email', 'internet', 'technology', 'send', 'offer', 'cost', 'company', 'network', 'design', 'distribution', 'research']",[],"['bike', 'sell', 'company', 'internet', 'research', 'send', 'price', 'design', 'network', 'cost', 'offer', 'phone', 'email', 'technology', 'distribution']"
32,www http href com roast pie dark chocolate pack wolfgang puck g<br ham smokehouse fudge,"['www', 'http', 'href', 'com', 'roast', 'pie', 'dark', 'chocolate', 'pack', 'wolfgang', 'puck', 'g<br', 'ham', 'smokehouse', 'fudge']",['www'],"['href', 'smokehouse', 'puck', 'g<br', 'com', 'pack', 'chocolate', 'wolfgang', 'ham', 'dark', 'pie', 'http', 'fudge', 'roast']"
33,hell quote love feel evil stup brian death context accept live learn maybe sorry choose,"['hell', 'quote', 'love', 'feel', 'evil', 'stup', 'brian', 'death', 'context', 'accept', 'live', 'learn', 'maybe', 'sorry', 'choose']","['maybe', 'sorry', 'choose']","['context', 'love', 'learn', 'feel', 'stup', 'brian', 'death', 'evil', 'hell', 'accept', 'live', 'quote']"
34,radio switch signal input audio helmet output level channel receiver noise relay frequency circuit local,"['radio', 'switch', 'signal', 'input', 'audio', 'helmet', 'output', 'level', 'channel', 'receiver', 'noise', 'relay', 'frequency', 'circuit', 'local']","['helmet', 'local']","['switch', 'radio', 'circuit', 'input', 'frequency', 'audio', 'noise', 'signal', 'level', 'channel', 'receiver', 'relay', 'output']"
35,sweet delicious bar milk cereal texture nut almond yummy cinnamon fill oatmeal granola strawberry chewy,"['sweet', 'delicious', 'bar', 'milk', 'cereal', 'texture', 'nut', 'almond', 'yummy', 'cinnamon', 'fill', 'oatmeal', 'granola', 'strawberry', 'chewy']",['chewy'],"['fill', 'bar', 'cereal', 'delicious', 'milk', 'granola', 'strawberry', 'oatmeal', 'cinnamon', 'sweet', 'texture', 'nut', 'yummy', 'almond']"
36,two every item several brew deal smooth machine maker pot shop espresso sample french christmas,"['two', 'every', 'item', 'several', 'brew', 'deal', 'smooth', 'machine', 'maker', 'pot', 'shop', 'espresso', 'sample', 'french', 'christmas']","['every', 'several', 'two', 'deal', 'sample', 'item', 'christmas', 'shop', 'brew']","['pot', 'smooth', 'espresso', 'french', 'machine', 'maker']"
37,cooky cookie raspberry thin brownie agree oreo fudge think gooey texture package crumbly soft enough,"['cooky', 'cookie', 'raspberry', 'thin', 'brownie', 'agree', 'oreo', 'fudge', 'think', 'gooey', 'texture', 'package', 'crumbly', 'soft', 'enough']","['cooky', 'agree', 'enough']","['raspberry', 'oreo', 'gooey', 'thin', 'crumbly', 'cookie', 'package', 'brownie', 'texture', 'soft', 'think', 'fudge']"
38,kill child weapon crime fire firearm woman drug death carry police criminal city bill court,"['kill', 'child', 'weapon', 'crime', 'fire', 'firearm', 'woman', 'drug', 'death', 'carry', 'police', 'criminal', 'city', 'bill', 'court']","['bill', 'carry', 'fire', 'city', 'child', 'drug']","['woman', 'criminal', 'firearm', 'court', 'death', 'kill', 'weapon', 'police', 'crime']"
39,orbit earth mission nasa shuttle satellite lunar moon probe mars solar launch planet planetary telescope,"['orbit', 'earth', 'mission', 'nasa', 'shuttle', 'satellite', 'lunar', 'moon', 'probe', 'mars', 'solar', 'launch', 'planet', 'planetary', 'telescope']",['mission'],"['moon', 'probe', 'orbit', 'shuttle', 'solar', 'planet', 'earth', 'satellite', 'telescope', 'nasa', 'planetary', 'launch', 'lunar', 'mars']"
40,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,"['cheese', 'bread', 'bake', 'follow', 'homemade', 'spread', 'slice', 'spoon', 'toast', 'direction', 'fry', 'sandwich', 'usual', 'mustard', 'oven']","['spoon', 'direction', 'mustard', 'fry', 'follow', 'usual']","['bake', 'homemade', 'bread', 'slice', 'cheese', 'sandwich', 'spread', 'toast', 'oven']"
41,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,"['place', 'container', 'easily', 'soft', 'hold', 'melt', 'together', 'open', 'mess', 'shape', 'stuck', 'chewy', 'somewhat', 'cool', 'around']",[],"['melt', 'open', 'together', 'mess', 'somewhat', 'container', 'around', 'stuck', 'hold', 'place', 'shape', 'easily', 'cool', 'soft', 'chewy']"
42,dark full away roast rich flavorful extremely double drinker steep magic drank half selection odd,"['dark', 'full', 'away', 'roast', 'rich', 'flavorful', 'extremely', 'double', 'drinker', 'steep', 'magic', 'drank', 'half', 'selection', 'odd']","['rich', 'drank', 'drinker']","['steep', 'magic', 'half', 'away', 'selection', 'double', 'extremely', 'flavorful', 'dark', 'full', 'odd', 'roast']"
43,different hot many others available salad k-cups keurig creamy name way curry brewer choose table,"['different', 'hot', 'many', 'others', 'available', 'salad', 'k-cups', 'keurig', 'creamy', 'name', 'way', 'curry', 'brewer', 'choose', 'table']","['curry', 'hot', 'table', 'salad', 'way', 'keurig', 'creamy', 'choose', 'k-cups', 'brewer']","['others', 'many', 'different', 'name', 'available']"
44,weapon firearm police carry safety auto semi handgun license automatic revolver fire bill section dangerous,"['weapon', 'firearm', 'police', 'carry', 'safety', 'auto', 'semi', 'handgun', 'license', 'automatic', 'revolver', 'fire', 'bill', 'section', 'dangerous']","['bill', 'semi', 'auto', 'section']","['dangerous', 'firearm', 'carry', 'handgun', 'automatic', 'fire', 'weapon', 'police', 'license', 'safety', 'revolver']"
45,size old month easy small baby start quickly jerky daughter year son thanks perfect larger,"['size', 'old', 'month', 'easy', 'small', 'baby', 'start', 'quickly', 'jerky', 'daughter', 'year', 'son', 'thanks', 'perfect', 'larger']","['easy', 'thanks', 'perfect']","['month', 'size', 'year', 'small', 'jerky', 'baby', 'old', 'daughter', 'son', 'start', 'quickly', 'larger']"
46,price phone sell bike email company offer cost sale technology radio send internet distribution looking,"['price', 'phone', 'sell', 'bike', 'email', 'company', 'offer', 'cost', 'sale', 'technology', 'radio', 'send', 'internet', 'distribution', 'looking']",['looking'],"['sell', 'bike', 'company', 'radio', 'internet', 'sale', 'send', 'price', 'cost', 'offer', 'phone', 'email', 'technology', 'distribution']"
47,bit hot buying sauce serve per save cost cheaper red spicy pepper ounce subscribe heat,"['bit', 'hot', 'buying', 'sauce', 'serve', 'per', 'save', 'cost', 'cheaper', 'red', 'spicy', 'pepper', 'ounce', 'subscribe', 'heat']","['serve', 'subscribe']","['sauce', 'per', 'red', 'hot', 'pepper', 'cheaper', 'ounce', 'save', 'heat', 'cost', 'spicy', 'bit', 'buying']"
48,snack chip healthy tasty family they're cheese potato apple alternative salty lunch satisfy enjoy crave,"['snack', 'chip', 'healthy', 'tasty', 'family', ""they're"", 'cheese', 'potato', 'apple', 'alternative', 'salty', 'lunch', 'satisfy', 'enjoy', 'crave']","[""they're"", 'family', 'enjoy', 'satisfy', 'crave', 'alternative']","['healthy', 'chip', 'cheese', 'lunch', 'tasty', 'apple', 'snack', 'potato', 'salty']"
49,nasa radar surface detector mission ball launch atmosphere field shuttle antenna april probe baalke kelvin,"['nasa', 'radar', 'surface', 'detector', 'mission', 'ball', 'launch', 'atmosphere', 'field', 'shuttle', 'antenna', 'april', 'probe', 'baalke', 'kelvin']","['probe', 'april', 'kelvin', 'ball', 'baalke']","['shuttle', 'field', 'nasa', 'mission', 'atmosphere', 'radar', 'detector', 'surface', 'launch', 'antenna']"
50,pet vet feed ingredient wellness corn chicken liver meat diet filler science kibble kitten fructose,"['pet', 'vet', 'feed', 'ingredient', 'wellness', 'corn', 'chicken', 'liver', 'meat', 'diet', 'filler', 'science', 'kibble', 'kitten', 'fructose']","['kibble', 'pet', 'kitten', 'wellness', 'feed', 'vet', 'diet', 'ingredient']","['meat', 'filler', 'science', 'chicken', 'liver', 'corn', 'fructose']"
51,water cold nuclear marc tower heat cool plant cooling energy nist temperature needle ncsl steam,"['water', 'cold', 'nuclear', 'marc', 'tower', 'heat', 'cool', 'plant', 'cooling', 'energy', 'nist', 'temperature', 'needle', 'ncsl', 'steam']","['nist', 'needle', 'marc', 'ncsl']","['nuclear', 'steam', 'water', 'cooling', 'temperature', 'cold', 'energy', 'cool', 'heat', 'plant', 'tower']"
52,israel israeli kill arab palestinian innocent human country civilian trial peace murder killing lebanon lebanese,"['israel', 'israeli', 'kill', 'arab', 'palestinian', 'innocent', 'human', 'country', 'civilian', 'trial', 'peace', 'murder', 'killing', 'lebanon', 'lebanese']",[],"['human', 'peace', 'lebanese', 'israeli', 'killing', 'trial', 'palestinian', 'israel', 'arab', 'civilian', 'lebanon', 'murder', 'kill', 'innocent', 'country']"
53,local half grocery home deliver ask realize shelf trip door brought across picked reorder shopping,"['local', 'half', 'grocery', 'home', 'deliver', 'ask', 'realize', 'shelf', 'trip', 'door', 'brought', 'across', 'picked', 'reorder', 'shopping']","['trip', 'door']","['brought', 'shopping', 'local', 'half', 'across', 'grocery', 'shelf', 'ask', 'picked', 'home', 'realize', 'deliver', 'reorder']"
54,south island secret jake ship military british employer nuclear bony rockefeller naval york plan arrest,"['south', 'island', 'secret', 'jake', 'ship', 'military', 'british', 'employer', 'nuclear', 'bony', 'rockefeller', 'naval', 'york', 'plan', 'arrest']",[],"['nuclear', 'jake', 'arrest', 'military', 'naval', 'ship', 'rockefeller', 'plan', 'secret', 'bony', 'south', 'york', 'employer', 'british', 'island']"
55,bible religion turkish church belief truth argument faith christ atheist greek human ence word muslim,"['bible', 'religion', 'turkish', 'church', 'belief', 'truth', 'argument', 'faith', 'christ', 'atheist', 'greek', 'human', 'ence', 'word', 'muslim']","['human', 'argument', 'word', 'turkish', 'ence']","['christ', 'bible', 'atheist', 'muslim', 'greek', 'religion', 'church', 'belief', 'truth', 'faith']"
56,player hockey season league goal leaf playoff division next pick flyer penalty score draft roger,"['player', 'hockey', 'season', 'league', 'goal', 'leaf', 'playoff', 'division', 'next', 'pick', 'flyer', 'penalty', 'score', 'draft', 'roger']","['league', 'flyer', 'player', 'playoff', 'leaf', 'penalty', 'pick', 'goal', 'roger', 'draft', 'season', 'score', 'hockey']","['division', 'next']"
57,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,"['appreciate', 'anybody', 'advance', 'wonder', 'info', 'experience', 'thank', 'email', 'suggestion', 'hello', 'greatly', 'able', 'advice', 'edge', 'thanx']","['hello', 'anybody', 'edge', 'suggestion', 'info', 'email']","['able', 'advance', 'thanx', 'advice', 'appreciate', 'wonder', 'experience', 'greatly', 'thank']"
58,drug country nazi german anti germany party society insurance political freedom care free child hitler,"['drug', 'country', 'nazi', 'german', 'anti', 'germany', 'party', 'society', 'insurance', 'political', 'freedom', 'care', 'free', 'child', 'hitler']","['child', 'drug', 'care', 'free']","['german', 'society', 'nazi', 'freedom', 'germany', 'insurance', 'political', 'anti', 'party', 'hitler', 'country']"
59,driver sound card light crash latest gateway running machine diamond check channel stereo quick speaker,"['driver', 'sound', 'card', 'light', 'crash', 'latest', 'gateway', 'running', 'machine', 'diamond', 'check', 'channel', 'stereo', 'quick', 'speaker']","['check', 'channel']","['quick', 'stereo', 'crash', 'diamond', 'latest', 'sound', 'card', 'speaker', 'light', 'gateway', 'running', 'machine', 'driver']"
60,science theory scientific study experiment dseg scientist result methodology hypothesis knowledge psychology lady russell rational,"['science', 'theory', 'scientific', 'study', 'experiment', 'dseg', 'scientist', 'result', 'methodology', 'hypothesis', 'knowledge', 'psychology', 'lady', 'russell', 'rational']",[],"['experiment', 'rational', 'study', 'science', 'scientific', 'methodology', 'russell', 'theory', 'scientist', 'hypothesis', 'psychology', 'result', 'knowledge', 'lady', 'dseg']"
61,snack healthy tasty excellent fiber lunch healthier satisfy enjoy something crave dip yum without terrific,"['without', 'fiber', 'healthier', 'dip', 'something', 'snack', 'healthy', 'satisfy', 'excellent', 'terrific', 'enjoy', 'crave', 'yum', 'tasty', 'lunch']","['without', 'yum', 'fiber', 'terrific', 'dip', 'something']","['healthy', 'excellent', 'enjoy', 'tasty', 'crave', 'satisfy', 'snack', 'lunch', 'healthier']"
62,enjoy strong morning brew blend bitter smooth packet machine starbucks perfect aftertaste prefer iced cold,"['enjoy', 'strong', 'morning', 'brew', 'blend', 'bitter', 'smooth', 'packet', 'machine', 'starbucks', 'perfect', 'aftertaste', 'prefer', 'iced', 'cold']",['machine'],"['strong', 'starbucks', 'bitter', 'smooth', 'packet', 'blend', 'enjoy', 'morning', 'prefer', 'cold', 'aftertaste', 'brew', 'iced', 'perfect']"
63,bike engine mile tire wheel motorcycle front ford rear honda driving vehicle brake traffic radar,"['bike', 'engine', 'mile', 'tire', 'wheel', 'motorcycle', 'front', 'ford', 'rear', 'honda', 'driving', 'vehicle', 'brake', 'traffic', 'radar']","['front', 'bike', 'engine', 'brake', 'traffic', 'honda', 'driving', 'ford', 'tire', 'radar', 'mile', 'rear', 'vehicle', 'motorcycle', 'wheel']",[]
64,price islamic turbo tube charge cheer rice monash movement fred deal consultant khomeini fatwa rushdie,"['price', 'islamic', 'turbo', 'tube', 'charge', 'cheer', 'rice', 'monash', 'movement', 'fred', 'deal', 'consultant', 'khomeini', 'fatwa', 'rushdie']",['fatwa'],"['khomeini', 'tube', 'charge', 'deal', 'rushdie', 'fred', 'cheer', 'price', 'consultant', 'islamic', 'turbo', 'rice', 'monash', 'movement']"
65,weapon firearm police auto safety semi handgun license revolver carry self bill fire dangerous shot,"['firearm', 'dangerous', 'semi', 'carry', 'police', 'revolver', 'handgun', 'auto', 'safety', 'weapon', 'self', 'license', 'fire', 'bill', 'shot']","['bill', 'auto', 'self', 'semi']","['dangerous', 'firearm', 'carry', 'handgun', 'fire', 'shot', 'weapon', 'police', 'license', 'safety', 'revolver']"
66,healthy tasty snack alternative satisfy lunch healthier touch usual dip yum late hungry bill typical,"['healthy', 'tasty', 'snack', 'alternative', 'satisfy', 'lunch', 'healthier', 'touch', 'usual', 'dip', 'yum', 'late', 'hungry', 'bill', 'typical']","['dip', 'bill', 'typical']","['touch', 'yum', 'hungry', 'healthy', 'late', 'usual', 'tasty', 'satisfy', 'snack', 'lunch', 'healthier', 'alternative']"
67,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,"['anonymous', 'public', 'private', 'news', 'crime', 'server', 'religion', 'carry', 'pretty', 'bill', 'cview', 'internet', 'paul', 'hold', 'thought']","['anonymous', 'news', 'internet', 'private', 'crime']","['pretty', 'thought', 'bill', 'cview', 'carry', 'public', 'hold', 'religion', 'server', 'paul']"
68,review smell bad know i'll people disappointed since read think reviewer open agree base write,"['review', 'smell', 'bad', 'know', ""i'll"", 'people', 'disappointed', 'since', 'read', 'think', 'reviewer', 'open', 'agree', 'base', 'write']",[],"['open', 'smell', 'disappointed', 'agree', 'since', 'review', 'bad', 'know', ""i'll"", 'read', 'reviewer', 'base', 'people', 'think', 'write']"
69,quality chicken meat ingredient vegetable purchasing salmon hazelnut pricey base turkey tuna filler steak actually,"['quality', 'chicken', 'meat', 'ingredient', 'vegetable', 'purchasing', 'salmon', 'hazelnut', 'pricey', 'base', 'turkey', 'tuna', 'filler', 'steak', 'actually']","['filler', 'pricey', 'actually', 'quality', 'base', 'purchasing']","['meat', 'hazelnut', 'salmon', 'vegetable', 'chicken', 'ingredient', 'turkey', 'steak', 'tuna']"
70,green vitamin mountain teaspoon form organic nutritional grass mineral hemp smoothy calcium spaghetti yeah stain,"['green', 'vitamin', 'mountain', 'teaspoon', 'form', 'organic', 'nutritional', 'grass', 'mineral', 'hemp', 'smoothy', 'calcium', 'spaghetti', 'yeah', 'stain']","['yeah', 'teaspoon', 'grass', 'spaghetti', 'mountain', 'smoothy', 'green', 'stain', 'form', 'hemp']","['calcium', 'organic', 'vitamin', 'mineral', 'nutritional']"
